Logging
iteration 0 | D LOSS = 1.4005 | G LOSS = 0.0093 | AVG R =0.5255 |  
iteration 50 | D LOSS = 1.1647 | G LOSS = -0.2618 | AVG R =0.3669 |  
iteration 100 | D LOSS = 1.1945 | G LOSS = -0.8384 | AVG R =0.3969 |  
iteration 150 | D LOSS = 1.2205 | G LOSS = -1.0915 | AVG R =0.4170 |  
iteration 200 | D LOSS = 1.2533 | G LOSS = -2.3497 | AVG R =0.4363 |  
iteration 250 | D LOSS = 1.2902 | G LOSS = -4.4864 | AVG R =0.4593 |  
iteration 300 | D LOSS = 1.3318 | G LOSS = -6.5555 | AVG R =0.4765 |  
iteration 350 | D LOSS = 1.3581 | G LOSS = -9.4421 | AVG R =0.4862 |  
iteration 400 | D LOSS = 1.3683 | G LOSS = -6.4401 | AVG R =0.4905 |  
iteration 450 | D LOSS = 1.3682 | G LOSS = -5.5778 | AVG R =0.4914 |  
iteration 500 | D LOSS = 1.3663 | G LOSS = -2.8133 | AVG R =0.4887 |  
iteration 550 | D LOSS = 1.3638 | G LOSS = -0.9766 | AVG R =0.4884 |  
iteration 600 | D LOSS = 1.3593 | G LOSS = -0.8715 | AVG R =0.4867 |  
iteration 650 | D LOSS = 1.3572 | G LOSS = -0.4729 | AVG R =0.4858 |  
iteration 700 | D LOSS = 1.3543 | G LOSS = 0.1821 | AVG R =0.4842 |  
iteration 750 | D LOSS = 1.3521 | G LOSS = -0.0345 | AVG R =0.4826 |  
iteration 800 | D LOSS = 1.3503 | G LOSS = 0.9770 | AVG R =0.4820 |  
iteration 850 | D LOSS = 1.3479 | G LOSS = -1.1533 | AVG R =0.4809 |  
iteration 900 | D LOSS = 1.3465 | G LOSS = 0.3833 | AVG R =0.4793 |  
iteration 950 | D LOSS = 1.3454 | G LOSS = 0.5817 | AVG R =0.4790 |  
iteration 1000 | D LOSS = 1.3445 | G LOSS = 0.0258 | AVG R =0.4780 |  
iteration 1050 | D LOSS = 1.3432 | G LOSS = -0.0089 | AVG R =0.4780 |  
iteration 1100 | D LOSS = 1.3423 | G LOSS = -0.4913 | AVG R =0.4777 |  
iteration 1150 | D LOSS = 1.3418 | G LOSS = 0.2587 | AVG R =0.4776 |  
iteration 1200 | D LOSS = 1.3419 | G LOSS = 1.0910 | AVG R =0.4773 |  
iteration 1250 | D LOSS = 1.3420 | G LOSS = 0.2567 | AVG R =0.4778 |  
iteration 1300 | D LOSS = 1.3406 | G LOSS = -0.8286 | AVG R =0.4775 |  
iteration 1350 | D LOSS = 1.3423 | G LOSS = 0.3761 | AVG R =0.4771 |  
iteration 1400 | D LOSS = 1.3408 | G LOSS = -0.4718 | AVG R =0.4769 |  
iteration 1450 | D LOSS = 1.3412 | G LOSS = 1.4883 | AVG R =0.4774 |  
iteration 1500 | D LOSS = 1.3416 | G LOSS = 0.4950 | AVG R =0.4771 |  
iteration 1550 | D LOSS = 1.3423 | G LOSS = 0.3605 | AVG R =0.4782 |  
iteration 1600 | D LOSS = 1.3419 | G LOSS = -0.8845 | AVG R =0.4780 |  
iteration 1650 | D LOSS = 1.3417 | G LOSS = 0.3515 | AVG R =0.4778 |  
iteration 1700 | D LOSS = 1.3416 | G LOSS = -0.1951 | AVG R =0.4772 |  
iteration 1750 | D LOSS = 1.3417 | G LOSS = -0.5814 | AVG R =0.4782 |  
iteration 1800 | D LOSS = 1.3425 | G LOSS = 1.9161 | AVG R =0.4779 |  
iteration 1850 | D LOSS = 1.3427 | G LOSS = 0.9552 | AVG R =0.4779 |  
iteration 1900 | D LOSS = 1.3433 | G LOSS = 1.1950 | AVG R =0.4782 |  
iteration 1950 | D LOSS = 1.3441 | G LOSS = 0.9627 | AVG R =0.4788 |  
iteration 2000 | D LOSS = 1.3431 | G LOSS = 0.3885 | AVG R =0.4789 |  
iteration 2050 | D LOSS = 1.3439 | G LOSS = 0.7844 | AVG R =0.4787 |  
iteration 2100 | D LOSS = 1.3448 | G LOSS = 1.1571 | AVG R =0.4793 |  
iteration 2150 | D LOSS = 1.3445 | G LOSS = -0.6969 | AVG R =0.4784 |  
iteration 2200 | D LOSS = 1.3443 | G LOSS = -0.3089 | AVG R =0.4793 |  
iteration 2250 | D LOSS = 1.3438 | G LOSS = -0.4089 | AVG R =0.4793 |  
iteration 2300 | D LOSS = 1.3455 | G LOSS = 0.1855 | AVG R =0.4796 |  
iteration 2350 | D LOSS = 1.3449 | G LOSS = -0.4556 | AVG R =0.4794 |  
iteration 2400 | D LOSS = 1.3452 | G LOSS = -0.0940 | AVG R =0.4792 |  
iteration 2450 | D LOSS = 1.3471 | G LOSS = 0.6106 | AVG R =0.4799 |  
iteration 2500 | D LOSS = 1.3451 | G LOSS = -0.8979 | AVG R =0.4799 |  
iteration 2550 | D LOSS = 1.3457 | G LOSS = -0.3316 | AVG R =0.4804 |  
iteration 2600 | D LOSS = 1.3465 | G LOSS = 0.7534 | AVG R =0.4805 |  
iteration 2650 | D LOSS = 1.3463 | G LOSS = -0.2733 | AVG R =0.4805 |  
iteration 2700 | D LOSS = 1.3478 | G LOSS = -1.0765 | AVG R =0.4804 |  
