Logging
ITERATION 114.0000 | TOTAL G LOSS -0.7672
ITERATION 115.0000 | TOTAL G LOSS -0.8585
ITERATION 116.0000 | TOTAL G LOSS -0.7510
ITERATION 117.0000 | TOTAL G LOSS -0.8461
ITERATION 118.0000 | TOTAL G LOSS -0.9515
ITERATION 119.0000 | TOTAL G LOSS -0.8141
ITERATION 120.0000 | TOTAL G LOSS -0.8331
ITERATION 121.0000 | TOTAL G LOSS -0.9328
ITERATION 122.0000 | TOTAL G LOSS -0.8496
ITERATION 123.0000 | TOTAL G LOSS -0.8228
ITERATION 124.0000 | TOTAL G LOSS -0.9116
ITERATION 125.0000 | TOTAL G LOSS -0.9603
ITERATION 126.0000 | TOTAL G LOSS -0.8907
ITERATION 127.0000 | TOTAL G LOSS -1.1398
ITERATION 128.0000 | TOTAL G LOSS -1.0447
ITERATION 129.0000 | TOTAL G LOSS -0.9355
ITERATION 130.0000 | TOTAL G LOSS -1.1025
ITERATION 131.0000 | TOTAL G LOSS -0.9986
ITERATION 132.0000 | TOTAL G LOSS -1.1332
ITERATION 133.0000 | TOTAL G LOSS -1.1043
ITERATION 134.0000 | TOTAL G LOSS -1.2516
ITERATION 135.0000 | TOTAL G LOSS -1.2258
ITERATION 136.0000 | TOTAL G LOSS -1.0546
ITERATION 137.0000 | TOTAL G LOSS -0.9748
ITERATION 138.0000 | TOTAL G LOSS -1.1983
ITERATION 139.0000 | TOTAL G LOSS -1.2589
ITERATION 140.0000 | TOTAL G LOSS -1.1346
ITERATION 141.0000 | TOTAL G LOSS -0.9893
ITERATION 142.0000 | TOTAL G LOSS -1.0742
ITERATION 143.0000 | TOTAL G LOSS -1.0387
ITERATION 144.0000 | TOTAL G LOSS -1.1441
ITERATION 145.0000 | TOTAL G LOSS -1.2011
ITERATION 146.0000 | TOTAL G LOSS -1.2354
ITERATION 147.0000 | TOTAL G LOSS -1.2843
ITERATION 148.0000 | TOTAL G LOSS -1.2282
ITERATION 149.0000 | TOTAL G LOSS -1.2016
ITERATION 150.0000 | TOTAL G LOSS -1.0915
ITERATION 151.0000 | TOTAL G LOSS -1.2386
ITERATION 152.0000 | TOTAL G LOSS -1.4064
ITERATION 153.0000 | TOTAL G LOSS -1.4560
ITERATION 154.0000 | TOTAL G LOSS -1.4144
ITERATION 155.0000 | TOTAL G LOSS -1.3424
ITERATION 156.0000 | TOTAL G LOSS -1.4086
ITERATION 157.0000 | TOTAL G LOSS -1.5424
ITERATION 158.0000 | TOTAL G LOSS -1.5717
ITERATION 159.0000 | TOTAL G LOSS -1.5791
ITERATION 160.0000 | TOTAL G LOSS -1.4001
ITERATION 161.0000 | TOTAL G LOSS -1.4389
ITERATION 162.0000 | TOTAL G LOSS -1.4918
ITERATION 163.0000 | TOTAL G LOSS -1.4096
ITERATION 164.0000 | TOTAL G LOSS -1.6393
ITERATION 165.0000 | TOTAL G LOSS -1.5677
ITERATION 166.0000 | TOTAL G LOSS -1.6562
ITERATION 167.0000 | TOTAL G LOSS -1.7551
ITERATION 168.0000 | TOTAL G LOSS -1.5007
ITERATION 169.0000 | TOTAL G LOSS -1.5093
ITERATION 170.0000 | TOTAL G LOSS -1.5917
ITERATION 171.0000 | TOTAL G LOSS -1.7920
ITERATION 172.0000 | TOTAL G LOSS -1.7577
ITERATION 173.0000 | TOTAL G LOSS -1.5664
ITERATION 174.0000 | TOTAL G LOSS -1.6340
ITERATION 175.0000 | TOTAL G LOSS -1.7178
ITERATION 176.0000 | TOTAL G LOSS -1.8154
ITERATION 177.0000 | TOTAL G LOSS -1.7139
ITERATION 178.0000 | TOTAL G LOSS -1.8685
ITERATION 179.0000 | TOTAL G LOSS -1.9204
ITERATION 180.0000 | TOTAL G LOSS -2.0330
ITERATION 181.0000 | TOTAL G LOSS -1.9357
ITERATION 182.0000 | TOTAL G LOSS -1.8764
ITERATION 183.0000 | TOTAL G LOSS -2.1107
ITERATION 184.0000 | TOTAL G LOSS -2.0045
ITERATION 185.0000 | TOTAL G LOSS -2.1476
ITERATION 186.0000 | TOTAL G LOSS -2.0999
ITERATION 187.0000 | TOTAL G LOSS -1.9110
ITERATION 188.0000 | TOTAL G LOSS -2.0147
ITERATION 189.0000 | TOTAL G LOSS -2.0961
ITERATION 190.0000 | TOTAL G LOSS -1.9228
ITERATION 191.0000 | TOTAL G LOSS -1.8929
ITERATION 192.0000 | TOTAL G LOSS -2.1156
ITERATION 193.0000 | TOTAL G LOSS -2.1852
ITERATION 194.0000 | TOTAL G LOSS -2.4033
ITERATION 195.0000 | TOTAL G LOSS -2.2049
ITERATION 196.0000 | TOTAL G LOSS -2.5300
ITERATION 197.0000 | TOTAL G LOSS -2.2902
ITERATION 198.0000 | TOTAL G LOSS -2.2764
ITERATION 199.0000 | TOTAL G LOSS -2.5211
ITERATION 200.0000 | TOTAL G LOSS -2.3497
ITERATION 201.0000 | TOTAL G LOSS -2.7064
ITERATION 202.0000 | TOTAL G LOSS -2.5339
ITERATION 203.0000 | TOTAL G LOSS -2.7196
ITERATION 204.0000 | TOTAL G LOSS -2.4196
ITERATION 205.0000 | TOTAL G LOSS -2.5099
ITERATION 206.0000 | TOTAL G LOSS -2.4303
ITERATION 207.0000 | TOTAL G LOSS -2.4181
ITERATION 208.0000 | TOTAL G LOSS -2.5571
ITERATION 209.0000 | TOTAL G LOSS -2.6439
ITERATION 210.0000 | TOTAL G LOSS -2.6958
ITERATION 211.0000 | TOTAL G LOSS -2.4366
ITERATION 212.0000 | TOTAL G LOSS -2.5325
ITERATION 213.0000 | TOTAL G LOSS -2.8305
ITERATION 214.0000 | TOTAL G LOSS -2.6346
ITERATION 215.0000 | TOTAL G LOSS -2.6852
ITERATION 216.0000 | TOTAL G LOSS -2.5793
ITERATION 217.0000 | TOTAL G LOSS -2.7104
ITERATION 218.0000 | TOTAL G LOSS -3.0259
ITERATION 219.0000 | TOTAL G LOSS -3.0869
ITERATION 220.0000 | TOTAL G LOSS -3.1423
ITERATION 221.0000 | TOTAL G LOSS -3.1739
ITERATION 222.0000 | TOTAL G LOSS -3.0069
ITERATION 223.0000 | TOTAL G LOSS -3.2802
ITERATION 224.0000 | TOTAL G LOSS -3.3697
ITERATION 225.0000 | TOTAL G LOSS -3.0877
ITERATION 226.0000 | TOTAL G LOSS -3.1591
ITERATION 227.0000 | TOTAL G LOSS -3.0436
ITERATION 228.0000 | TOTAL G LOSS -3.0547
ITERATION 229.0000 | TOTAL G LOSS -3.4838
ITERATION 230.0000 | TOTAL G LOSS -3.4911
ITERATION 231.0000 | TOTAL G LOSS -3.2176
ITERATION 232.0000 | TOTAL G LOSS -3.2404
ITERATION 233.0000 | TOTAL G LOSS -3.1445
ITERATION 234.0000 | TOTAL G LOSS -3.4664
ITERATION 235.0000 | TOTAL G LOSS -3.7830
ITERATION 236.0000 | TOTAL G LOSS -3.5469
ITERATION 237.0000 | TOTAL G LOSS -3.5819
ITERATION 238.0000 | TOTAL G LOSS -3.7395
ITERATION 239.0000 | TOTAL G LOSS -3.9242
ITERATION 240.0000 | TOTAL G LOSS -3.5197
ITERATION 241.0000 | TOTAL G LOSS -3.4650
ITERATION 242.0000 | TOTAL G LOSS -3.7938
ITERATION 243.0000 | TOTAL G LOSS -3.7274
ITERATION 244.0000 | TOTAL G LOSS -3.6427
