α=62.00%, θ*=2.05, TPR=0.6052, FPR=0.5680, PPV=0.5159, Advantage=0.0373
α=63.00%, θ*=2.10, TPR=0.6604, FPR=0.6294, PPV=0.5120, Advantage=0.0310
α=64.00%, θ*=2.10, TPR=0.6604, FPR=0.6294, PPV=0.5120, Advantage=0.0310
α=65.00%, θ*=2.10, TPR=0.6604, FPR=0.6294, PPV=0.5120, Advantage=0.0310
α=66.00%, θ*=2.10, TPR=0.6604, FPR=0.6294, PPV=0.5120, Advantage=0.0310
α=67.00%, θ*=2.15, TPR=0.7037, FPR=0.6689, PPV=0.5127, Advantage=0.0349
α=68.00%, θ*=2.15, TPR=0.7037, FPR=0.6689, PPV=0.5127, Advantage=0.0349
α=69.00%, θ*=2.15, TPR=0.7037, FPR=0.6689, PPV=0.5127, Advantage=0.0349
α=70.00%, θ*=2.15, TPR=0.7037, FPR=0.6689, PPV=0.5127, Advantage=0.0349
α=71.00%, θ*=2.15, TPR=0.7037, FPR=0.6689, PPV=0.5127, Advantage=0.0349
α=72.00%, θ*=2.15, TPR=0.7037, FPR=0.6689, PPV=0.5127, Advantage=0.0349
α=73.00%, θ*=2.15, TPR=0.7037, FPR=0.6689, PPV=0.5127, Advantage=0.0349
α=74.00%, θ*=2.20, TPR=0.7390, FPR=0.7303, PPV=0.5030, Advantage=0.0088
α=75.00%, θ*=2.20, TPR=0.7390, FPR=0.7303, PPV=0.5030, Advantage=0.0088
α=76.00%, θ*=2.20, TPR=0.7390, FPR=0.7303, PPV=0.5030, Advantage=0.0088
α=77.00%, θ*=2.20, TPR=0.7390, FPR=0.7303, PPV=0.5030, Advantage=0.0088
α=78.00%, θ*=2.20, TPR=0.7390, FPR=0.7303, PPV=0.5030, Advantage=0.0088
α=79.00%, θ*=2.20, TPR=0.7390, FPR=0.7303, PPV=0.5030, Advantage=0.0088
α=80.00%, θ*=2.25, TPR=0.7665, FPR=0.7982, PPV=0.4898, Advantage=-0.0318
α=81.00%, θ*=2.25, TPR=0.7665, FPR=0.7982, PPV=0.4898, Advantage=-0.0318
α=82.00%, θ*=2.25, TPR=0.7665, FPR=0.7982, PPV=0.4898, Advantage=-0.0318
α=83.00%, θ*=2.25, TPR=0.7665, FPR=0.7982, PPV=0.4898, Advantage=-0.0318
α=84.00%, θ*=2.25, TPR=0.7665, FPR=0.7982, PPV=0.4898, Advantage=-0.0318
α=85.00%, θ*=2.25, TPR=0.7665, FPR=0.7982, PPV=0.4898, Advantage=-0.0318
α=86.00%, θ*=2.30, TPR=0.7915, FPR=0.8575, PPV=0.4800, Advantage=-0.0660
α=87.00%, θ*=2.30, TPR=0.7915, FPR=0.8575, PPV=0.4800, Advantage=-0.0660
α=88.00%, θ*=2.30, TPR=0.7915, FPR=0.8575, PPV=0.4800, Advantage=-0.0660
α=89.00%, θ*=2.30, TPR=0.7915, FPR=0.8575, PPV=0.4800, Advantage=-0.0660
α=90.00%, θ*=2.35, TPR=0.8211, FPR=0.8969, PPV=0.4779, Advantage=-0.0758
α=91.00%, θ*=2.35, TPR=0.8211, FPR=0.8969, PPV=0.4779, Advantage=-0.0758
α=92.00%, θ*=2.35, TPR=0.8211, FPR=0.8969, PPV=0.4779, Advantage=-0.0758
α=93.00%, θ*=2.35, TPR=0.8211, FPR=0.8969, PPV=0.4779, Advantage=-0.0758
α=94.00%, θ*=2.35, TPR=0.8211, FPR=0.8969, PPV=0.4779, Advantage=-0.0758
α=95.00%, θ*=2.40, TPR=0.8520, FPR=0.9430, PPV=0.4747, Advantage=-0.0910
α=96.00%, θ*=2.40, TPR=0.8520, FPR=0.9430, PPV=0.4747, Advantage=-0.0910
α=97.00%, θ*=2.45, TPR=0.8726, FPR=0.9649, PPV=0.4749, Advantage=-0.0923
α=98.00%, θ*=2.65, TPR=0.9451, FPR=0.9715, PPV=0.4931, Advantage=-0.0264
α=99.00%, θ*=2.70, TPR=0.9552, FPR=0.9825, PPV=0.4930, Advantage=-0.0273
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
