Logging
iteration 2650 | D LOSS = 1.3649 | G LOSS = -0.0328 | AVG R =0.4880 | mean_pen: 0.0011 |  
iteration 2700 | D LOSS = 1.3658 | G LOSS = -0.0426 | AVG R =0.4897 | mean_pen: 0.0013 |  
iteration 2750 | D LOSS = 1.3647 | G LOSS = -0.0293 | AVG R =0.4891 | mean_pen: 0.0012 |  
iteration 2800 | D LOSS = 1.3649 | G LOSS = -0.0379 | AVG R =0.4877 | mean_pen: 0.0010 |  
iteration 2850 | D LOSS = 1.3665 | G LOSS = -0.0364 | AVG R =0.4897 | mean_pen: 0.0010 |  
iteration 2900 | D LOSS = 1.3648 | G LOSS = -0.0377 | AVG R =0.4890 | mean_pen: 0.0009 |  
iteration 2950 | D LOSS = 1.3658 | G LOSS = -0.0379 | AVG R =0.4896 | mean_pen: 0.0009 |  
iteration 3000 | D LOSS = 1.3657 | G LOSS = -0.0376 | AVG R =0.4890 | mean_pen: 0.0009 |  
iteration 3050 | D LOSS = 1.3668 | G LOSS = -0.0412 | AVG R =0.4899 | mean_pen: 0.0008 |  
iteration 3100 | D LOSS = 1.3668 | G LOSS = -0.0362 | AVG R =0.4902 | mean_pen: 0.0010 |  
iteration 3150 | D LOSS = 1.3667 | G LOSS = -0.0349 | AVG R =0.4900 | mean_pen: 0.0010 |  
iteration 3200 | D LOSS = 1.3673 | G LOSS = -0.0268 | AVG R =0.4897 | mean_pen: 0.0010 |  
iteration 3250 | D LOSS = 1.3674 | G LOSS = -0.0398 | AVG R =0.4897 | mean_pen: 0.0009 |  
iteration 3300 | D LOSS = 1.3679 | G LOSS = -0.0298 | AVG R =0.4917 | mean_pen: 0.0009 |  
iteration 3350 | D LOSS = 1.3677 | G LOSS = -0.0376 | AVG R =0.4904 | mean_pen: 0.0007 |  
iteration 3400 | D LOSS = 1.3685 | G LOSS = -0.0294 | AVG R =0.4918 | mean_pen: 0.0008 |  
iteration 3450 | D LOSS = 1.3675 | G LOSS = -0.0276 | AVG R =0.4917 | mean_pen: 0.0008 |  
iteration 3500 | D LOSS = 1.3691 | G LOSS = -0.0362 | AVG R =0.4908 | mean_pen: 0.0006 |  
iteration 3550 | D LOSS = 1.3691 | G LOSS = -0.0433 | AVG R =0.4914 | mean_pen: 0.0006 |  
iteration 3600 | D LOSS = 1.3705 | G LOSS = -0.0384 | AVG R =0.4911 | mean_pen: 0.0005 |  
iteration 3650 | D LOSS = 1.3684 | G LOSS = -0.0374 | AVG R =0.4925 | mean_pen: 0.0005 |  
iteration 3700 | D LOSS = 1.3698 | G LOSS = -0.0405 | AVG R =0.4912 | mean_pen: 0.0007 |  
iteration 3750 | D LOSS = 1.3690 | G LOSS = -0.0345 | AVG R =0.4919 | mean_pen: 0.0007 |  
iteration 3800 | D LOSS = 1.3710 | G LOSS = -0.0325 | AVG R =0.4911 | mean_pen: 0.0004 |  
iteration 3850 | D LOSS = 1.3698 | G LOSS = -0.0399 | AVG R =0.4918 | mean_pen: 0.0005 |  
iteration 3900 | D LOSS = 1.3704 | G LOSS = -0.0349 | AVG R =0.4915 | mean_pen: 0.0006 |  
iteration 3950 | D LOSS = 1.3701 | G LOSS = -0.0331 | AVG R =0.4920 | mean_pen: 0.0006 |  
iteration 4000 | D LOSS = 1.3710 | G LOSS = -0.0346 | AVG R =0.4916 | mean_pen: 0.0005 |  
iteration 4050 | D LOSS = 1.3705 | G LOSS = -0.0309 | AVG R =0.4914 | mean_pen: 0.0006 |  
iteration 4100 | D LOSS = 1.3703 | G LOSS = -0.0304 | AVG R =0.4913 | mean_pen: 0.0004 |  
iteration 4150 | D LOSS = 1.3710 | G LOSS = -0.0323 | AVG R =0.4918 | mean_pen: 0.0005 |  
iteration 4200 | D LOSS = 1.3721 | G LOSS = -0.0326 | AVG R =0.4919 | mean_pen: 0.0004 |  
iteration 4250 | D LOSS = 1.3717 | G LOSS = -0.0364 | AVG R =0.4922 | mean_pen: 0.0004 |  
iteration 4300 | D LOSS = 1.3713 | G LOSS = -0.0387 | AVG R =0.4930 | mean_pen: 0.0004 |  
iteration 4350 | D LOSS = 1.3711 | G LOSS = -0.0390 | AVG R =0.4926 | mean_pen: 0.0004 |  
iteration 4400 | D LOSS = 1.3722 | G LOSS = -0.0363 | AVG R =0.4927 | mean_pen: 0.0004 |  
iteration 4450 | D LOSS = 1.3722 | G LOSS = -0.0326 | AVG R =0.4925 | mean_pen: 0.0004 |  
iteration 4500 | D LOSS = 1.3720 | G LOSS = -0.0391 | AVG R =0.4932 | mean_pen: 0.0003 |  
iteration 4550 | D LOSS = 1.3712 | G LOSS = -0.0343 | AVG R =0.4930 | mean_pen: 0.0003 |  
iteration 4600 | D LOSS = 1.3718 | G LOSS = -0.0306 | AVG R =0.4932 | mean_pen: 0.0003 |  
iteration 4650 | D LOSS = 1.3716 | G LOSS = -0.0421 | AVG R =0.4929 | mean_pen: 0.0003 |  
iteration 4700 | D LOSS = 1.3729 | G LOSS = -0.0374 | AVG R =0.4940 | mean_pen: 0.0004 |  
iteration 4750 | D LOSS = 1.3735 | G LOSS = -0.0296 | AVG R =0.4933 | mean_pen: 0.0004 |  
iteration 4800 | D LOSS = 1.3732 | G LOSS = -0.0329 | AVG R =0.4930 | mean_pen: 0.0004 |  
iteration 4850 | D LOSS = 1.3728 | G LOSS = -0.0391 | AVG R =0.4930 | mean_pen: 0.0003 |  
iteration 4900 | D LOSS = 1.3727 | G LOSS = -0.0362 | AVG R =0.4931 | mean_pen: 0.0003 |  
iteration 4950 | D LOSS = 1.3726 | G LOSS = -0.0341 | AVG R =0.4937 | mean_pen: 0.0003 |  
iteration 5000 | D LOSS = 1.3736 | G LOSS = -0.0337 | AVG R =0.4932 | mean_pen: 0.0004 |  
iteration 5050 | D LOSS = 1.3737 | G LOSS = -0.0359 | AVG R =0.4939 | mean_pen: 0.0003 |  
iteration 5100 | D LOSS = 1.3732 | G LOSS = -0.0354 | AVG R =0.4934 | mean_pen: 0.0003 |  
iteration 5150 | D LOSS = 1.3736 | G LOSS = -0.0292 | AVG R =0.4938 | mean_pen: 0.0004 |  
iteration 5200 | D LOSS = 1.3736 | G LOSS = -0.0308 | AVG R =0.4936 | mean_pen: 0.0003 |  
iteration 5250 | D LOSS = 1.3746 | G LOSS = -0.0394 | AVG R =0.4944 | mean_pen: 0.0003 |  
iteration 5300 | D LOSS = 1.3741 | G LOSS = -0.0405 | AVG R =0.4936 | mean_pen: 0.0002 |  
iteration 5350 | D LOSS = 1.3745 | G LOSS = -0.0205 | AVG R =0.4936 | mean_pen: 0.0003 |  
iteration 5400 | D LOSS = 1.3737 | G LOSS = -0.0350 | AVG R =0.4939 | mean_pen: 0.0003 |  
iteration 5450 | D LOSS = 1.3746 | G LOSS = -0.0307 | AVG R =0.4940 | mean_pen: 0.0002 |  
iteration 5500 | D LOSS = 1.3744 | G LOSS = -0.0330 | AVG R =0.4939 | mean_pen: 0.0003 |  
iteration 5550 | D LOSS = 1.3742 | G LOSS = -0.0369 | AVG R =0.4936 | mean_pen: 0.0002 |  
iteration 5600 | D LOSS = 1.3747 | G LOSS = -0.0326 | AVG R =0.4940 | mean_pen: 0.0003 |  
iteration 5650 | D LOSS = 1.3750 | G LOSS = -0.0353 | AVG R =0.4943 | mean_pen: 0.0002 |  
iteration 5700 | D LOSS = 1.3756 | G LOSS = -0.0349 | AVG R =0.4943 | mean_pen: 0.0003 |  
