Logging
iteration 2650 | D LOSS = 1.3470 | G LOSS = 0.0116 | AVG R =0.4801 | mean_pen: 0.0007 |  
iteration 2700 | D LOSS = 1.3471 | G LOSS = 0.0100 | AVG R =0.4810 | mean_pen: 0.0008 |  
iteration 2750 | D LOSS = 1.3466 | G LOSS = 0.0114 | AVG R =0.4800 | mean_pen: 0.0008 |  
iteration 2800 | D LOSS = 1.3468 | G LOSS = 0.0107 | AVG R =0.4806 | mean_pen: 0.0008 |  
iteration 2850 | D LOSS = 1.3478 | G LOSS = 0.0108 | AVG R =0.4808 | mean_pen: 0.0008 |  
iteration 2900 | D LOSS = 1.3478 | G LOSS = 0.0101 | AVG R =0.4813 | mean_pen: 0.0007 |  
iteration 2950 | D LOSS = 1.3474 | G LOSS = 0.0107 | AVG R =0.4802 | mean_pen: 0.0007 |  
iteration 3000 | D LOSS = 1.3485 | G LOSS = 0.0096 | AVG R =0.4809 | mean_pen: 0.0007 |  
iteration 3050 | D LOSS = 1.3480 | G LOSS = 0.0170 | AVG R =0.4808 | mean_pen: 0.0007 |  
iteration 3100 | D LOSS = 1.3490 | G LOSS = 0.0132 | AVG R =0.4807 | mean_pen: 0.0007 |  
iteration 3150 | D LOSS = 1.3488 | G LOSS = 0.0107 | AVG R =0.4812 | mean_pen: 0.0006 |  
iteration 3200 | D LOSS = 1.3489 | G LOSS = 0.0113 | AVG R =0.4812 | mean_pen: 0.0006 |  
iteration 3250 | D LOSS = 1.3498 | G LOSS = 0.0115 | AVG R =0.4815 | mean_pen: 0.0006 |  
iteration 3300 | D LOSS = 1.3491 | G LOSS = 0.0103 | AVG R =0.4817 | mean_pen: 0.0005 |  
iteration 3350 | D LOSS = 1.3498 | G LOSS = 0.0190 | AVG R =0.4815 | mean_pen: 0.0005 |  
iteration 3400 | D LOSS = 1.3490 | G LOSS = 0.0109 | AVG R =0.4821 | mean_pen: 0.0005 |  
iteration 3450 | D LOSS = 1.3495 | G LOSS = 0.0121 | AVG R =0.4819 | mean_pen: 0.0005 |  
iteration 3500 | D LOSS = 1.3498 | G LOSS = 0.0109 | AVG R =0.4823 | mean_pen: 0.0005 |  
iteration 3550 | D LOSS = 1.3502 | G LOSS = 0.0126 | AVG R =0.4820 | mean_pen: 0.0005 |  
iteration 3600 | D LOSS = 1.3500 | G LOSS = 0.0125 | AVG R =0.4820 | mean_pen: 0.0005 |  
iteration 3650 | D LOSS = 1.3517 | G LOSS = 0.0120 | AVG R =0.4818 | mean_pen: 0.0004 |  
iteration 3700 | D LOSS = 1.3501 | G LOSS = 0.0121 | AVG R =0.4819 | mean_pen: 0.0005 |  
iteration 3750 | D LOSS = 1.3501 | G LOSS = 0.0135 | AVG R =0.4821 | mean_pen: 0.0004 |  
iteration 3800 | D LOSS = 1.3502 | G LOSS = 0.0104 | AVG R =0.4818 | mean_pen: 0.0004 |  
iteration 3850 | D LOSS = 1.3503 | G LOSS = 0.0110 | AVG R =0.4818 | mean_pen: 0.0004 |  
iteration 3900 | D LOSS = 1.3507 | G LOSS = 0.0107 | AVG R =0.4819 | mean_pen: 0.0004 |  
iteration 3950 | D LOSS = 1.3491 | G LOSS = 0.0107 | AVG R =0.4826 | mean_pen: 0.0004 |  
iteration 4000 | D LOSS = 1.3495 | G LOSS = 0.0105 | AVG R =0.4817 | mean_pen: 0.0004 |  
iteration 4050 | D LOSS = 1.3490 | G LOSS = 0.0110 | AVG R =0.4812 | mean_pen: 0.0004 |  
iteration 4100 | D LOSS = 1.3499 | G LOSS = 0.0106 | AVG R =0.4815 | mean_pen: 0.0004 |  
iteration 4150 | D LOSS = 1.3513 | G LOSS = 0.0115 | AVG R =0.4822 | mean_pen: 0.0004 |  
iteration 4200 | D LOSS = 1.3502 | G LOSS = 0.0100 | AVG R =0.4820 | mean_pen: 0.0004 |  
iteration 4250 | D LOSS = 1.3503 | G LOSS = 0.0100 | AVG R =0.4826 | mean_pen: 0.0004 |  
iteration 4300 | D LOSS = 1.3502 | G LOSS = 0.0096 | AVG R =0.4820 | mean_pen: 0.0004 |  
iteration 4350 | D LOSS = 1.3511 | G LOSS = 0.0100 | AVG R =0.4826 | mean_pen: 0.0004 |  
iteration 4400 | D LOSS = 1.3497 | G LOSS = 0.0087 | AVG R =0.4825 | mean_pen: 0.0004 |  
iteration 4450 | D LOSS = 1.3501 | G LOSS = 0.0080 | AVG R =0.4826 | mean_pen: 0.0004 |  
iteration 4500 | D LOSS = 1.3509 | G LOSS = 0.0107 | AVG R =0.4819 | mean_pen: 0.0004 |  
iteration 4550 | D LOSS = 1.3512 | G LOSS = 0.0082 | AVG R =0.4821 | mean_pen: 0.0004 |  
iteration 4600 | D LOSS = 1.3513 | G LOSS = 0.0097 | AVG R =0.4820 | mean_pen: 0.0004 |  
iteration 4650 | D LOSS = 1.3513 | G LOSS = 0.0104 | AVG R =0.4830 | mean_pen: 0.0005 |  
iteration 4700 | D LOSS = 1.3510 | G LOSS = 0.0119 | AVG R =0.4821 | mean_pen: 0.0004 |  
iteration 4750 | D LOSS = 1.3516 | G LOSS = 0.0100 | AVG R =0.4820 | mean_pen: 0.0004 |  
iteration 4800 | D LOSS = 1.3516 | G LOSS = 0.0116 | AVG R =0.4828 | mean_pen: 0.0005 |  
iteration 4850 | D LOSS = 1.3514 | G LOSS = 0.0113 | AVG R =0.4827 | mean_pen: 0.0004 |  
iteration 4900 | D LOSS = 1.3511 | G LOSS = 0.0104 | AVG R =0.4823 | mean_pen: 0.0004 |  
iteration 4950 | D LOSS = 1.3515 | G LOSS = 0.0116 | AVG R =0.4831 | mean_pen: 0.0005 |  
iteration 5000 | D LOSS = 1.3518 | G LOSS = 0.0101 | AVG R =0.4829 | mean_pen: 0.0004 |  
iteration 5050 | D LOSS = 1.3517 | G LOSS = 0.0107 | AVG R =0.4822 | mean_pen: 0.0004 |  
iteration 5100 | D LOSS = 1.3523 | G LOSS = 0.0114 | AVG R =0.4827 | mean_pen: 0.0005 |  
iteration 5150 | D LOSS = 1.3515 | G LOSS = 0.0127 | AVG R =0.4831 | mean_pen: 0.0005 |  
iteration 5200 | D LOSS = 1.3519 | G LOSS = 0.0118 | AVG R =0.4828 | mean_pen: 0.0004 |  
iteration 5250 | D LOSS = 1.3521 | G LOSS = 0.0127 | AVG R =0.4831 | mean_pen: 0.0005 |  
iteration 5300 | D LOSS = 1.3519 | G LOSS = 0.0102 | AVG R =0.4828 | mean_pen: 0.0004 |  
iteration 5350 | D LOSS = 1.3519 | G LOSS = 0.0098 | AVG R =0.4836 | mean_pen: 0.0004 |  
iteration 5400 | D LOSS = 1.3518 | G LOSS = 0.0094 | AVG R =0.4831 | mean_pen: 0.0004 |  
iteration 5450 | D LOSS = 1.3534 | G LOSS = 0.0070 | AVG R =0.4833 | mean_pen: 0.0004 |  
iteration 5500 | D LOSS = 1.3522 | G LOSS = 0.0076 | AVG R =0.4825 | mean_pen: 0.0003 |  
iteration 5550 | D LOSS = 1.3521 | G LOSS = 0.0095 | AVG R =0.4837 | mean_pen: 0.0004 |  
iteration 5600 | D LOSS = 1.3531 | G LOSS = 0.0075 | AVG R =0.4831 | mean_pen: 0.0004 |  
iteration 5650 | D LOSS = 1.3523 | G LOSS = 0.0081 | AVG R =0.4826 | mean_pen: 0.0004 |  
iteration 5700 | D LOSS = 1.3525 | G LOSS = 0.0065 | AVG R =0.4831 | mean_pen: 0.0003 |  
iteration 5750 | D LOSS = 1.3533 | G LOSS = 0.0080 | AVG R =0.4828 | mean_pen: 0.0004 |  
iteration 5800 | D LOSS = 1.3525 | G LOSS = 0.0089 | AVG R =0.4835 | mean_pen: 0.0004 |  
iteration 5850 | D LOSS = 1.3521 | G LOSS = 0.0073 | AVG R =0.4836 | mean_pen: 0.0003 |  
iteration 5900 | D LOSS = 1.3520 | G LOSS = 0.0059 | AVG R =0.4837 | mean_pen: 0.0003 |  
iteration 5950 | D LOSS = 1.3536 | G LOSS = 0.0056 | AVG R =0.4834 | mean_pen: 0.0003 |  
iteration 6000 | D LOSS = 1.3532 | G LOSS = 0.0054 | AVG R =0.4835 | mean_pen: 0.0003 |  
iteration 6050 | D LOSS = 1.3528 | G LOSS = 0.0077 | AVG R =0.4838 | mean_pen: 0.0003 |  
iteration 6100 | D LOSS = 1.3516 | G LOSS = 0.0063 | AVG R =0.4835 | mean_pen: 0.0003 |  
iteration 6150 | D LOSS = 1.3536 | G LOSS = 0.0055 | AVG R =0.4838 | mean_pen: 0.0003 |  
iteration 6200 | D LOSS = 1.3535 | G LOSS = 0.0042 | AVG R =0.4835 | mean_pen: 0.0003 |  
iteration 6250 | D LOSS = 1.3538 | G LOSS = 0.0039 | AVG R =0.4829 | mean_pen: 0.0002 |  
iteration 6300 | D LOSS = 1.3538 | G LOSS = 0.0062 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 6350 | D LOSS = 1.3541 | G LOSS = 0.0055 | AVG R =0.4836 | mean_pen: 0.0002 |  
iteration 6400 | D LOSS = 1.3542 | G LOSS = 0.0061 | AVG R =0.4837 | mean_pen: 0.0003 |  
iteration 6450 | D LOSS = 1.3541 | G LOSS = 0.0047 | AVG R =0.4840 | mean_pen: 0.0002 |  
iteration 6500 | D LOSS = 1.3547 | G LOSS = 0.0068 | AVG R =0.4832 | mean_pen: 0.0003 |  
iteration 6550 | D LOSS = 1.3535 | G LOSS = 0.0078 | AVG R =0.4841 | mean_pen: 0.0003 |  
iteration 6600 | D LOSS = 1.3528 | G LOSS = 0.0078 | AVG R =0.4842 | mean_pen: 0.0003 |  
iteration 6650 | D LOSS = 1.3532 | G LOSS = 0.0065 | AVG R =0.4841 | mean_pen: 0.0003 |  
iteration 6700 | D LOSS = 1.3539 | G LOSS = 0.0066 | AVG R =0.4835 | mean_pen: 0.0003 |  
iteration 6750 | D LOSS = 1.3534 | G LOSS = 0.0075 | AVG R =0.4837 | mean_pen: 0.0003 |  
iteration 6800 | D LOSS = 1.3536 | G LOSS = 0.0071 | AVG R =0.4840 | mean_pen: 0.0002 |  
iteration 6850 | D LOSS = 1.3540 | G LOSS = 0.0100 | AVG R =0.4842 | mean_pen: 0.0003 |  
iteration 6900 | D LOSS = 1.3537 | G LOSS = 0.0090 | AVG R =0.4841 | mean_pen: 0.0003 |  
iteration 6950 | D LOSS = 1.3541 | G LOSS = 0.0092 | AVG R =0.4841 | mean_pen: 0.0003 |  
iteration 7000 | D LOSS = 1.3538 | G LOSS = 0.0082 | AVG R =0.4842 | mean_pen: 0.0002 |  
iteration 7050 | D LOSS = 1.3542 | G LOSS = 0.0078 | AVG R =0.4835 | mean_pen: 0.0003 |  
iteration 7100 | D LOSS = 1.3540 | G LOSS = 0.0058 | AVG R =0.4842 | mean_pen: 0.0002 |  
iteration 7150 | D LOSS = 1.3544 | G LOSS = 0.0094 | AVG R =0.4838 | mean_pen: 0.0002 |  
iteration 7200 | D LOSS = 1.3538 | G LOSS = 0.0094 | AVG R =0.4838 | mean_pen: 0.0002 |  
iteration 7250 | D LOSS = 1.3542 | G LOSS = 0.0097 | AVG R =0.4838 | mean_pen: 0.0003 |  
iteration 7300 | D LOSS = 1.3549 | G LOSS = 0.0080 | AVG R =0.4847 | mean_pen: 0.0003 |  
iteration 7350 | D LOSS = 1.3555 | G LOSS = 0.0085 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 7400 | D LOSS = 1.3549 | G LOSS = 0.0064 | AVG R =0.4843 | mean_pen: 0.0002 |  
iteration 7450 | D LOSS = 1.3553 | G LOSS = 0.0084 | AVG R =0.4844 | mean_pen: 0.0003 |  
iteration 7500 | D LOSS = 1.3558 | G LOSS = 0.0078 | AVG R =0.4838 | mean_pen: 0.0002 |  
iteration 7550 | D LOSS = 1.3543 | G LOSS = 0.0074 | AVG R =0.4843 | mean_pen: 0.0002 |  
iteration 7600 | D LOSS = 1.3548 | G LOSS = 0.0090 | AVG R =0.4837 | mean_pen: 0.0002 |  
iteration 7650 | D LOSS = 1.3542 | G LOSS = 0.0093 | AVG R =0.4841 | mean_pen: 0.0003 |  
iteration 7700 | D LOSS = 1.3541 | G LOSS = 0.0098 | AVG R =0.4837 | mean_pen: 0.0003 |  
iteration 7750 | D LOSS = 1.3547 | G LOSS = 0.0101 | AVG R =0.4839 | mean_pen: 0.0003 |  
iteration 7800 | D LOSS = 1.3547 | G LOSS = 0.0096 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 7850 | D LOSS = 1.3549 | G LOSS = 0.0107 | AVG R =0.4843 | mean_pen: 0.0003 |  
iteration 7900 | D LOSS = 1.3550 | G LOSS = 0.0087 | AVG R =0.4838 | mean_pen: 0.0003 |  
iteration 7950 | D LOSS = 1.3544 | G LOSS = 0.0088 | AVG R =0.4842 | mean_pen: 0.0002 |  
iteration 8000 | D LOSS = 1.3543 | G LOSS = 0.0092 | AVG R =0.4844 | mean_pen: 0.0002 |  
iteration 8050 | D LOSS = 1.3551 | G LOSS = 0.0105 | AVG R =0.4843 | mean_pen: 0.0002 |  
iteration 8100 | D LOSS = 1.3549 | G LOSS = 0.0110 | AVG R =0.4841 | mean_pen: 0.0003 |  
iteration 8150 | D LOSS = 1.3566 | G LOSS = 0.0089 | AVG R =0.4843 | mean_pen: 0.0002 |  
iteration 8200 | D LOSS = 1.3555 | G LOSS = 0.0102 | AVG R =0.4839 | mean_pen: 0.0002 |  
iteration 8250 | D LOSS = 1.3552 | G LOSS = 0.0093 | AVG R =0.4843 | mean_pen: 0.0003 |  
iteration 8300 | D LOSS = 1.3560 | G LOSS = 0.0100 | AVG R =0.4844 | mean_pen: 0.0002 |  
iteration 8350 | D LOSS = 1.3542 | G LOSS = 0.0078 | AVG R =0.4835 | mean_pen: 0.0002 |  
iteration 8400 | D LOSS = 1.3554 | G LOSS = 0.0074 | AVG R =0.4845 | mean_pen: 0.0002 |  
iteration 8450 | D LOSS = 1.3556 | G LOSS = 0.0082 | AVG R =0.4845 | mean_pen: 0.0002 |  
iteration 8500 | D LOSS = 1.3560 | G LOSS = 0.0072 | AVG R =0.4843 | mean_pen: 0.0002 |  
iteration 8550 | D LOSS = 1.3549 | G LOSS = 0.0084 | AVG R =0.4842 | mean_pen: 0.0002 |  
iteration 8600 | D LOSS = 1.3556 | G LOSS = 0.0056 | AVG R =0.4846 | mean_pen: 0.0002 |  
iteration 8650 | D LOSS = 1.3552 | G LOSS = 0.0084 | AVG R =0.4850 | mean_pen: 0.0002 |  
iteration 8700 | D LOSS = 1.3557 | G LOSS = 0.0076 | AVG R =0.4844 | mean_pen: 0.0002 |  
iteration 8750 | D LOSS = 1.3551 | G LOSS = 0.0104 | AVG R =0.4844 | mean_pen: 0.0002 |  
iteration 8800 | D LOSS = 1.3540 | G LOSS = 0.0115 | AVG R =0.4851 | mean_pen: 0.0002 |  
iteration 8850 | D LOSS = 1.3560 | G LOSS = 0.0112 | AVG R =0.4849 | mean_pen: 0.0003 |  
iteration 8900 | D LOSS = 1.3553 | G LOSS = 0.0098 | AVG R =0.4843 | mean_pen: 0.0003 |  
iteration 8950 | D LOSS = 1.3550 | G LOSS = 0.0124 | AVG R =0.4853 | mean_pen: 0.0003 |  
iteration 9000 | D LOSS = 1.3553 | G LOSS = 0.0096 | AVG R =0.4841 | mean_pen: 0.0003 |  
iteration 9050 | D LOSS = 1.3546 | G LOSS = 0.0092 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 9100 | D LOSS = 1.3544 | G LOSS = 0.0099 | AVG R =0.4847 | mean_pen: 0.0003 |  
iteration 9150 | D LOSS = 1.3547 | G LOSS = 0.0102 | AVG R =0.4849 | mean_pen: 0.0003 |  
iteration 9200 | D LOSS = 1.3545 | G LOSS = 0.0100 | AVG R =0.4835 | mean_pen: 0.0003 |  
