α=62.00%, θ*=2.05, TPR=0.6580, FPR=0.6073, PPV=0.5200, Advantage=0.0507
α=63.00%, θ*=2.05, TPR=0.6580, FPR=0.6073, PPV=0.5200, Advantage=0.0507
α=64.00%, θ*=2.05, TPR=0.6580, FPR=0.6073, PPV=0.5200, Advantage=0.0507
α=65.00%, θ*=2.05, TPR=0.6580, FPR=0.6073, PPV=0.5200, Advantage=0.0507
α=66.00%, θ*=2.05, TPR=0.6580, FPR=0.6073, PPV=0.5200, Advantage=0.0507
α=67.00%, θ*=2.05, TPR=0.6580, FPR=0.6073, PPV=0.5200, Advantage=0.0507
α=68.00%, θ*=2.05, TPR=0.6580, FPR=0.6073, PPV=0.5200, Advantage=0.0507
α=69.00%, θ*=2.10, TPR=0.6965, FPR=0.6826, PPV=0.5050, Advantage=0.0139
α=70.00%, θ*=2.10, TPR=0.6965, FPR=0.6826, PPV=0.5050, Advantage=0.0139
α=71.00%, θ*=2.10, TPR=0.6965, FPR=0.6826, PPV=0.5050, Advantage=0.0139
α=72.00%, θ*=2.15, TPR=0.7221, FPR=0.7100, PPV=0.5042, Advantage=0.0121
α=73.00%, θ*=2.20, TPR=0.7558, FPR=0.7237, PPV=0.5108, Advantage=0.0320
α=74.00%, θ*=2.20, TPR=0.7558, FPR=0.7237, PPV=0.5108, Advantage=0.0320
α=75.00%, θ*=2.20, TPR=0.7558, FPR=0.7237, PPV=0.5108, Advantage=0.0320
α=76.00%, θ*=2.20, TPR=0.7558, FPR=0.7237, PPV=0.5108, Advantage=0.0320
α=77.00%, θ*=2.25, TPR=0.7887, FPR=0.7626, PPV=0.5084, Advantage=0.0262
α=78.00%, θ*=2.25, TPR=0.7887, FPR=0.7626, PPV=0.5084, Advantage=0.0262
α=79.00%, θ*=2.30, TPR=0.8182, FPR=0.7854, PPV=0.5102, Advantage=0.0329
α=80.00%, θ*=2.30, TPR=0.8182, FPR=0.7854, PPV=0.5102, Advantage=0.0329
α=81.00%, θ*=2.30, TPR=0.8182, FPR=0.7854, PPV=0.5102, Advantage=0.0329
α=82.00%, θ*=2.35, TPR=0.8431, FPR=0.8151, PPV=0.5085, Advantage=0.0281
α=83.00%, θ*=2.35, TPR=0.8431, FPR=0.8151, PPV=0.5085, Advantage=0.0281
α=84.00%, θ*=2.35, TPR=0.8431, FPR=0.8151, PPV=0.5085, Advantage=0.0281
α=85.00%, θ*=2.35, TPR=0.8431, FPR=0.8151, PPV=0.5085, Advantage=0.0281
α=86.00%, θ*=2.40, TPR=0.8624, FPR=0.8562, PPV=0.5018, Advantage=0.0062
α=87.00%, θ*=2.40, TPR=0.8624, FPR=0.8562, PPV=0.5018, Advantage=0.0062
α=88.00%, θ*=2.40, TPR=0.8624, FPR=0.8562, PPV=0.5018, Advantage=0.0062
α=89.00%, θ*=2.45, TPR=0.8878, FPR=0.8813, PPV=0.5018, Advantage=0.0065
