Logging
iteration 3400 | D LOSS = 1.3633 | G LOSS = -1.9375 | AVG R =0.4895 |  
iteration 3450 | D LOSS = 1.3623 | G LOSS = -2.1063 | AVG R =0.4887 |  
iteration 3500 | D LOSS = 1.3633 | G LOSS = -0.4993 | AVG R =0.4881 |  
iteration 3550 | D LOSS = 1.3617 | G LOSS = 0.8497 | AVG R =0.4894 |  
iteration 3600 | D LOSS = 1.3614 | G LOSS = -0.8630 | AVG R =0.4873 |  
iteration 3650 | D LOSS = 1.3623 | G LOSS = 0.3785 | AVG R =0.4878 |  
iteration 3700 | D LOSS = 1.3624 | G LOSS = -0.4123 | AVG R =0.4879 |  
iteration 3750 | D LOSS = 1.3613 | G LOSS = -1.8352 | AVG R =0.4868 |  
iteration 3800 | D LOSS = 1.3608 | G LOSS = 0.8588 | AVG R =0.4868 |  
iteration 3850 | D LOSS = 1.3619 | G LOSS = -1.4851 | AVG R =0.4869 |  
iteration 3900 | D LOSS = 1.3612 | G LOSS = 2.6055 | AVG R =0.4887 |  
iteration 3950 | D LOSS = 1.3605 | G LOSS = -1.9604 | AVG R =0.4876 |  
iteration 4000 | D LOSS = 1.3612 | G LOSS = -0.1083 | AVG R =0.4860 |  
iteration 4050 | D LOSS = 1.3602 | G LOSS = -0.1923 | AVG R =0.4869 |  
iteration 4100 | D LOSS = 1.3603 | G LOSS = 1.7829 | AVG R =0.4873 |  
iteration 4150 | D LOSS = 1.3607 | G LOSS = -1.9404 | AVG R =0.4868 |  
iteration 4200 | D LOSS = 1.3602 | G LOSS = -1.7080 | AVG R =0.4872 |  
iteration 4250 | D LOSS = 1.3593 | G LOSS = -0.2920 | AVG R =0.4877 |  
iteration 4300 | D LOSS = 1.3597 | G LOSS = -1.7791 | AVG R =0.4852 |  
iteration 4350 | D LOSS = 1.3610 | G LOSS = 4.2288 | AVG R =0.4871 |  
iteration 4400 | D LOSS = 1.3599 | G LOSS = -3.6652 | AVG R =0.4856 |  
iteration 4450 | D LOSS = 1.3606 | G LOSS = 1.7793 | AVG R =0.4875 |  
iteration 4500 | D LOSS = 1.3596 | G LOSS = -4.7493 | AVG R =0.4873 |  
iteration 4550 | D LOSS = 1.3621 | G LOSS = 7.1301 | AVG R =0.4872 |  
iteration 4600 | D LOSS = 1.3618 | G LOSS = -6.2975 | AVG R =0.4852 |  
iteration 4650 | D LOSS = 1.3636 | G LOSS = 6.6999 | AVG R =0.4883 |  
iteration 4700 | D LOSS = 1.3623 | G LOSS = -8.6831 | AVG R =0.4878 |  
iteration 4750 | D LOSS = 1.3615 | G LOSS = 10.6968 | AVG R =0.4873 |  
iteration 4800 | D LOSS = 1.3601 | G LOSS = -10.3042 | AVG R =0.4866 |  
iteration 4850 | D LOSS = 1.3608 | G LOSS = 4.4225 | AVG R =0.4867 |  
iteration 4900 | D LOSS = 1.3611 | G LOSS = -9.3639 | AVG R =0.4881 |  
iteration 4950 | D LOSS = 1.3628 | G LOSS = -4.8136 | AVG R =0.4874 |  
iteration 5000 | D LOSS = 1.3621 | G LOSS = 0.7809 | AVG R =0.4871 |  
iteration 5050 | D LOSS = 1.3634 | G LOSS = -12.1372 | AVG R =0.4871 |  
iteration 5100 | D LOSS = 1.3628 | G LOSS = 11.8544 | AVG R =0.4888 |  
iteration 5150 | D LOSS = 1.3591 | G LOSS = -15.0719 | AVG R =0.4858 |  
iteration 5200 | D LOSS = 1.3593 | G LOSS = 7.8795 | AVG R =0.4867 |  
iteration 5250 | D LOSS = 1.3611 | G LOSS = 1.0642 | AVG R =0.4886 |  
iteration 5300 | D LOSS = 1.3601 | G LOSS = -2.6669 | AVG R =0.4849 |  
iteration 5350 | D LOSS = 1.3614 | G LOSS = 7.5691 | AVG R =0.4882 |  
iteration 5400 | D LOSS = 1.3603 | G LOSS = -7.5127 | AVG R =0.4867 |  
iteration 5450 | D LOSS = 1.3610 | G LOSS = -0.5347 | AVG R =0.4885 |  
iteration 5500 | D LOSS = 1.3627 | G LOSS = 3.9105 | AVG R =0.4884 |  
iteration 5550 | D LOSS = 1.3465 | G LOSS = -165.7970 | AVG R =0.4806 |  
iteration 5600 | D LOSS = 1.2628 | G LOSS = -81443.4844 | AVG R =0.4226 |  
iteration 5650 | D LOSS = 1.1795 | G LOSS = 368517.0938 | AVG R =0.3800 |  
iteration 5700 | D LOSS = 1.1647 | G LOSS = -7525856.0000 | AVG R =0.3836 |  
iteration 5750 | D LOSS = 1.1625 | G LOSS = -67630224.0000 | AVG R =0.3835 |  
iteration 5800 | D LOSS = 1.1945 | G LOSS = -214479968.0000 | AVG R =0.4030 |  
iteration 5850 | D LOSS = 1.1847 | G LOSS = -450695648.0000 | AVG R =0.3923 |  
iteration 5900 | D LOSS = 1.2019 | G LOSS = -1682049920.0000 | AVG R =0.3997 |  
iteration 5950 | D LOSS = 1.1823 | G LOSS = -3983902464.0000 | AVG R =0.3936 |  
iteration 6000 | D LOSS = 1.1904 | G LOSS = -16612792320.0000 | AVG R =0.3990 |  
iteration 6050 | D LOSS = 1.1965 | G LOSS = -20355080192.0000 | AVG R =0.4013 |  
iteration 6100 | D LOSS = 1.1900 | G LOSS = -34299604992.0000 | AVG R =0.4011 |  
iteration 6150 | D LOSS = 1.1779 | G LOSS = -73711779840.0000 | AVG R =0.4018 |  
iteration 6200 | D LOSS = 1.1929 | G LOSS = -119582580736.0000 | AVG R =0.4076 |  
iteration 6250 | D LOSS = 1.1836 | G LOSS = -173293748224.0000 | AVG R =0.4038 |  
iteration 6300 | D LOSS = 1.2066 | G LOSS = -225714503680.0000 | AVG R =0.4177 |  
iteration 6350 | D LOSS = 1.1882 | G LOSS = -360018968576.0000 | AVG R =0.3999 |  
iteration 6400 | D LOSS = 1.1906 | G LOSS = -526062288896.0000 | AVG R =0.3996 |  
iteration 6450 | D LOSS = 1.2006 | G LOSS = -699248476160.0000 | AVG R =0.4029 |  
iteration 6500 | D LOSS = 1.1972 | G LOSS = -1041464950784.0000 | AVG R =0.3991 |  
iteration 6550 | D LOSS = 1.1799 | G LOSS = -1451693441024.0000 | AVG R =0.3957 |  
iteration 6600 | D LOSS = 1.1836 | G LOSS = -1859264708608.0000 | AVG R =0.3916 |  
iteration 6650 | D LOSS = 1.1879 | G LOSS = -2289010999296.0000 | AVG R =0.4008 |  
iteration 6700 | D LOSS = 1.1964 | G LOSS = -2469248106496.0000 | AVG R =0.4062 |  
iteration 6750 | D LOSS = 1.1936 | G LOSS = -3918071332864.0000 | AVG R =0.4071 |  
iteration 6800 | D LOSS = 1.1913 | G LOSS = -6091550228480.0000 | AVG R =0.4055 |  
iteration 6850 | D LOSS = 1.1926 | G LOSS = -6302169300992.0000 | AVG R =0.4018 |  
iteration 6900 | D LOSS = 1.1883 | G LOSS = -8646293454848.0000 | AVG R =0.4065 |  
iteration 6950 | D LOSS = 1.2055 | G LOSS = -10170186858496.0000 | AVG R =0.4121 |  
iteration 7000 | D LOSS = 1.2057 | G LOSS = -6269489905664.0000 | AVG R =0.4087 |  
iteration 7050 | D LOSS = 1.1961 | G LOSS = -11926599892992.0000 | AVG R =0.4022 |  
iteration 7100 | D LOSS = 1.1873 | G LOSS = -22856020787200.0000 | AVG R =0.4033 |  
iteration 7150 | D LOSS = 1.1893 | G LOSS = -20373141716992.0000 | AVG R =0.4013 |  
iteration 7200 | D LOSS = 1.1857 | G LOSS = -20031333203968.0000 | AVG R =0.4019 |  
iteration 7250 | D LOSS = 1.1859 | G LOSS = -33495527194624.0000 | AVG R =0.4014 |  
iteration 7300 | D LOSS = 1.1890 | G LOSS = -35743497977856.0000 | AVG R =0.4054 |  
iteration 7350 | D LOSS = 1.2041 | G LOSS = -42968740265984.0000 | AVG R =0.4184 |  
iteration 7400 | D LOSS = 1.2015 | G LOSS = -46161616437248.0000 | AVG R =0.4093 |  
iteration 7450 | D LOSS = 1.1915 | G LOSS = -58807191339008.0000 | AVG R =0.4032 |  
iteration 7500 | D LOSS = 1.1888 | G LOSS = -74900781924352.0000 | AVG R =0.4019 |  
iteration 7550 | D LOSS = 1.1994 | G LOSS = -78598505496576.0000 | AVG R =0.4071 |  
iteration 7600 | D LOSS = 1.2005 | G LOSS = -91424888455168.0000 | AVG R =0.4096 |  
iteration 7650 | D LOSS = 1.1960 | G LOSS = -99772543270912.0000 | AVG R =0.4030 |  
iteration 7700 | D LOSS = 1.2000 | G LOSS = -140496684974080.0000 | AVG R =0.4036 |  
iteration 7750 | D LOSS = 1.1958 | G LOSS = -169073501536256.0000 | AVG R =0.4050 |  
iteration 7800 | D LOSS = 1.1949 | G LOSS = -243286593765376.0000 | AVG R =0.4083 |  
iteration 7850 | D LOSS = 1.1959 | G LOSS = -219239524859904.0000 | AVG R =0.4069 |  
iteration 7900 | D LOSS = 1.1933 | G LOSS = -253576043560960.0000 | AVG R =0.4059 |  
iteration 7950 | D LOSS = 1.1903 | G LOSS = -323492239114240.0000 | AVG R =0.4053 |  
iteration 8000 | D LOSS = 1.2171 | G LOSS = -192454665961472.0000 | AVG R =0.4092 |  
iteration 8050 | D LOSS = 1.2023 | G LOSS = -424475073970176.0000 | AVG R =0.4064 |  
iteration 8100 | D LOSS = 1.1909 | G LOSS = -447121228562432.0000 | AVG R =0.4026 |  
