tag,iters,data_size,seed,cwc,r2r_auc,r2r_acc,s2h_auc,s2h_acc,s2r_auc,s2r_acc,r2s_auc,r2s_acc,rvs_auc,rvs_acc,real_mem_auc,real_mem_auc_bal,synth_mem_auc,synth_mem_auc_bal,elapsed_time
ehr_trial0_seed0,2500,0.9,0,679.2782850902889,0.8734515411356998,0.8136716856729374,0.8412824675324675,0.7654562828475873,0.9213327235111108,0.8494898003926947,0.8338067912406169,0.7762,1.0,0.9996694214876033,1.0,0.8728070175438597,0.601096974855664,0.5842254347491536,3.503028666973114
ehr_trial0_seed1,2500,0.9,1,669.9798007835107,0.8714615022660344,0.8038536220980095,0.8024073074889773,0.7325643896976484,0.9167111311156028,0.8027362360324884,0.8163960106941959,0.7616,1.0,0.9998898071625344,1.0,0.9002123142250531,0.6095937728122914,0.5962987004205715,3.717197879155477
ehr_trial0_seed2,2500,0.9,2,683.8957592356813,0.8765925089588122,0.8050751528958248,0.7807870285270976,0.7316237402015677,0.9170216718344312,0.8356885545620031,0.8344655981431256,0.768,1.0,1.0,1.0,0.9069767441860463,0.6217189866990729,0.606881539719929,3.935482903321584
ehr_trial0_seed3,2500,0.9,3,677.1987381819679,0.8654651173253688,0.8072943242211711,0.825475746489435,0.7931034482758621,0.9156746523593737,0.8473128764453419,0.839700980392157,0.7774,1.0,0.9998898071625344,1.0,0.8919540229885059,0.5655354550905922,0.5756348262650284,3.609613899389903
ehr_trial0_seed4,2500,0.9,4,663.3317120764987,0.8627252124199274,0.7981288807517424,0.8025036128628023,0.7124085684430511,0.9275490160452163,0.8597438419084877,0.8328092740811442,0.7644,1.0,0.9998897464167585,1.0,0.9041095890410958,0.6124920768067944,0.6174469881778946,3.6674675623575848
ehr_trial0_seed5,2500,0.9,5,672.5451586901005,0.8664849072599177,0.8040733142331888,0.837899526320579,0.8100812231247014,0.9237412480020254,0.851776085573721,0.8130946819882452,0.7581999999999999,1.0,0.999779553579293,1.0,0.9082969432314411,0.6507974062484276,0.651560801662821,4.195398875077566
ehr_trial0_seed6,2500,0.9,6,666.3646607226133,0.8648276468656799,0.7991112337655778,0.7986843931782126,0.7037983755375059,0.9183120805298527,0.8378539940814983,0.8184689133841678,0.7592,1.0,0.9998898071625344,1.0,0.8845315904139434,0.5392472067024183,0.5476336261931546,3.592077620824178
ehr_trial0_seed7,2500,0.9,7,681.7813604176786,0.8756561111940215,0.8059880649986251,0.8075312943359162,0.7605128205128204,0.9169496401392271,0.8427002808725069,0.8293850267379679,0.7694,1.0,0.9998898071625344,1.0,0.902439024390244,0.6800588890950984,0.6884209025521015,3.952546572685242
ehr_trial0_seed8,2500,0.9,8,662.2545917022184,0.8726480628756587,0.8107397705102011,0.740926256318763,0.7035135703766042,0.9164833598023557,0.8393934982181449,0.8189384729617883,0.7670000000000001,1.0,0.9998898071625344,0.9999999999999999,0.8997955010224947,0.6054505949061164,0.6011705370920998,3.491964638233185
ehr_trial0_seed9,2500,0.9,9,668.7309946680343,0.8743583233447083,0.7934205580353566,0.7892316017316018,0.7387895812053116,0.920525161675313,0.8469215880295067,0.8383228511661661,0.7764000000000001,1.0,0.999779553579293,1.0,0.867117117117117,0.5089531566748767,0.5055621499878257,4.094435691833496
ehr_trial16_seed0,5000,0.9,0,651.9216039906946,0.8734515411356998,0.8136716856729374,0.8314509894867038,0.7830148112756808,0.9200914352188059,0.8477246715867197,0.8382701439002261,0.7818,1.0,0.999779553579293,1.0,0.8728070175438597,0.5877872747907504,0.5710771583564174,4.45352523724238
ehr_trial16_seed1,5000,0.9,1,667.8848876903359,0.8714615022660344,0.8038536220980095,0.8013668841255048,0.7495408734602463,0.9179394072020355,0.8383457314891454,0.8157715597475205,0.7618,1.0,0.9998898071625344,1.0,0.9002123142250531,0.6047960770430153,0.5984466352026903,3.76776762008667
ehr_trial16_seed2,5000,0.9,2,675.0839769174936,0.8765925089588122,0.8050751528958248,0.7688445408450384,0.6871892497200449,0.9164626254182149,0.8498400735624783,0.8222535693954534,0.7638,1.0,1.0,1.0,0.9069767441860463,0.6044727281050757,0.5894631451443488,3.65008233388265
ehr_trial16_seed3,5000,0.9,3,756.5338342681466,0.8654651173253688,0.8072943242211711,0.7785157033399726,0.7172413793103447,0.8713747935576098,0.8017547563912002,0.8081397327184836,0.7516,1.0,1.0,1.0,0.8919540229885059,0.5055501381439949,0.5217915180340864,3.9677046020825704
ehr_trial16_seed4,5000,0.9,4,778.7900019536191,0.8627252124199274,0.7981288807517424,0.650942376101544,0.6392894461859979,0.8295282561366465,0.7554526582822877,0.805993095231225,0.7374,1.0,0.999779553579293,1.0,0.9041095890410958,0.5440596381119795,0.5495975897083046,4.278481622536977
ehr_trial16_seed5,5000,0.9,5,673.9919052950797,0.8664849072599177,0.8040733142331888,0.8367365212102055,0.8209985666507406,0.9235200684620466,0.8550808430819361,0.8191644451182014,0.7632000000000001,1.0,0.9998898071625344,1.0,0.9082969432314411,0.63970667740081,0.6380909021567095,3.481822196642558
ehr_trial16_seed6,5000,0.9,6,668.7931270704115,0.8648276468656799,0.7991112337655778,0.8238900273224044,0.714739608217869,0.9222497591366215,0.8469031739979626,0.8246800184945098,0.7630000000000001,1.0,0.9998898071625344,1.0,0.8845315904139434,0.5341462398266483,0.5426569078369669,3.658136336008708
ehr_trial16_seed7,5000,0.9,7,684.6384927279105,0.8756561111940215,0.8059880649986251,0.8291136090799955,0.7094749694749696,0.9160097758140087,0.8489601586412885,0.8264652291780896,0.762,1.0,0.9998898071625344,1.0,0.902439024390244,0.6308410200641854,0.6442495366296135,3.683978037039439
ehr_trial16_seed8,5000,0.9,8,665.3803803383516,0.8726480628756587,0.8107397705102011,0.7575022301516503,0.7095939406690512,0.917460750998335,0.834149899384801,0.8196865831415083,0.7632,1.0,0.9998898071625344,0.9999999999999999,0.8997955010224947,0.6000360197062651,0.5966414493080909,3.4743844509124755
ehr_trial16_seed9,5000,0.9,9,666.7949707183967,0.8743583233447083,0.7934205580353566,0.7856840254044202,0.7455056179775281,0.9206412094449362,0.8434985208853479,0.8400614312402009,0.7712000000000001,1.0,1.0,1.0,0.867117117117117,0.48487227148966705,0.4790423869815762,4.311115757624308
ehr_trial12_seed0,500,0.9,0,719.3626904173797,0.8734515411356998,0.8136716856729374,0.7983704390847247,0.7237935977066411,0.9002291326061119,0.836437731008844,0.8202548902594865,0.7511999999999999,1.0,0.9996693607418274,1.0,0.8728070175438597,0.5430323772553167,0.5187918397968606,0.6444223165512085
ehr_trial12_seed1,500,0.9,1,724.252617110699,0.8714615022660344,0.8038536220980095,0.7722100957581901,0.7537290033594625,0.8931474960780982,0.8325765748162617,0.82075345079761,0.7562,1.0,0.9998898071625344,1.0,0.9002123142250531,0.585559081942012,0.5788672968477422,0.6419889410336812
ehr_trial12_seed2,500,0.9,2,723.1088362909024,0.8765925089588122,0.8050751528958248,0.771954779700448,0.7314893617021277,0.8974260221805344,0.8380254509808497,0.8491028609722141,0.781,1.0,1.0,1.0,0.9069767441860463,0.573366308201961,0.5623075238346392,0.643346083164215
