Logging
iteration 3400 | D LOSS = 1.3551 | G LOSS = 0.1134 | AVG R =0.4840 |  
iteration 3450 | D LOSS = 1.3551 | G LOSS = -1.2489 | AVG R =0.4842 |  
iteration 3500 | D LOSS = 1.3553 | G LOSS = 1.1012 | AVG R =0.4849 |  
iteration 3550 | D LOSS = 1.3552 | G LOSS = 0.4866 | AVG R =0.4847 |  
iteration 3600 | D LOSS = 1.3553 | G LOSS = 1.5010 | AVG R =0.4850 |  
iteration 3650 | D LOSS = 1.3557 | G LOSS = -0.4301 | AVG R =0.4843 |  
iteration 3700 | D LOSS = 1.3567 | G LOSS = 0.0862 | AVG R =0.4849 |  
iteration 3750 | D LOSS = 1.3572 | G LOSS = 0.0531 | AVG R =0.4847 |  
iteration 3800 | D LOSS = 1.3563 | G LOSS = -0.7053 | AVG R =0.4851 |  
iteration 3850 | D LOSS = 1.3566 | G LOSS = 0.5953 | AVG R =0.4854 |  
iteration 3900 | D LOSS = 1.3567 | G LOSS = -0.6251 | AVG R =0.4850 |  
iteration 3950 | D LOSS = 1.3580 | G LOSS = -0.3949 | AVG R =0.4857 |  
iteration 4000 | D LOSS = 1.3575 | G LOSS = 0.4261 | AVG R =0.4849 |  
iteration 4050 | D LOSS = 1.3580 | G LOSS = -0.1515 | AVG R =0.4852 |  
iteration 4100 | D LOSS = 1.3575 | G LOSS = -0.1279 | AVG R =0.4855 |  
iteration 4150 | D LOSS = 1.3584 | G LOSS = 0.4862 | AVG R =0.4852 |  
iteration 4200 | D LOSS = 1.3578 | G LOSS = -0.5505 | AVG R =0.4857 |  
iteration 4250 | D LOSS = 1.3587 | G LOSS = 0.1407 | AVG R =0.4859 |  
iteration 4300 | D LOSS = 1.3578 | G LOSS = 1.2998 | AVG R =0.4860 |  
iteration 4350 | D LOSS = 1.3584 | G LOSS = -0.3089 | AVG R =0.4864 |  
iteration 4400 | D LOSS = 1.3587 | G LOSS = -0.3243 | AVG R =0.4858 |  
iteration 4450 | D LOSS = 1.3591 | G LOSS = -0.1748 | AVG R =0.4861 |  
iteration 4500 | D LOSS = 1.3588 | G LOSS = 0.4271 | AVG R =0.4865 |  
iteration 4550 | D LOSS = 1.3580 | G LOSS = -0.3364 | AVG R =0.4865 |  
iteration 4600 | D LOSS = 1.3580 | G LOSS = 1.2410 | AVG R =0.4864 |  
iteration 4650 | D LOSS = 1.3582 | G LOSS = -0.4328 | AVG R =0.4860 |  
iteration 4700 | D LOSS = 1.3585 | G LOSS = -0.2959 | AVG R =0.4863 |  
iteration 4750 | D LOSS = 1.3580 | G LOSS = -2.1395 | AVG R =0.4857 |  
iteration 4800 | D LOSS = 1.3582 | G LOSS = -1.6125 | AVG R =0.4861 |  
iteration 4850 | D LOSS = 1.3582 | G LOSS = 0.4569 | AVG R =0.4859 |  
iteration 4900 | D LOSS = 1.3581 | G LOSS = -0.9812 | AVG R =0.4861 |  
iteration 4950 | D LOSS = 1.3580 | G LOSS = -0.4458 | AVG R =0.4854 |  
iteration 5000 | D LOSS = 1.3575 | G LOSS = 0.2102 | AVG R =0.4854 |  
iteration 5050 | D LOSS = 1.3575 | G LOSS = 0.6184 | AVG R =0.4853 |  
iteration 5100 | D LOSS = 1.3573 | G LOSS = 0.0594 | AVG R =0.4861 |  
iteration 5150 | D LOSS = 1.3575 | G LOSS = 1.2881 | AVG R =0.4856 |  
iteration 5200 | D LOSS = 1.3586 | G LOSS = 0.3533 | AVG R =0.4859 |  
iteration 5250 | D LOSS = 1.3573 | G LOSS = 1.2370 | AVG R =0.4860 |  
iteration 5300 | D LOSS = 1.3570 | G LOSS = -0.6941 | AVG R =0.4850 |  
iteration 5350 | D LOSS = 1.3580 | G LOSS = 0.6872 | AVG R =0.4862 |  
iteration 5400 | D LOSS = 1.3570 | G LOSS = 0.3077 | AVG R =0.4860 |  
iteration 5450 | D LOSS = 1.3573 | G LOSS = 1.2409 | AVG R =0.4857 |  
iteration 5500 | D LOSS = 1.3584 | G LOSS = 0.0314 | AVG R =0.4859 |  
iteration 5550 | D LOSS = 1.3581 | G LOSS = -1.1862 | AVG R =0.4860 |  
iteration 5600 | D LOSS = 1.3578 | G LOSS = -0.0735 | AVG R =0.4858 |  
iteration 5650 | D LOSS = 1.3583 | G LOSS = -0.1769 | AVG R =0.4856 |  
iteration 5700 | D LOSS = 1.3574 | G LOSS = 0.8347 | AVG R =0.4859 |  
iteration 5750 | D LOSS = 1.3581 | G LOSS = -0.2500 | AVG R =0.4860 |  
iteration 5800 | D LOSS = 1.3590 | G LOSS = 0.9346 | AVG R =0.4861 |  
iteration 5850 | D LOSS = 1.3579 | G LOSS = -0.6767 | AVG R =0.4860 |  
iteration 5900 | D LOSS = 1.3582 | G LOSS = -0.0230 | AVG R =0.4861 |  
iteration 5950 | D LOSS = 1.3580 | G LOSS = 0.7111 | AVG R =0.4863 |  
iteration 6000 | D LOSS = 1.3587 | G LOSS = -0.7092 | AVG R =0.4864 |  
iteration 6050 | D LOSS = 1.3589 | G LOSS = -0.3569 | AVG R =0.4861 |  
iteration 6100 | D LOSS = 1.3592 | G LOSS = 1.0810 | AVG R =0.4859 |  
