α=1.00%, θ*=1.45, TPR=0.0193, FPR=0.0082, PPV=0.7020, Advantage=0.0111
α=2.00%, θ*=1.60, TPR=0.0509, FPR=0.0102, PPV=0.8327, Advantage=0.0407
α=3.00%, θ*=1.65, TPR=0.0699, FPR=0.0225, PPV=0.7566, Advantage=0.0474
α=4.00%, θ*=1.65, TPR=0.0699, FPR=0.0225, PPV=0.7566, Advantage=0.0474
α=5.00%, θ*=1.70, TPR=0.0909, FPR=0.0491, PPV=0.6494, Advantage=0.0418
α=6.00%, θ*=1.70, TPR=0.0909, FPR=0.0491, PPV=0.6494, Advantage=0.0418
α=7.00%, θ*=1.70, TPR=0.0909, FPR=0.0491, PPV=0.6494, Advantage=0.0418
α=8.00%, θ*=1.70, TPR=0.0909, FPR=0.0491, PPV=0.6494, Advantage=0.0418
α=9.00%, θ*=1.75, TPR=0.1164, FPR=0.0879, PPV=0.5696, Advantage=0.0284
α=10.00%, θ*=1.75, TPR=0.1164, FPR=0.0879, PPV=0.5696, Advantage=0.0284
α=11.00%, θ*=1.80, TPR=0.1433, FPR=0.1063, PPV=0.5740, Advantage=0.0369
α=12.00%, θ*=1.80, TPR=0.1433, FPR=0.1063, PPV=0.5740, Advantage=0.0369
α=13.00%, θ*=1.85, TPR=0.1759, FPR=0.1268, PPV=0.5811, Advantage=0.0491
α=14.00%, θ*=1.85, TPR=0.1759, FPR=0.1268, PPV=0.5811, Advantage=0.0491
α=15.00%, θ*=1.90, TPR=0.2167, FPR=0.1493, PPV=0.5920, Advantage=0.0674
α=16.00%, θ*=1.90, TPR=0.2167, FPR=0.1493, PPV=0.5920, Advantage=0.0674
α=17.00%, θ*=1.90, TPR=0.2167, FPR=0.1493, PPV=0.5920, Advantage=0.0674
α=18.00%, θ*=1.90, TPR=0.2167, FPR=0.1493, PPV=0.5920, Advantage=0.0674
α=19.00%, θ*=1.90, TPR=0.2167, FPR=0.1493, PPV=0.5920, Advantage=0.0674
α=20.00%, θ*=1.90, TPR=0.2167, FPR=0.1493, PPV=0.5920, Advantage=0.0674
α=21.00%, θ*=1.90, TPR=0.2167, FPR=0.1493, PPV=0.5920, Advantage=0.0674
α=22.00%, θ*=1.90, TPR=0.2167, FPR=0.1493, PPV=0.5920, Advantage=0.0674
α=23.00%, θ*=1.95, TPR=0.2666, FPR=0.2229, PPV=0.5446, Advantage=0.0436
α=24.00%, θ*=1.95, TPR=0.2666, FPR=0.2229, PPV=0.5446, Advantage=0.0436
α=25.00%, θ*=1.95, TPR=0.2666, FPR=0.2229, PPV=0.5446, Advantage=0.0436
α=26.00%, θ*=1.95, TPR=0.2666, FPR=0.2229, PPV=0.5446, Advantage=0.0436
α=27.00%, θ*=1.95, TPR=0.2666, FPR=0.2229, PPV=0.5446, Advantage=0.0436
α=28.00%, θ*=1.95, TPR=0.2666, FPR=0.2229, PPV=0.5446, Advantage=0.0436
α=29.00%, θ*=2.00, TPR=0.3246, FPR=0.2843, PPV=0.5331, Advantage=0.0404
α=30.00%, θ*=2.00, TPR=0.3246, FPR=0.2843, PPV=0.5331, Advantage=0.0404
α=31.00%, θ*=2.00, TPR=0.3246, FPR=0.2843, PPV=0.5331, Advantage=0.0404
α=32.00%, θ*=2.00, TPR=0.3246, FPR=0.2843, PPV=0.5331, Advantage=0.0404
α=33.00%, θ*=2.00, TPR=0.3246, FPR=0.2843, PPV=0.5331, Advantage=0.0404
α=34.00%, θ*=2.00, TPR=0.3246, FPR=0.2843, PPV=0.5331, Advantage=0.0404
