α=61.00%, θ*=4.05, TPR=0.6048, FPR=0.5862, PPV=0.5078, Advantage=0.0186
α=62.00%, θ*=4.10, TPR=0.6568, FPR=0.6184, PPV=0.5150, Advantage=0.0384
α=63.00%, θ*=4.10, TPR=0.6568, FPR=0.6184, PPV=0.5150, Advantage=0.0384
α=64.00%, θ*=4.10, TPR=0.6568, FPR=0.6184, PPV=0.5150, Advantage=0.0384
α=65.00%, θ*=4.10, TPR=0.6568, FPR=0.6184, PPV=0.5150, Advantage=0.0384
α=66.00%, θ*=4.10, TPR=0.6568, FPR=0.6184, PPV=0.5150, Advantage=0.0384
α=67.00%, θ*=4.10, TPR=0.6568, FPR=0.6184, PPV=0.5150, Advantage=0.0384
α=68.00%, θ*=4.15, TPR=0.7182, FPR=0.6736, PPV=0.5160, Advantage=0.0446
α=69.00%, θ*=4.15, TPR=0.7182, FPR=0.6736, PPV=0.5160, Advantage=0.0446
α=70.00%, θ*=4.15, TPR=0.7182, FPR=0.6736, PPV=0.5160, Advantage=0.0446
α=71.00%, θ*=4.15, TPR=0.7182, FPR=0.6736, PPV=0.5160, Advantage=0.0446
α=72.00%, θ*=4.15, TPR=0.7182, FPR=0.6736, PPV=0.5160, Advantage=0.0446
α=73.00%, θ*=4.20, TPR=0.7647, FPR=0.7287, PPV=0.5121, Advantage=0.0360
α=74.00%, θ*=4.20, TPR=0.7647, FPR=0.7287, PPV=0.5121, Advantage=0.0360
α=75.00%, θ*=4.20, TPR=0.7647, FPR=0.7287, PPV=0.5121, Advantage=0.0360
α=76.00%, θ*=4.20, TPR=0.7647, FPR=0.7287, PPV=0.5121, Advantage=0.0360
α=77.00%, θ*=4.20, TPR=0.7647, FPR=0.7287, PPV=0.5121, Advantage=0.0360
α=78.00%, θ*=4.25, TPR=0.7996, FPR=0.7701, PPV=0.5094, Advantage=0.0295
α=79.00%, θ*=4.25, TPR=0.7996, FPR=0.7701, PPV=0.5094, Advantage=0.0295
α=80.00%, θ*=4.30, TPR=0.8294, FPR=0.8000, PPV=0.5090, Advantage=0.0294
α=81.00%, θ*=4.35, TPR=0.8549, FPR=0.8092, PPV=0.5137, Advantage=0.0458
α=82.00%, θ*=4.35, TPR=0.8549, FPR=0.8092, PPV=0.5137, Advantage=0.0458
α=83.00%, θ*=4.35, TPR=0.8549, FPR=0.8092, PPV=0.5137, Advantage=0.0458
α=84.00%, θ*=4.40, TPR=0.8757, FPR=0.8368, PPV=0.5114, Advantage=0.0389
α=85.00%, θ*=4.40, TPR=0.8757, FPR=0.8368, PPV=0.5114, Advantage=0.0389
α=86.00%, θ*=4.40, TPR=0.8757, FPR=0.8368, PPV=0.5114, Advantage=0.0389
α=87.00%, θ*=4.45, TPR=0.8971, FPR=0.8690, PPV=0.5080, Advantage=0.0282
α=88.00%, θ*=4.45, TPR=0.8971, FPR=0.8690, PPV=0.5080, Advantage=0.0282
α=89.00%, θ*=4.45, TPR=0.8971, FPR=0.8690, PPV=0.5080, Advantage=0.0282
α=90.00%, θ*=4.45, TPR=0.8971, FPR=0.8690, PPV=0.5080, Advantage=0.0282
α=91.00%, θ*=4.50, TPR=0.9157, FPR=0.9034, PPV=0.5034, Advantage=0.0122
α=92.00%, θ*=4.50, TPR=0.9157, FPR=0.9034, PPV=0.5034, Advantage=0.0122
α=93.00%, θ*=4.50, TPR=0.9157, FPR=0.9034, PPV=0.5034, Advantage=0.0122
α=94.00%, θ*=4.55, TPR=0.9388, FPR=0.9379, PPV=0.5002, Advantage=0.0009
α=95.00%, θ*=4.55, TPR=0.9388, FPR=0.9379, PPV=0.5002, Advantage=0.0009
α=96.00%, θ*=4.55, TPR=0.9388, FPR=0.9379, PPV=0.5002, Advantage=0.0009
α=97.00%, θ*=4.60, TPR=0.9542, FPR=0.9609, PPV=0.4982, Advantage=-0.0068
α=98.00%, θ*=4.60, TPR=0.9542, FPR=0.9609, PPV=0.4982, Advantage=-0.0068
α=99.00%, θ*=4.70, TPR=0.9729, FPR=0.9862, PPV=0.4966, Advantage=-0.0133
α=100.00%, θ*=4.70, TPR=0.9729, FPR=0.9862, PPV=0.4966, Advantage=-0.0133
