α=1.00%, θ*=0.95, TPR=0.0110, FPR=0.0087, PPV=0.5587, Advantage=0.0023
α=2.00%, θ*=1.05, TPR=0.0319, FPR=0.0174, PPV=0.6465, Advantage=0.0144
α=3.00%, θ*=1.15, TPR=0.0679, FPR=0.0283, PPV=0.7057, Advantage=0.0396
α=4.00%, θ*=1.15, TPR=0.0679, FPR=0.0283, PPV=0.7057, Advantage=0.0396
α=5.00%, θ*=1.20, TPR=0.0829, FPR=0.0414, PPV=0.6669, Advantage=0.0415
α=6.00%, θ*=1.20, TPR=0.0829, FPR=0.0414, PPV=0.6669, Advantage=0.0415
α=7.00%, θ*=1.25, TPR=0.0954, FPR=0.0632, PPV=0.6016, Advantage=0.0322
α=8.00%, θ*=1.25, TPR=0.0954, FPR=0.0632, PPV=0.6016, Advantage=0.0322
α=9.00%, θ*=1.30, TPR=0.1153, FPR=0.0806, PPV=0.5884, Advantage=0.0346
α=10.00%, θ*=1.30, TPR=0.1153, FPR=0.0806, PPV=0.5884, Advantage=0.0346
α=11.00%, θ*=1.40, TPR=0.1606, FPR=0.1089, PPV=0.5959, Advantage=0.0517
α=12.00%, θ*=1.40, TPR=0.1606, FPR=0.1089, PPV=0.5959, Advantage=0.0517
α=13.00%, θ*=1.40, TPR=0.1606, FPR=0.1089, PPV=0.5959, Advantage=0.0517
α=14.00%, θ*=1.45, TPR=0.1964, FPR=0.1329, PPV=0.5964, Advantage=0.0635
α=15.00%, θ*=1.45, TPR=0.1964, FPR=0.1329, PPV=0.5964, Advantage=0.0635
α=16.00%, θ*=1.45, TPR=0.1964, FPR=0.1329, PPV=0.5964, Advantage=0.0635
α=17.00%, θ*=1.50, TPR=0.2330, FPR=0.1634, PPV=0.5877, Advantage=0.0696
α=18.00%, θ*=1.50, TPR=0.2330, FPR=0.1634, PPV=0.5877, Advantage=0.0696
α=19.00%, θ*=1.50, TPR=0.2330, FPR=0.1634, PPV=0.5877, Advantage=0.0696
α=20.00%, θ*=1.50, TPR=0.2330, FPR=0.1634, PPV=0.5877, Advantage=0.0696
α=21.00%, θ*=1.55, TPR=0.2643, FPR=0.2004, PPV=0.5688, Advantage=0.0639
α=22.00%, θ*=1.55, TPR=0.2643, FPR=0.2004, PPV=0.5688, Advantage=0.0639
α=23.00%, θ*=1.55, TPR=0.2643, FPR=0.2004, PPV=0.5688, Advantage=0.0639
α=24.00%, θ*=1.60, TPR=0.2972, FPR=0.2353, PPV=0.5581, Advantage=0.0619
α=25.00%, θ*=1.60, TPR=0.2972, FPR=0.2353, PPV=0.5581, Advantage=0.0619
α=26.00%, θ*=1.60, TPR=0.2972, FPR=0.2353, PPV=0.5581, Advantage=0.0619
α=27.00%, θ*=1.60, TPR=0.2972, FPR=0.2353, PPV=0.5581, Advantage=0.0619
α=28.00%, θ*=1.60, TPR=0.2972, FPR=0.2353, PPV=0.5581, Advantage=0.0619
α=29.00%, θ*=1.60, TPR=0.2972, FPR=0.2353, PPV=0.5581, Advantage=0.0619
α=30.00%, θ*=1.60, TPR=0.2972, FPR=0.2353, PPV=0.5581, Advantage=0.0619
α=31.00%, θ*=1.60, TPR=0.2972, FPR=0.2353, PPV=0.5581, Advantage=0.0619
α=32.00%, θ*=1.65, TPR=0.3274, FPR=0.3137, PPV=0.5106, Advantage=0.0136
α=33.00%, θ*=1.65, TPR=0.3274, FPR=0.3137, PPV=0.5106, Advantage=0.0136
α=34.00%, θ*=1.65, TPR=0.3274, FPR=0.3137, PPV=0.5106, Advantage=0.0136
