Logging
iteration 2650 | D LOSS = 1.3528 | G LOSS = 0.0355 | AVG R =0.4820 | mean_pen: 0.0005 |  
iteration 2700 | D LOSS = 1.3521 | G LOSS = 0.0569 | AVG R =0.4831 | mean_pen: 0.0005 |  
iteration 2750 | D LOSS = 1.3515 | G LOSS = 0.0951 | AVG R =0.4833 | mean_pen: 0.0005 |  
iteration 2800 | D LOSS = 1.3526 | G LOSS = 0.0074 | AVG R =0.4833 | mean_pen: 0.0004 |  
iteration 2850 | D LOSS = 1.3543 | G LOSS = 0.0347 | AVG R =0.4842 | mean_pen: 0.0004 |  
iteration 2900 | D LOSS = 1.3529 | G LOSS = 0.0027 | AVG R =0.4842 | mean_pen: 0.0003 |  
iteration 2950 | D LOSS = 1.3544 | G LOSS = 0.0007 | AVG R =0.4828 | mean_pen: 0.0004 |  
iteration 3000 | D LOSS = 1.3546 | G LOSS = 0.0358 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 3050 | D LOSS = 1.3557 | G LOSS = -0.0054 | AVG R =0.4851 | mean_pen: 0.0003 |  
iteration 3100 | D LOSS = 1.3569 | G LOSS = 0.0104 | AVG R =0.4847 | mean_pen: 0.0004 |  
iteration 3150 | D LOSS = 1.3558 | G LOSS = 0.0070 | AVG R =0.4847 | mean_pen: 0.0003 |  
iteration 3200 | D LOSS = 1.3587 | G LOSS = -0.0165 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 3250 | D LOSS = 1.3574 | G LOSS = -0.0042 | AVG R =0.4862 | mean_pen: 0.0003 |  
iteration 3300 | D LOSS = 1.3584 | G LOSS = -0.0092 | AVG R =0.4862 | mean_pen: 0.0003 |  
iteration 3350 | D LOSS = 1.3587 | G LOSS = -0.0093 | AVG R =0.4865 | mean_pen: 0.0002 |  
iteration 3400 | D LOSS = 1.3586 | G LOSS = -0.0110 | AVG R =0.4855 | mean_pen: 0.0002 |  
iteration 3450 | D LOSS = 1.3582 | G LOSS = -0.0058 | AVG R =0.4866 | mean_pen: 0.0002 |  
iteration 3500 | D LOSS = 1.3582 | G LOSS = -0.0158 | AVG R =0.4868 | mean_pen: 0.0002 |  
iteration 3550 | D LOSS = 1.3580 | G LOSS = -0.0127 | AVG R =0.4868 | mean_pen: 0.0003 |  
iteration 3600 | D LOSS = 1.3595 | G LOSS = -0.0134 | AVG R =0.4870 | mean_pen: 0.0002 |  
iteration 3650 | D LOSS = 1.3614 | G LOSS = -0.0163 | AVG R =0.4864 | mean_pen: 0.0003 |  
iteration 3700 | D LOSS = 1.3602 | G LOSS = -0.0111 | AVG R =0.4868 | mean_pen: 0.0002 |  
iteration 3750 | D LOSS = 1.3582 | G LOSS = -0.0135 | AVG R =0.4869 | mean_pen: 0.0002 |  
iteration 3800 | D LOSS = 1.3582 | G LOSS = -0.0100 | AVG R =0.4861 | mean_pen: 0.0003 |  
iteration 3850 | D LOSS = 1.3596 | G LOSS = -0.0126 | AVG R =0.4868 | mean_pen: 0.0003 |  
iteration 3900 | D LOSS = 1.3614 | G LOSS = -0.0139 | AVG R =0.4877 | mean_pen: 0.0002 |  
iteration 3950 | D LOSS = 1.3617 | G LOSS = -0.0121 | AVG R =0.4874 | mean_pen: 0.0002 |  
iteration 4000 | D LOSS = 1.3623 | G LOSS = -0.0169 | AVG R =0.4878 | mean_pen: 0.0002 |  
iteration 4050 | D LOSS = 1.3624 | G LOSS = -0.0125 | AVG R =0.4878 | mean_pen: 0.0002 |  
iteration 4100 | D LOSS = 1.3606 | G LOSS = -0.0192 | AVG R =0.4892 | mean_pen: 0.0002 |  
iteration 4150 | D LOSS = 1.3633 | G LOSS = -0.0166 | AVG R =0.4888 | mean_pen: 0.0002 |  
iteration 4200 | D LOSS = 1.3649 | G LOSS = -0.0091 | AVG R =0.4892 | mean_pen: 0.0002 |  
iteration 4250 | D LOSS = 1.3638 | G LOSS = -0.0167 | AVG R =0.4884 | mean_pen: 0.0002 |  
iteration 4300 | D LOSS = 1.3642 | G LOSS = -0.0129 | AVG R =0.4893 | mean_pen: 0.0002 |  
iteration 4350 | D LOSS = 1.3645 | G LOSS = -0.0132 | AVG R =0.4890 | mean_pen: 0.0002 |  
iteration 4400 | D LOSS = 1.3630 | G LOSS = -0.0113 | AVG R =0.4891 | mean_pen: 0.0002 |  
iteration 4450 | D LOSS = 1.3637 | G LOSS = -0.0170 | AVG R =0.4897 | mean_pen: 0.0002 |  
iteration 4500 | D LOSS = 1.3671 | G LOSS = -0.0156 | AVG R =0.4893 | mean_pen: 0.0002 |  
iteration 4550 | D LOSS = 1.3655 | G LOSS = -0.0125 | AVG R =0.4894 | mean_pen: 0.0002 |  
iteration 4600 | D LOSS = 1.3664 | G LOSS = -0.0073 | AVG R =0.4901 | mean_pen: 0.0002 |  
iteration 4650 | D LOSS = 1.3647 | G LOSS = -0.0127 | AVG R =0.4896 | mean_pen: 0.0001 |  
iteration 4700 | D LOSS = 1.3667 | G LOSS = -0.0076 | AVG R =0.4900 | mean_pen: 0.0002 |  
iteration 4750 | D LOSS = 1.3667 | G LOSS = -0.0187 | AVG R =0.4906 | mean_pen: 0.0001 |  
iteration 4800 | D LOSS = 1.3674 | G LOSS = -0.0159 | AVG R =0.4902 | mean_pen: 0.0001 |  
iteration 4850 | D LOSS = 1.3661 | G LOSS = -0.0127 | AVG R =0.4901 | mean_pen: 0.0001 |  
iteration 4900 | D LOSS = 1.3681 | G LOSS = -0.0171 | AVG R =0.4904 | mean_pen: 0.0001 |  
iteration 4950 | D LOSS = 1.3677 | G LOSS = -0.0034 | AVG R =0.4910 | mean_pen: 0.0001 |  
iteration 5000 | D LOSS = 1.3696 | G LOSS = -0.0060 | AVG R =0.4904 | mean_pen: 0.0001 |  
iteration 5050 | D LOSS = 1.3684 | G LOSS = -0.0075 | AVG R =0.4911 | mean_pen: 0.0001 |  
iteration 5100 | D LOSS = 1.3695 | G LOSS = -0.0084 | AVG R =0.4918 | mean_pen: 0.0001 |  
iteration 5150 | D LOSS = 1.3683 | G LOSS = -0.0075 | AVG R =0.4919 | mean_pen: 0.0001 |  
iteration 5200 | D LOSS = 1.3712 | G LOSS = -0.0054 | AVG R =0.4922 | mean_pen: 0.0001 |  
iteration 5250 | D LOSS = 1.3713 | G LOSS = -0.0096 | AVG R =0.4920 | mean_pen: 0.0001 |  
iteration 5300 | D LOSS = 1.3718 | G LOSS = -0.0074 | AVG R =0.4919 | mean_pen: 0.0001 |  
iteration 5350 | D LOSS = 1.3711 | G LOSS = -0.0113 | AVG R =0.4921 | mean_pen: 0.0001 |  
iteration 5400 | D LOSS = 1.3715 | G LOSS = -0.0006 | AVG R =0.4921 | mean_pen: 0.0001 |  
iteration 5450 | D LOSS = 1.3719 | G LOSS = -0.0080 | AVG R =0.4919 | mean_pen: 0.0001 |  
iteration 5500 | D LOSS = 1.3724 | G LOSS = -0.0091 | AVG R =0.4925 | mean_pen: 0.0001 |  
iteration 5550 | D LOSS = 1.3709 | G LOSS = -0.0097 | AVG R =0.4925 | mean_pen: 0.0001 |  
iteration 5600 | D LOSS = 1.3732 | G LOSS = -0.0065 | AVG R =0.4925 | mean_pen: 0.0001 |  
iteration 5650 | D LOSS = 1.3717 | G LOSS = -0.0012 | AVG R =0.4928 | mean_pen: 0.0001 |  
iteration 5700 | D LOSS = 1.3718 | G LOSS = -0.0095 | AVG R =0.4929 | mean_pen: 0.0001 |  
iteration 5750 | D LOSS = 1.3712 | G LOSS = -0.0024 | AVG R =0.4931 | mean_pen: 0.0001 |  
iteration 5800 | D LOSS = 1.3721 | G LOSS = -0.0063 | AVG R =0.4928 | mean_pen: 0.0001 |  
iteration 5850 | D LOSS = 1.3730 | G LOSS = -0.0090 | AVG R =0.4928 | mean_pen: 0.0001 |  
iteration 5900 | D LOSS = 1.3729 | G LOSS = -0.0025 | AVG R =0.4931 | mean_pen: 0.0001 |  
iteration 5950 | D LOSS = 1.3732 | G LOSS = -0.0055 | AVG R =0.4935 | mean_pen: 0.0001 |  
iteration 6000 | D LOSS = 1.3727 | G LOSS = -0.0147 | AVG R =0.4936 | mean_pen: 0.0001 |  
iteration 6050 | D LOSS = 1.3730 | G LOSS = 0.0000 | AVG R =0.4936 | mean_pen: 0.0001 |  
iteration 6100 | D LOSS = 1.3733 | G LOSS = -0.0065 | AVG R =0.4938 | mean_pen: 0.0001 |  
iteration 6150 | D LOSS = 1.3725 | G LOSS = 0.0022 | AVG R =0.4934 | mean_pen: 0.0001 |  
iteration 6200 | D LOSS = 1.3740 | G LOSS = -0.0068 | AVG R =0.4938 | mean_pen: 0.0001 |  
iteration 6250 | D LOSS = 1.3731 | G LOSS = -0.0041 | AVG R =0.4940 | mean_pen: 0.0001 |  
iteration 6300 | D LOSS = 1.3727 | G LOSS = -0.0120 | AVG R =0.4940 | mean_pen: 0.0001 |  
iteration 6350 | D LOSS = 1.3734 | G LOSS = -0.0005 | AVG R =0.4943 | mean_pen: 0.0001 |  
iteration 6400 | D LOSS = 1.3732 | G LOSS = -0.0026 | AVG R =0.4938 | mean_pen: 0.0001 |  
iteration 6450 | D LOSS = 1.3750 | G LOSS = -0.0136 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 6500 | D LOSS = 1.3743 | G LOSS = -0.0140 | AVG R =0.4947 | mean_pen: 0.0000 |  
iteration 6550 | D LOSS = 1.3736 | G LOSS = -0.0016 | AVG R =0.4943 | mean_pen: 0.0001 |  
iteration 6600 | D LOSS = 1.3739 | G LOSS = 0.0025 | AVG R =0.4945 | mean_pen: 0.0001 |  
iteration 6650 | D LOSS = 1.3764 | G LOSS = -0.0013 | AVG R =0.4947 | mean_pen: 0.0001 |  
iteration 6700 | D LOSS = 1.3763 | G LOSS = 0.0041 | AVG R =0.4946 | mean_pen: 0.0001 |  
iteration 6750 | D LOSS = 1.3746 | G LOSS = -0.0088 | AVG R =0.4943 | mean_pen: 0.0000 |  
iteration 6800 | D LOSS = 1.3756 | G LOSS = -0.0072 | AVG R =0.4943 | mean_pen: 0.0001 |  
iteration 6850 | D LOSS = 1.3751 | G LOSS = -0.0072 | AVG R =0.4937 | mean_pen: 0.0000 |  
iteration 6900 | D LOSS = 1.3754 | G LOSS = -0.0066 | AVG R =0.4950 | mean_pen: 0.0000 |  
iteration 6950 | D LOSS = 1.3754 | G LOSS = 0.0034 | AVG R =0.4943 | mean_pen: 0.0001 |  
iteration 7000 | D LOSS = 1.3747 | G LOSS = -0.0053 | AVG R =0.4949 | mean_pen: 0.0000 |  
iteration 7050 | D LOSS = 1.3773 | G LOSS = 0.0048 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 7100 | D LOSS = 1.3769 | G LOSS = 0.0092 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 7150 | D LOSS = 1.3762 | G LOSS = -0.0008 | AVG R =0.4949 | mean_pen: 0.0000 |  
iteration 7200 | D LOSS = 1.3754 | G LOSS = 0.0062 | AVG R =0.4948 | mean_pen: 0.0001 |  
iteration 7250 | D LOSS = 1.3762 | G LOSS = -0.0019 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 7300 | D LOSS = 1.3782 | G LOSS = -0.0060 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 7350 | D LOSS = 1.3778 | G LOSS = 0.0062 | AVG R =0.4947 | mean_pen: 0.0000 |  
iteration 7400 | D LOSS = 1.3763 | G LOSS = 0.0017 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 7450 | D LOSS = 1.3755 | G LOSS = -0.0069 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 7500 | D LOSS = 1.3768 | G LOSS = -0.0069 | AVG R =0.4947 | mean_pen: 0.0000 |  
iteration 7550 | D LOSS = 1.3786 | G LOSS = 0.0018 | AVG R =0.4957 | mean_pen: 0.0001 |  
iteration 7600 | D LOSS = 1.3775 | G LOSS = 0.0020 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 7650 | D LOSS = 1.3771 | G LOSS = -0.0008 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 7700 | D LOSS = 1.3749 | G LOSS = 0.0062 | AVG R =0.4954 | mean_pen: 0.0000 |  
iteration 7750 | D LOSS = 1.3755 | G LOSS = 0.0119 | AVG R =0.4948 | mean_pen: 0.0000 |  
iteration 7800 | D LOSS = 1.3781 | G LOSS = -0.0004 | AVG R =0.4955 | mean_pen: 0.0000 |  
iteration 7850 | D LOSS = 1.3775 | G LOSS = 0.0148 | AVG R =0.4955 | mean_pen: 0.0000 |  
iteration 7900 | D LOSS = 1.3782 | G LOSS = 0.0137 | AVG R =0.4960 | mean_pen: 0.0001 |  
iteration 7950 | D LOSS = 1.3775 | G LOSS = 0.0061 | AVG R =0.4955 | mean_pen: 0.0001 |  
iteration 8000 | D LOSS = 1.3755 | G LOSS = 0.0084 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 8050 | D LOSS = 1.3775 | G LOSS = 0.0179 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 8100 | D LOSS = 1.3757 | G LOSS = 0.0013 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 8150 | D LOSS = 1.3763 | G LOSS = -0.0054 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 8200 | D LOSS = 1.3762 | G LOSS = 0.0030 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 8250 | D LOSS = 1.3788 | G LOSS = 0.0008 | AVG R =0.4951 | mean_pen: 0.0000 |  
iteration 8300 | D LOSS = 1.3778 | G LOSS = 0.0117 | AVG R =0.4959 | mean_pen: 0.0000 |  
iteration 8350 | D LOSS = 1.3772 | G LOSS = 0.0195 | AVG R =0.4950 | mean_pen: 0.0000 |  
iteration 8400 | D LOSS = 1.3772 | G LOSS = -0.0010 | AVG R =0.4965 | mean_pen: 0.0000 |  
iteration 8450 | D LOSS = 1.3777 | G LOSS = 0.0121 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 8500 | D LOSS = 1.3776 | G LOSS = 0.0120 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 8550 | D LOSS = 1.3773 | G LOSS = 0.0278 | AVG R =0.4959 | mean_pen: 0.0000 |  
iteration 8600 | D LOSS = 1.3763 | G LOSS = 0.0109 | AVG R =0.4953 | mean_pen: 0.0000 |  
iteration 8650 | D LOSS = 1.3765 | G LOSS = 0.0042 | AVG R =0.4952 | mean_pen: 0.0000 |  
iteration 8700 | D LOSS = 1.3765 | G LOSS = 0.0248 | AVG R =0.4956 | mean_pen: 0.0000 |  
