α=1.00%, θ*=0.90, TPR=0.0096, FPR=0.0042, PPV=0.6931, Advantage=0.0053
α=2.00%, θ*=0.95, TPR=0.0177, FPR=0.0170, PPV=0.5104, Advantage=0.0007
α=3.00%, θ*=1.10, TPR=0.0681, FPR=0.0276, PPV=0.7117, Advantage=0.0405
α=4.00%, θ*=1.20, TPR=0.1080, FPR=0.0340, PPV=0.7607, Advantage=0.0740
α=5.00%, θ*=1.35, TPR=0.1606, FPR=0.0488, PPV=0.7668, Advantage=0.1118
α=6.00%, θ*=1.35, TPR=0.1606, FPR=0.0488, PPV=0.7668, Advantage=0.1118
α=7.00%, θ*=1.40, TPR=0.1886, FPR=0.0616, PPV=0.7539, Advantage=0.1271
α=8.00%, θ*=1.40, TPR=0.1886, FPR=0.0616, PPV=0.7539, Advantage=0.1271
α=9.00%, θ*=1.45, TPR=0.2233, FPR=0.0828, PPV=0.7295, Advantage=0.1405
α=10.00%, θ*=1.45, TPR=0.2233, FPR=0.0828, PPV=0.7295, Advantage=0.1405
α=11.00%, θ*=1.45, TPR=0.2233, FPR=0.0828, PPV=0.7295, Advantage=0.1405
α=12.00%, θ*=1.50, TPR=0.2710, FPR=0.1146, PPV=0.7027, Advantage=0.1564
α=13.00%, θ*=1.50, TPR=0.2710, FPR=0.1146, PPV=0.7027, Advantage=0.1564
α=14.00%, θ*=1.55, TPR=0.3064, FPR=0.1359, PPV=0.6928, Advantage=0.1706
α=15.00%, θ*=1.55, TPR=0.3064, FPR=0.1359, PPV=0.6928, Advantage=0.1706
α=16.00%, θ*=1.55, TPR=0.3064, FPR=0.1359, PPV=0.6928, Advantage=0.1706
α=17.00%, θ*=1.55, TPR=0.3064, FPR=0.1359, PPV=0.6928, Advantage=0.1706
α=18.00%, θ*=1.60, TPR=0.3335, FPR=0.1762, PPV=0.6543, Advantage=0.1573
α=19.00%, θ*=1.60, TPR=0.3335, FPR=0.1762, PPV=0.6543, Advantage=0.1573
α=20.00%, θ*=1.60, TPR=0.3335, FPR=0.1762, PPV=0.6543, Advantage=0.1573
α=21.00%, θ*=1.60, TPR=0.3335, FPR=0.1762, PPV=0.6543, Advantage=0.1573
α=22.00%, θ*=1.65, TPR=0.3640, FPR=0.2187, PPV=0.6247, Advantage=0.1453
α=23.00%, θ*=1.65, TPR=0.3640, FPR=0.2187, PPV=0.6247, Advantage=0.1453
α=24.00%, θ*=1.65, TPR=0.3640, FPR=0.2187, PPV=0.6247, Advantage=0.1453
