Logging
ITERATION 114.0000 | TOTAL G LOSS -7.2821
ITERATION 115.0000 | TOTAL G LOSS -7.0098
ITERATION 116.0000 | TOTAL G LOSS -8.4850
ITERATION 117.0000 | TOTAL G LOSS -6.7802
ITERATION 118.0000 | TOTAL G LOSS -7.7720
ITERATION 119.0000 | TOTAL G LOSS -8.2368
ITERATION 120.0000 | TOTAL G LOSS -7.5046
ITERATION 121.0000 | TOTAL G LOSS -8.0262
ITERATION 122.0000 | TOTAL G LOSS -9.1392
ITERATION 123.0000 | TOTAL G LOSS -7.4262
ITERATION 124.0000 | TOTAL G LOSS -7.5962
ITERATION 125.0000 | TOTAL G LOSS -8.4347
ITERATION 126.0000 | TOTAL G LOSS -8.5072
ITERATION 127.0000 | TOTAL G LOSS -8.9673
ITERATION 128.0000 | TOTAL G LOSS -7.8882
ITERATION 129.0000 | TOTAL G LOSS -8.1143
ITERATION 130.0000 | TOTAL G LOSS -6.9283
ITERATION 131.0000 | TOTAL G LOSS -8.9174
ITERATION 132.0000 | TOTAL G LOSS -10.0368
ITERATION 133.0000 | TOTAL G LOSS -9.5525
ITERATION 134.0000 | TOTAL G LOSS -9.8335
ITERATION 135.0000 | TOTAL G LOSS -8.5514
ITERATION 136.0000 | TOTAL G LOSS -7.5051
ITERATION 137.0000 | TOTAL G LOSS -8.3006
ITERATION 138.0000 | TOTAL G LOSS -7.9689
ITERATION 139.0000 | TOTAL G LOSS -6.3919
ITERATION 140.0000 | TOTAL G LOSS -7.9582
ITERATION 141.0000 | TOTAL G LOSS -9.2926
ITERATION 142.0000 | TOTAL G LOSS -7.8777
ITERATION 143.0000 | TOTAL G LOSS -9.1040
ITERATION 144.0000 | TOTAL G LOSS -7.6932
ITERATION 145.0000 | TOTAL G LOSS -7.7346
ITERATION 146.0000 | TOTAL G LOSS -8.5928
ITERATION 147.0000 | TOTAL G LOSS -7.4303
ITERATION 148.0000 | TOTAL G LOSS -8.2597
ITERATION 149.0000 | TOTAL G LOSS -8.4703
ITERATION 150.0000 | TOTAL G LOSS -8.6952
ITERATION 151.0000 | TOTAL G LOSS -7.9637
ITERATION 152.0000 | TOTAL G LOSS -8.9923
ITERATION 153.0000 | TOTAL G LOSS -7.5564
ITERATION 154.0000 | TOTAL G LOSS -5.5403
ITERATION 155.0000 | TOTAL G LOSS -5.8210
ITERATION 156.0000 | TOTAL G LOSS -4.9534
ITERATION 157.0000 | TOTAL G LOSS -6.4582
ITERATION 158.0000 | TOTAL G LOSS -2.8601
ITERATION 159.0000 | TOTAL G LOSS -5.7703
ITERATION 160.0000 | TOTAL G LOSS -5.0711
ITERATION 161.0000 | TOTAL G LOSS -3.6998
ITERATION 162.0000 | TOTAL G LOSS -3.7982
ITERATION 163.0000 | TOTAL G LOSS -5.7520
ITERATION 164.0000 | TOTAL G LOSS -5.1925
ITERATION 165.0000 | TOTAL G LOSS -3.4353
ITERATION 166.0000 | TOTAL G LOSS -4.2459
ITERATION 167.0000 | TOTAL G LOSS -3.3329
ITERATION 168.0000 | TOTAL G LOSS -3.7718
ITERATION 169.0000 | TOTAL G LOSS -2.2270
ITERATION 170.0000 | TOTAL G LOSS -4.5484
ITERATION 171.0000 | TOTAL G LOSS -2.8975
ITERATION 172.0000 | TOTAL G LOSS -3.2451
ITERATION 173.0000 | TOTAL G LOSS -3.5874
ITERATION 174.0000 | TOTAL G LOSS -1.1484
ITERATION 175.0000 | TOTAL G LOSS -1.9773
