Logging
iteration 2650 | D LOSS = 1.3543 | G LOSS = -0.0360 | AVG R =0.4833 | mean_pen: 0.0003 |  
iteration 2700 | D LOSS = 1.3541 | G LOSS = -0.0345 | AVG R =0.4840 | mean_pen: 0.0004 |  
iteration 2750 | D LOSS = 1.3545 | G LOSS = -0.0320 | AVG R =0.4848 | mean_pen: 0.0004 |  
iteration 2800 | D LOSS = 1.3557 | G LOSS = -0.0327 | AVG R =0.4846 | mean_pen: 0.0004 |  
iteration 2850 | D LOSS = 1.3568 | G LOSS = -0.0344 | AVG R =0.4845 | mean_pen: 0.0003 |  
iteration 2900 | D LOSS = 1.3565 | G LOSS = -0.0340 | AVG R =0.4852 | mean_pen: 0.0003 |  
iteration 2950 | D LOSS = 1.3576 | G LOSS = -0.0323 | AVG R =0.4857 | mean_pen: 0.0003 |  
iteration 3000 | D LOSS = 1.3580 | G LOSS = -0.0324 | AVG R =0.4860 | mean_pen: 0.0004 |  
iteration 3050 | D LOSS = 1.3583 | G LOSS = -0.0315 | AVG R =0.4859 | mean_pen: 0.0003 |  
iteration 3100 | D LOSS = 1.3587 | G LOSS = -0.0326 | AVG R =0.4863 | mean_pen: 0.0003 |  
iteration 3150 | D LOSS = 1.3598 | G LOSS = -0.0360 | AVG R =0.4867 | mean_pen: 0.0003 |  
iteration 3200 | D LOSS = 1.3600 | G LOSS = -0.0335 | AVG R =0.4864 | mean_pen: 0.0003 |  
iteration 3250 | D LOSS = 1.3600 | G LOSS = -0.0350 | AVG R =0.4871 | mean_pen: 0.0003 |  
iteration 3300 | D LOSS = 1.3614 | G LOSS = -0.0377 | AVG R =0.4875 | mean_pen: 0.0002 |  
iteration 3350 | D LOSS = 1.3609 | G LOSS = -0.0408 | AVG R =0.4872 | mean_pen: 0.0002 |  
iteration 3400 | D LOSS = 1.3620 | G LOSS = -0.0376 | AVG R =0.4878 | mean_pen: 0.0002 |  
iteration 3450 | D LOSS = 1.3637 | G LOSS = -0.0390 | AVG R =0.4887 | mean_pen: 0.0002 |  
iteration 3500 | D LOSS = 1.3646 | G LOSS = -0.0418 | AVG R =0.4883 | mean_pen: 0.0002 |  
iteration 3550 | D LOSS = 1.3633 | G LOSS = -0.0426 | AVG R =0.4891 | mean_pen: 0.0002 |  
iteration 3600 | D LOSS = 1.3642 | G LOSS = -0.0447 | AVG R =0.4894 | mean_pen: 0.0002 |  
iteration 3650 | D LOSS = 1.3658 | G LOSS = -0.0390 | AVG R =0.4895 | mean_pen: 0.0002 |  
iteration 3700 | D LOSS = 1.3654 | G LOSS = -0.0384 | AVG R =0.4895 | mean_pen: 0.0002 |  
iteration 3750 | D LOSS = 1.3654 | G LOSS = -0.0445 | AVG R =0.4900 | mean_pen: 0.0002 |  
iteration 3800 | D LOSS = 1.3647 | G LOSS = -0.0406 | AVG R =0.4893 | mean_pen: 0.0002 |  
iteration 3850 | D LOSS = 1.3649 | G LOSS = -0.0400 | AVG R =0.4899 | mean_pen: 0.0002 |  
iteration 3900 | D LOSS = 1.3659 | G LOSS = -0.0419 | AVG R =0.4896 | mean_pen: 0.0002 |  
iteration 3950 | D LOSS = 1.3662 | G LOSS = -0.0393 | AVG R =0.4900 | mean_pen: 0.0002 |  
iteration 4000 | D LOSS = 1.3672 | G LOSS = -0.0415 | AVG R =0.4909 | mean_pen: 0.0002 |  
iteration 4050 | D LOSS = 1.3678 | G LOSS = -0.0457 | AVG R =0.4908 | mean_pen: 0.0002 |  
iteration 4100 | D LOSS = 1.3686 | G LOSS = -0.0479 | AVG R =0.4908 | mean_pen: 0.0001 |  
iteration 4150 | D LOSS = 1.3683 | G LOSS = -0.0438 | AVG R =0.4907 | mean_pen: 0.0001 |  
iteration 4200 | D LOSS = 1.3690 | G LOSS = -0.0409 | AVG R =0.4909 | mean_pen: 0.0001 |  
iteration 4250 | D LOSS = 1.3693 | G LOSS = -0.0414 | AVG R =0.4906 | mean_pen: 0.0001 |  
iteration 4300 | D LOSS = 1.3696 | G LOSS = -0.0412 | AVG R =0.4918 | mean_pen: 0.0001 |  
iteration 4350 | D LOSS = 1.3684 | G LOSS = -0.0397 | AVG R =0.4914 | mean_pen: 0.0001 |  
iteration 4400 | D LOSS = 1.3692 | G LOSS = -0.0446 | AVG R =0.4919 | mean_pen: 0.0001 |  
iteration 4450 | D LOSS = 1.3694 | G LOSS = -0.0453 | AVG R =0.4918 | mean_pen: 0.0001 |  
iteration 4500 | D LOSS = 1.3695 | G LOSS = -0.0432 | AVG R =0.4919 | mean_pen: 0.0001 |  
iteration 4550 | D LOSS = 1.3712 | G LOSS = -0.0433 | AVG R =0.4914 | mean_pen: 0.0002 |  
iteration 4600 | D LOSS = 1.3697 | G LOSS = -0.0435 | AVG R =0.4917 | mean_pen: 0.0001 |  
iteration 4650 | D LOSS = 1.3706 | G LOSS = -0.0434 | AVG R =0.4920 | mean_pen: 0.0001 |  
iteration 4700 | D LOSS = 1.3709 | G LOSS = -0.0478 | AVG R =0.4915 | mean_pen: 0.0001 |  
iteration 4750 | D LOSS = 1.3711 | G LOSS = -0.0453 | AVG R =0.4928 | mean_pen: 0.0001 |  
iteration 4800 | D LOSS = 1.3705 | G LOSS = -0.0392 | AVG R =0.4926 | mean_pen: 0.0001 |  
iteration 4850 | D LOSS = 1.3718 | G LOSS = -0.0454 | AVG R =0.4925 | mean_pen: 0.0001 |  
iteration 4900 | D LOSS = 1.3715 | G LOSS = -0.0359 | AVG R =0.4925 | mean_pen: 0.0001 |  
