Logging
iteration 3400 | D LOSS = 1.3595 | G LOSS = -0.6990 | AVG R =0.4861 |  
iteration 3450 | D LOSS = 1.3592 | G LOSS = 1.9804 | AVG R =0.4873 |  
iteration 3500 | D LOSS = 1.3603 | G LOSS = -0.2048 | AVG R =0.4870 |  
iteration 3550 | D LOSS = 1.3604 | G LOSS = -1.0452 | AVG R =0.4872 |  
iteration 3600 | D LOSS = 1.3600 | G LOSS = -1.3452 | AVG R =0.4873 |  
iteration 3650 | D LOSS = 1.3608 | G LOSS = 0.0061 | AVG R =0.4870 |  
iteration 3700 | D LOSS = 1.3610 | G LOSS = -2.5987 | AVG R =0.4876 |  
iteration 3750 | D LOSS = 1.3608 | G LOSS = -0.2056 | AVG R =0.4882 |  
iteration 3800 | D LOSS = 1.3626 | G LOSS = -0.9665 | AVG R =0.4876 |  
iteration 3850 | D LOSS = 1.3626 | G LOSS = 0.4379 | AVG R =0.4878 |  
iteration 3900 | D LOSS = 1.3632 | G LOSS = 0.8036 | AVG R =0.4882 |  
iteration 3950 | D LOSS = 1.3616 | G LOSS = 0.6378 | AVG R =0.4889 |  
iteration 4000 | D LOSS = 1.3625 | G LOSS = -1.8911 | AVG R =0.4880 |  
iteration 4050 | D LOSS = 1.3631 | G LOSS = -1.0582 | AVG R =0.4882 |  
iteration 4100 | D LOSS = 1.3628 | G LOSS = -0.3885 | AVG R =0.4888 |  
iteration 4150 | D LOSS = 1.3651 | G LOSS = -4.0254 | AVG R =0.4889 |  
iteration 4200 | D LOSS = 1.3629 | G LOSS = -2.2217 | AVG R =0.4883 |  
iteration 4250 | D LOSS = 1.3640 | G LOSS = 0.5703 | AVG R =0.4889 |  
iteration 4300 | D LOSS = 1.3647 | G LOSS = -1.0175 | AVG R =0.4892 |  
iteration 4350 | D LOSS = 1.3646 | G LOSS = -2.3667 | AVG R =0.4890 |  
iteration 4400 | D LOSS = 1.3640 | G LOSS = -0.0061 | AVG R =0.4893 |  
iteration 4450 | D LOSS = 1.3637 | G LOSS = -2.9714 | AVG R =0.4894 |  
iteration 4500 | D LOSS = 1.3663 | G LOSS = -1.9534 | AVG R =0.4887 |  
iteration 4550 | D LOSS = 1.3655 | G LOSS = -1.9745 | AVG R =0.4891 |  
iteration 4600 | D LOSS = 1.3658 | G LOSS = -0.5117 | AVG R =0.4892 |  
iteration 4650 | D LOSS = 1.3653 | G LOSS = -2.3458 | AVG R =0.4892 |  
iteration 4700 | D LOSS = 1.3640 | G LOSS = -0.9955 | AVG R =0.4893 |  
iteration 4750 | D LOSS = 1.3648 | G LOSS = -3.0055 | AVG R =0.4898 |  
iteration 4800 | D LOSS = 1.3662 | G LOSS = 1.3068 | AVG R =0.4893 |  
iteration 4850 | D LOSS = 1.3654 | G LOSS = -0.8555 | AVG R =0.4898 |  
iteration 4900 | D LOSS = 1.3657 | G LOSS = -1.0810 | AVG R =0.4892 |  
iteration 4950 | D LOSS = 1.3656 | G LOSS = -0.1807 | AVG R =0.4896 |  
iteration 5000 | D LOSS = 1.3658 | G LOSS = -0.8039 | AVG R =0.4896 |  
iteration 5050 | D LOSS = 1.3656 | G LOSS = -3.7197 | AVG R =0.4900 |  
iteration 5100 | D LOSS = 1.3664 | G LOSS = -0.8058 | AVG R =0.4897 |  
iteration 5150 | D LOSS = 1.3658 | G LOSS = -1.5371 | AVG R =0.4901 |  
iteration 5200 | D LOSS = 1.3659 | G LOSS = -3.6213 | AVG R =0.4900 |  
iteration 5250 | D LOSS = 1.3667 | G LOSS = 1.0430 | AVG R =0.4906 |  
iteration 5300 | D LOSS = 1.3674 | G LOSS = -0.4694 | AVG R =0.4900 |  
iteration 5350 | D LOSS = 1.3669 | G LOSS = -4.6994 | AVG R =0.4897 |  
iteration 5400 | D LOSS = 1.3676 | G LOSS = -2.0220 | AVG R =0.4902 |  
iteration 5450 | D LOSS = 1.3656 | G LOSS = -4.4053 | AVG R =0.4904 |  
iteration 5500 | D LOSS = 1.3664 | G LOSS = -5.0440 | AVG R =0.4898 |  
iteration 5550 | D LOSS = 1.3655 | G LOSS = 0.6994 | AVG R =0.4897 |  
iteration 5600 | D LOSS = 1.3674 | G LOSS = -3.0074 | AVG R =0.4899 |  
iteration 5650 | D LOSS = 1.3665 | G LOSS = 0.3494 | AVG R =0.4906 |  
iteration 5700 | D LOSS = 1.3663 | G LOSS = -3.6103 | AVG R =0.4906 |  
iteration 5750 | D LOSS = 1.3665 | G LOSS = -4.2094 | AVG R =0.4899 |  
iteration 5800 | D LOSS = 1.3684 | G LOSS = -2.4755 | AVG R =0.4906 |  
iteration 5850 | D LOSS = 1.3682 | G LOSS = -2.3848 | AVG R =0.4907 |  
