Logging
ITERATION 114.0000 | TOTAL G LOSS -7.7561
ITERATION 115.0000 | TOTAL G LOSS -7.4154
ITERATION 116.0000 | TOTAL G LOSS -8.2871
ITERATION 117.0000 | TOTAL G LOSS -7.9646
ITERATION 118.0000 | TOTAL G LOSS -8.6659
ITERATION 119.0000 | TOTAL G LOSS -8.8443
ITERATION 120.0000 | TOTAL G LOSS -7.6004
ITERATION 121.0000 | TOTAL G LOSS -8.6165
ITERATION 122.0000 | TOTAL G LOSS -7.8649
ITERATION 123.0000 | TOTAL G LOSS -9.3202
ITERATION 124.0000 | TOTAL G LOSS -8.2612
ITERATION 125.0000 | TOTAL G LOSS -6.8433
ITERATION 126.0000 | TOTAL G LOSS -6.6309
ITERATION 127.0000 | TOTAL G LOSS -8.3353
ITERATION 128.0000 | TOTAL G LOSS -6.1875
ITERATION 129.0000 | TOTAL G LOSS -7.7109
ITERATION 130.0000 | TOTAL G LOSS -5.5833
ITERATION 131.0000 | TOTAL G LOSS -6.4492
ITERATION 132.0000 | TOTAL G LOSS -6.6240
ITERATION 133.0000 | TOTAL G LOSS -7.1929
ITERATION 134.0000 | TOTAL G LOSS -3.8695
ITERATION 135.0000 | TOTAL G LOSS -3.7361
ITERATION 136.0000 | TOTAL G LOSS -3.1959
ITERATION 137.0000 | TOTAL G LOSS -2.2948
ITERATION 138.0000 | TOTAL G LOSS -3.1938
ITERATION 139.0000 | TOTAL G LOSS -0.6804
ITERATION 140.0000 | TOTAL G LOSS -2.7544
ITERATION 141.0000 | TOTAL G LOSS -0.5911
ITERATION 142.0000 | TOTAL G LOSS 1.3055
ITERATION 143.0000 | TOTAL G LOSS 0.7755
ITERATION 144.0000 | TOTAL G LOSS 0.7077
ITERATION 145.0000 | TOTAL G LOSS 0.5028
ITERATION 146.0000 | TOTAL G LOSS 2.4079
ITERATION 147.0000 | TOTAL G LOSS 1.2251
ITERATION 148.0000 | TOTAL G LOSS 0.9283
ITERATION 149.0000 | TOTAL G LOSS 3.0885
ITERATION 150.0000 | TOTAL G LOSS 2.6873
ITERATION 151.0000 | TOTAL G LOSS 0.4121
ITERATION 152.0000 | TOTAL G LOSS 1.2603
ITERATION 153.0000 | TOTAL G LOSS 1.2584
ITERATION 154.0000 | TOTAL G LOSS 0.7295
ITERATION 155.0000 | TOTAL G LOSS 1.8681
ITERATION 156.0000 | TOTAL G LOSS 0.3437
ITERATION 157.0000 | TOTAL G LOSS -0.9140
ITERATION 158.0000 | TOTAL G LOSS -1.9588
ITERATION 159.0000 | TOTAL G LOSS -1.7610
ITERATION 160.0000 | TOTAL G LOSS -2.8724
ITERATION 161.0000 | TOTAL G LOSS -0.8418
ITERATION 162.0000 | TOTAL G LOSS -1.4284
ITERATION 163.0000 | TOTAL G LOSS -1.4240
ITERATION 164.0000 | TOTAL G LOSS -2.0186
ITERATION 165.0000 | TOTAL G LOSS -2.6190
ITERATION 166.0000 | TOTAL G LOSS 0.7890
ITERATION 167.0000 | TOTAL G LOSS -2.3639
ITERATION 168.0000 | TOTAL G LOSS 0.0083
ITERATION 169.0000 | TOTAL G LOSS -3.0583
ITERATION 170.0000 | TOTAL G LOSS -2.5745
ITERATION 171.0000 | TOTAL G LOSS -0.8359
ITERATION 172.0000 | TOTAL G LOSS -4.0103
ITERATION 173.0000 | TOTAL G LOSS -3.1758
ITERATION 174.0000 | TOTAL G LOSS -1.7210
ITERATION 175.0000 | TOTAL G LOSS -1.5575
ITERATION 176.0000 | TOTAL G LOSS -0.5333
ITERATION 177.0000 | TOTAL G LOSS -0.2273
ITERATION 178.0000 | TOTAL G LOSS -0.3219
ITERATION 179.0000 | TOTAL G LOSS -1.8593
ITERATION 180.0000 | TOTAL G LOSS -2.1195
ITERATION 181.0000 | TOTAL G LOSS -1.6429
ITERATION 182.0000 | TOTAL G LOSS -0.4441
ITERATION 183.0000 | TOTAL G LOSS -1.4767
ITERATION 184.0000 | TOTAL G LOSS -0.6618
ITERATION 185.0000 | TOTAL G LOSS -0.2640
ITERATION 186.0000 | TOTAL G LOSS -1.4866
ITERATION 187.0000 | TOTAL G LOSS -0.4936
ITERATION 188.0000 | TOTAL G LOSS -1.0880
ITERATION 189.0000 | TOTAL G LOSS 0.0521
ITERATION 190.0000 | TOTAL G LOSS -0.9835
ITERATION 191.0000 | TOTAL G LOSS -1.3201
ITERATION 192.0000 | TOTAL G LOSS -0.7631
ITERATION 193.0000 | TOTAL G LOSS -0.9902
ITERATION 194.0000 | TOTAL G LOSS -2.3503
ITERATION 195.0000 | TOTAL G LOSS -0.6407
ITERATION 196.0000 | TOTAL G LOSS 0.8066
ITERATION 197.0000 | TOTAL G LOSS 0.7166
ITERATION 198.0000 | TOTAL G LOSS 0.3974
ITERATION 199.0000 | TOTAL G LOSS 1.0897
