α=1.00%, θ*=1.50, TPR=0.0226, FPR=0.0085, PPV=0.7271, Advantage=0.0141
α=2.00%, θ*=1.80, TPR=0.1198, FPR=0.0170, PPV=0.8758, Advantage=0.1028
α=3.00%, θ*=1.85, TPR=0.1424, FPR=0.0297, PPV=0.8273, Advantage=0.1127
α=4.00%, θ*=1.85, TPR=0.1424, FPR=0.0297, PPV=0.8273, Advantage=0.1127
α=5.00%, θ*=1.85, TPR=0.1424, FPR=0.0297, PPV=0.8273, Advantage=0.1127
α=6.00%, θ*=1.85, TPR=0.1424, FPR=0.0297, PPV=0.8273, Advantage=0.1127
α=7.00%, θ*=1.90, TPR=0.1643, FPR=0.0658, PPV=0.7140, Advantage=0.0985
α=8.00%, θ*=1.90, TPR=0.1643, FPR=0.0658, PPV=0.7140, Advantage=0.0985
α=9.00%, θ*=1.90, TPR=0.1643, FPR=0.0658, PPV=0.7140, Advantage=0.0985
α=10.00%, θ*=1.95, TPR=0.1879, FPR=0.0955, PPV=0.6629, Advantage=0.0924
α=11.00%, θ*=1.95, TPR=0.1879, FPR=0.0955, PPV=0.6629, Advantage=0.0924
α=12.00%, θ*=1.95, TPR=0.1879, FPR=0.0955, PPV=0.6629, Advantage=0.0924
α=13.00%, θ*=1.95, TPR=0.1879, FPR=0.0955, PPV=0.6629, Advantage=0.0924
α=14.00%, θ*=1.95, TPR=0.1879, FPR=0.0955, PPV=0.6629, Advantage=0.0924
α=15.00%, θ*=2.00, TPR=0.2194, FPR=0.1486, PPV=0.5961, Advantage=0.0708
α=16.00%, θ*=2.00, TPR=0.2194, FPR=0.1486, PPV=0.5961, Advantage=0.0708
α=17.00%, θ*=2.00, TPR=0.2194, FPR=0.1486, PPV=0.5961, Advantage=0.0708
α=18.00%, θ*=2.00, TPR=0.2194, FPR=0.1486, PPV=0.5961, Advantage=0.0708
α=19.00%, θ*=2.00, TPR=0.2194, FPR=0.1486, PPV=0.5961, Advantage=0.0708
α=20.00%, θ*=2.05, TPR=0.2693, FPR=0.1932, PPV=0.5823, Advantage=0.0761
α=21.00%, θ*=2.05, TPR=0.2693, FPR=0.1932, PPV=0.5823, Advantage=0.0761
α=22.00%, θ*=2.10, TPR=0.3163, FPR=0.2166, PPV=0.5936, Advantage=0.0997
α=23.00%, θ*=2.10, TPR=0.3163, FPR=0.2166, PPV=0.5936, Advantage=0.0997
α=24.00%, θ*=2.10, TPR=0.3163, FPR=0.2166, PPV=0.5936, Advantage=0.0997
α=25.00%, θ*=2.15, TPR=0.3529, FPR=0.2442, PPV=0.5911, Advantage=0.1088
α=26.00%, θ*=2.15, TPR=0.3529, FPR=0.2442, PPV=0.5911, Advantage=0.1088
α=27.00%, θ*=2.15, TPR=0.3529, FPR=0.2442, PPV=0.5911, Advantage=0.1088
α=28.00%, θ*=2.15, TPR=0.3529, FPR=0.2442, PPV=0.5911, Advantage=0.1088
α=29.00%, θ*=2.15, TPR=0.3529, FPR=0.2442, PPV=0.5911, Advantage=0.1088
α=30.00%, θ*=2.15, TPR=0.3529, FPR=0.2442, PPV=0.5911, Advantage=0.1088
α=31.00%, θ*=2.15, TPR=0.3529, FPR=0.2442, PPV=0.5911, Advantage=0.1088
α=32.00%, θ*=2.15, TPR=0.3529, FPR=0.2442, PPV=0.5911, Advantage=0.1088
α=33.00%, θ*=2.15, TPR=0.3529, FPR=0.2442, PPV=0.5911, Advantage=0.1088
α=34.00%, θ*=2.20, TPR=0.4046, FPR=0.3333, PPV=0.5483, Advantage=0.0712
α=35.00%, θ*=2.20, TPR=0.4046, FPR=0.3333, PPV=0.5483, Advantage=0.0712
α=36.00%, θ*=2.20, TPR=0.4046, FPR=0.3333, PPV=0.5483, Advantage=0.0712
α=37.00%, θ*=2.20, TPR=0.4046, FPR=0.3333, PPV=0.5483, Advantage=0.0712
α=38.00%, θ*=2.20, TPR=0.4046, FPR=0.3333, PPV=0.5483, Advantage=0.0712
α=39.00%, θ*=2.20, TPR=0.4046, FPR=0.3333, PPV=0.5483, Advantage=0.0712
α=40.00%, θ*=2.20, TPR=0.4046, FPR=0.3333, PPV=0.5483, Advantage=0.0712
α=41.00%, θ*=2.20, TPR=0.4046, FPR=0.3333, PPV=0.5483, Advantage=0.0712
α=42.00%, θ*=2.20, TPR=0.4046, FPR=0.3333, PPV=0.5483, Advantage=0.0712
α=43.00%, θ*=2.25, TPR=0.4427, FPR=0.4246, PPV=0.5104, Advantage=0.0181
α=44.00%, θ*=2.25, TPR=0.4427, FPR=0.4246, PPV=0.5104, Advantage=0.0181
