α=61.00%, θ*=3.35, TPR=0.5880, FPR=0.5648, PPV=0.5101, Advantage=0.0233
α=62.00%, θ*=3.35, TPR=0.5880, FPR=0.5648, PPV=0.5101, Advantage=0.0233
α=63.00%, θ*=3.35, TPR=0.5880, FPR=0.5648, PPV=0.5101, Advantage=0.0233
α=64.00%, θ*=3.35, TPR=0.5880, FPR=0.5648, PPV=0.5101, Advantage=0.0233
α=65.00%, θ*=3.35, TPR=0.5880, FPR=0.5648, PPV=0.5101, Advantage=0.0233
α=66.00%, θ*=3.40, TPR=0.6503, FPR=0.6561, PPV=0.4978, Advantage=-0.0058
α=67.00%, θ*=3.40, TPR=0.6503, FPR=0.6561, PPV=0.4978, Advantage=-0.0058
α=68.00%, θ*=3.40, TPR=0.6503, FPR=0.6561, PPV=0.4978, Advantage=-0.0058
α=69.00%, θ*=3.40, TPR=0.6503, FPR=0.6561, PPV=0.4978, Advantage=-0.0058
α=70.00%, θ*=3.40, TPR=0.6503, FPR=0.6561, PPV=0.4978, Advantage=-0.0058
α=71.00%, θ*=3.40, TPR=0.6503, FPR=0.6561, PPV=0.4978, Advantage=-0.0058
α=72.00%, θ*=3.45, TPR=0.7076, FPR=0.7155, PPV=0.4972, Advantage=-0.0079
α=73.00%, θ*=3.45, TPR=0.7076, FPR=0.7155, PPV=0.4972, Advantage=-0.0079
α=74.00%, θ*=3.45, TPR=0.7076, FPR=0.7155, PPV=0.4972, Advantage=-0.0079
α=75.00%, θ*=3.45, TPR=0.7076, FPR=0.7155, PPV=0.4972, Advantage=-0.0079
α=76.00%, θ*=3.45, TPR=0.7076, FPR=0.7155, PPV=0.4972, Advantage=-0.0079
α=77.00%, θ*=3.50, TPR=0.7617, FPR=0.7643, PPV=0.4991, Advantage=-0.0026
α=78.00%, θ*=3.50, TPR=0.7617, FPR=0.7643, PPV=0.4991, Advantage=-0.0026
α=79.00%, θ*=3.50, TPR=0.7617, FPR=0.7643, PPV=0.4991, Advantage=-0.0026
α=80.00%, θ*=3.50, TPR=0.7617, FPR=0.7643, PPV=0.4991, Advantage=-0.0026
α=81.00%, θ*=3.50, TPR=0.7617, FPR=0.7643, PPV=0.4991, Advantage=-0.0026
α=82.00%, θ*=3.55, TPR=0.8055, FPR=0.8132, PPV=0.4976, Advantage=-0.0077
α=83.00%, θ*=3.55, TPR=0.8055, FPR=0.8132, PPV=0.4976, Advantage=-0.0077
α=84.00%, θ*=3.55, TPR=0.8055, FPR=0.8132, PPV=0.4976, Advantage=-0.0077
α=85.00%, θ*=3.55, TPR=0.8055, FPR=0.8132, PPV=0.4976, Advantage=-0.0077
α=86.00%, θ*=3.55, TPR=0.8055, FPR=0.8132, PPV=0.4976, Advantage=-0.0077
α=87.00%, θ*=3.55, TPR=0.8055, FPR=0.8132, PPV=0.4976, Advantage=-0.0077
