Logging
iteration 3400 | D LOSS = 1.3488 | G LOSS = 0.2480 | AVG R =0.4821 |  
iteration 3450 | D LOSS = 1.3502 | G LOSS = 0.8157 | AVG R =0.4818 |  
iteration 3500 | D LOSS = 1.3506 | G LOSS = 0.8125 | AVG R =0.4824 |  
iteration 3550 | D LOSS = 1.3518 | G LOSS = -0.4628 | AVG R =0.4829 |  
iteration 3600 | D LOSS = 1.3533 | G LOSS = -0.6894 | AVG R =0.4832 |  
iteration 3650 | D LOSS = 1.3536 | G LOSS = -0.2673 | AVG R =0.4824 |  
iteration 3700 | D LOSS = 1.3526 | G LOSS = -0.2897 | AVG R =0.4828 |  
iteration 3750 | D LOSS = 1.3533 | G LOSS = -0.1067 | AVG R =0.4835 |  
iteration 3800 | D LOSS = 1.3520 | G LOSS = -0.7420 | AVG R =0.4836 |  
iteration 3850 | D LOSS = 1.3539 | G LOSS = 0.2843 | AVG R =0.4838 |  
iteration 3900 | D LOSS = 1.3536 | G LOSS = 0.2826 | AVG R =0.4831 |  
iteration 3950 | D LOSS = 1.3521 | G LOSS = 0.6214 | AVG R =0.4841 |  
iteration 4000 | D LOSS = 1.3534 | G LOSS = -0.0796 | AVG R =0.4837 |  
iteration 4050 | D LOSS = 1.3531 | G LOSS = -0.3537 | AVG R =0.4831 |  
iteration 4100 | D LOSS = 1.3530 | G LOSS = 0.1749 | AVG R =0.4838 |  
iteration 4150 | D LOSS = 1.3543 | G LOSS = 0.3666 | AVG R =0.4841 |  
iteration 4200 | D LOSS = 1.3543 | G LOSS = -0.4752 | AVG R =0.4841 |  
iteration 4250 | D LOSS = 1.3540 | G LOSS = 0.7246 | AVG R =0.4840 |  
iteration 4300 | D LOSS = 1.3542 | G LOSS = 1.9978 | AVG R =0.4841 |  
iteration 4350 | D LOSS = 1.3555 | G LOSS = -0.1820 | AVG R =0.4843 |  
iteration 4400 | D LOSS = 1.3536 | G LOSS = -0.8628 | AVG R =0.4841 |  
iteration 4450 | D LOSS = 1.3539 | G LOSS = 0.2356 | AVG R =0.4840 |  
iteration 4500 | D LOSS = 1.3544 | G LOSS = -0.1222 | AVG R =0.4841 |  
iteration 4550 | D LOSS = 1.3556 | G LOSS = -0.7053 | AVG R =0.4846 |  
iteration 4600 | D LOSS = 1.3548 | G LOSS = 0.1288 | AVG R =0.4842 |  
iteration 4650 | D LOSS = 1.3554 | G LOSS = -1.1492 | AVG R =0.4845 |  
iteration 4700 | D LOSS = 1.3551 | G LOSS = 0.3493 | AVG R =0.4842 |  
iteration 4750 | D LOSS = 1.3560 | G LOSS = -0.4328 | AVG R =0.4840 |  
iteration 4800 | D LOSS = 1.3553 | G LOSS = 0.2236 | AVG R =0.4843 |  
iteration 4850 | D LOSS = 1.3552 | G LOSS = -1.7675 | AVG R =0.4843 |  
iteration 4900 | D LOSS = 1.3541 | G LOSS = 0.8841 | AVG R =0.4844 |  
iteration 4950 | D LOSS = 1.3551 | G LOSS = -1.1130 | AVG R =0.4844 |  
iteration 5000 | D LOSS = 1.3552 | G LOSS = 0.2553 | AVG R =0.4844 |  
iteration 5050 | D LOSS = 1.3554 | G LOSS = -1.4065 | AVG R =0.4842 |  
iteration 5100 | D LOSS = 1.3545 | G LOSS = -0.8037 | AVG R =0.4838 |  
iteration 5150 | D LOSS = 1.3540 | G LOSS = -0.3624 | AVG R =0.4841 |  
iteration 5200 | D LOSS = 1.3524 | G LOSS = -0.1218 | AVG R =0.4831 |  
iteration 5250 | D LOSS = 1.3513 | G LOSS = 1.2876 | AVG R =0.4833 |  
iteration 5300 | D LOSS = 1.3488 | G LOSS = 0.4389 | AVG R =0.4827 |  
iteration 5350 | D LOSS = 1.3464 | G LOSS = -0.4983 | AVG R =0.4819 |  
iteration 5400 | D LOSS = 1.3493 | G LOSS = 0.3328 | AVG R =0.4822 |  
iteration 5450 | D LOSS = 1.3515 | G LOSS = -0.0427 | AVG R =0.4826 |  
iteration 5500 | D LOSS = 1.3498 | G LOSS = 0.5124 | AVG R =0.4825 |  
iteration 5550 | D LOSS = 1.3491 | G LOSS = 1.6027 | AVG R =0.4820 |  
iteration 5600 | D LOSS = 1.3492 | G LOSS = -2.5169 | AVG R =0.4809 |  
iteration 5650 | D LOSS = 1.3478 | G LOSS = 0.6784 | AVG R =0.4808 |  
iteration 5700 | D LOSS = 1.3482 | G LOSS = -0.6705 | AVG R =0.4809 |  
iteration 5750 | D LOSS = 1.3471 | G LOSS = -0.2758 | AVG R =0.4807 |  
iteration 5800 | D LOSS = 1.3469 | G LOSS = 1.3781 | AVG R =0.4804 |  
iteration 5850 | D LOSS = 1.3450 | G LOSS = -1.0866 | AVG R =0.4801 |  
iteration 5900 | D LOSS = 1.3467 | G LOSS = -0.4187 | AVG R =0.4797 |  
iteration 5950 | D LOSS = 1.3476 | G LOSS = -1.6533 | AVG R =0.4794 |  
iteration 6000 | D LOSS = 1.3435 | G LOSS = -0.6031 | AVG R =0.4788 |  
iteration 6050 | D LOSS = 1.3444 | G LOSS = 0.4919 | AVG R =0.4795 |  
iteration 6100 | D LOSS = 1.3438 | G LOSS = -0.9103 | AVG R =0.4791 |  
iteration 6150 | D LOSS = 1.3457 | G LOSS = 0.7099 | AVG R =0.4797 |  
iteration 6200 | D LOSS = 1.3449 | G LOSS = -0.4550 | AVG R =0.4797 |  
iteration 6250 | D LOSS = 1.3433 | G LOSS = 0.7552 | AVG R =0.4790 |  
iteration 6300 | D LOSS = 1.3451 | G LOSS = -0.3010 | AVG R =0.4792 |  
iteration 6350 | D LOSS = 1.3448 | G LOSS = -1.3103 | AVG R =0.4788 |  
iteration 6400 | D LOSS = 1.3434 | G LOSS = 0.1372 | AVG R =0.4792 |  
iteration 6450 | D LOSS = 1.3444 | G LOSS = 0.8152 | AVG R =0.4794 |  
iteration 6500 | D LOSS = 1.3445 | G LOSS = 0.5453 | AVG R =0.4789 |  
iteration 6550 | D LOSS = 1.3465 | G LOSS = 0.5892 | AVG R =0.4805 |  
iteration 6600 | D LOSS = 1.3486 | G LOSS = -0.5722 | AVG R =0.4813 |  
iteration 6650 | D LOSS = 1.3513 | G LOSS = 1.0973 | AVG R =0.4829 |  
iteration 6700 | D LOSS = 1.3494 | G LOSS = -0.2337 | AVG R =0.4821 |  
iteration 6750 | D LOSS = 1.3519 | G LOSS = 0.9922 | AVG R =0.4828 |  
iteration 6800 | D LOSS = 1.3539 | G LOSS = -0.0815 | AVG R =0.4841 |  
iteration 6850 | D LOSS = 1.3534 | G LOSS = -0.4643 | AVG R =0.4839 |  
iteration 6900 | D LOSS = 1.3535 | G LOSS = 0.5927 | AVG R =0.4842 |  
iteration 6950 | D LOSS = 1.3514 | G LOSS = -1.0823 | AVG R =0.4833 |  
iteration 7000 | D LOSS = 1.3513 | G LOSS = 0.6574 | AVG R =0.4830 |  
iteration 7050 | D LOSS = 1.3510 | G LOSS = -0.4828 | AVG R =0.4819 |  
iteration 7100 | D LOSS = 1.3514 | G LOSS = 0.9398 | AVG R =0.4817 |  
iteration 7150 | D LOSS = 1.3518 | G LOSS = -0.6414 | AVG R =0.4818 |  
iteration 7200 | D LOSS = 1.3497 | G LOSS = -0.7958 | AVG R =0.4820 |  
iteration 7250 | D LOSS = 1.3505 | G LOSS = -1.3113 | AVG R =0.4822 |  
iteration 7300 | D LOSS = 1.3499 | G LOSS = 0.2588 | AVG R =0.4815 |  
iteration 7350 | D LOSS = 1.3503 | G LOSS = -1.1417 | AVG R =0.4813 |  
iteration 7400 | D LOSS = 1.3487 | G LOSS = 0.7537 | AVG R =0.4812 |  
iteration 7450 | D LOSS = 1.3501 | G LOSS = 0.1381 | AVG R =0.4811 |  
iteration 7500 | D LOSS = 1.3504 | G LOSS = -0.2966 | AVG R =0.4808 |  
iteration 7550 | D LOSS = 1.3479 | G LOSS = 0.1028 | AVG R =0.4818 |  
iteration 7600 | D LOSS = 1.3492 | G LOSS = -0.2301 | AVG R =0.4810 |  
iteration 7650 | D LOSS = 1.3476 | G LOSS = 0.5506 | AVG R =0.4819 |  
iteration 7700 | D LOSS = 1.3475 | G LOSS = 0.7720 | AVG R =0.4805 |  
iteration 7750 | D LOSS = 1.3478 | G LOSS = -1.2771 | AVG R =0.4807 |  
iteration 7800 | D LOSS = 1.3462 | G LOSS = -1.0538 | AVG R =0.4807 |  
iteration 7850 | D LOSS = 1.3485 | G LOSS = 0.3437 | AVG R =0.4815 |  
iteration 7900 | D LOSS = 1.3499 | G LOSS = -0.0350 | AVG R =0.4811 |  
iteration 7950 | D LOSS = 1.3502 | G LOSS = 0.5643 | AVG R =0.4820 |  
iteration 8000 | D LOSS = 1.3496 | G LOSS = -0.8322 | AVG R =0.4815 |  
iteration 8050 | D LOSS = 1.3502 | G LOSS = -0.0131 | AVG R =0.4823 |  
iteration 8100 | D LOSS = 1.3488 | G LOSS = -1.2322 | AVG R =0.4815 |  
iteration 8150 | D LOSS = 1.3515 | G LOSS = -0.7145 | AVG R =0.4818 |  
iteration 8200 | D LOSS = 1.3494 | G LOSS = -1.6259 | AVG R =0.4809 |  
iteration 8250 | D LOSS = 1.3512 | G LOSS = -1.3393 | AVG R =0.4813 |  
iteration 8300 | D LOSS = 1.3520 | G LOSS = 0.7300 | AVG R =0.4825 |  
iteration 8350 | D LOSS = 1.3489 | G LOSS = -0.8237 | AVG R =0.4810 |  
iteration 8400 | D LOSS = 1.3508 | G LOSS = -0.5572 | AVG R =0.4820 |  
iteration 8450 | D LOSS = 1.3506 | G LOSS = -2.2014 | AVG R =0.4821 |  
iteration 8500 | D LOSS = 1.3508 | G LOSS = -0.2776 | AVG R =0.4812 |  
iteration 8550 | D LOSS = 1.3486 | G LOSS = -0.3542 | AVG R =0.4811 |  
iteration 8600 | D LOSS = 1.3504 | G LOSS = 0.7340 | AVG R =0.4817 |  
iteration 8650 | D LOSS = 1.3505 | G LOSS = 0.2399 | AVG R =0.4823 |  
iteration 8700 | D LOSS = 1.3499 | G LOSS = 0.6743 | AVG R =0.4820 |  
iteration 8750 | D LOSS = 1.3498 | G LOSS = 2.2714 | AVG R =0.4818 |  
iteration 8800 | D LOSS = 1.3486 | G LOSS = -1.7353 | AVG R =0.4820 |  
iteration 8850 | D LOSS = 1.3488 | G LOSS = -1.0682 | AVG R =0.4821 |  
iteration 8900 | D LOSS = 1.3499 | G LOSS = 0.1411 | AVG R =0.4811 |  
iteration 8950 | D LOSS = 1.3503 | G LOSS = -0.8549 | AVG R =0.4816 |  
