tag,iters,data_size,seed,checkpoint,cwc,overall_real_num,overall_hold_num,overall_real_cat,overall_hold_cat,overall_real,overall_hold,r2r_auc,r2r_acc,s2h_auc,s2h_acc,s2r_auc,s2r_acc,r2s_auc,r2s_acc,rvs_auc,rvs_acc,real_mem_auc,real_mem_auc_bal,synth_mem_auc,synth_mem_auc_bal,elapsed_time
trial9_seed0,30000,0.9,0,29990,1453.6514451265675,0.2630077022129466,0.2037584690331617,0.1893336424268888,0.1674625310973715,0.2261706723199177,0.1856105000652666,0.8734515411356998,0.8136716856729374,0.6362311894454752,0.5679646440516006,0.7303954078929217,0.641884885983653,0.6212410108680605,0.3945227768360621,1.0,1.0,1.0,0.8728070175438597,0.5064897449455542,0.4818790397045245,0.0036292950312296
trial9_seed0,30000,0.9,0,27600,1367.7961691363032,0.2655627058611065,0.2069580016262952,0.201540410189917,0.1795464675676845,0.2335515580255117,0.1932522345969899,0.8734515411356998,0.8136716856729374,0.7806993403421976,0.6797419971333014,0.7298147693237296,0.6189756228459724,0.5677453606707179,0.3769011457630082,1.0,1.0,1.0,0.8728070175438597,0.4799885648942252,0.4622263581101877,0.0036292950312296
trial9_seed1,30000,0.9,1,10100,1467.677943941297,0.2611976771619944,0.1973926290412414,0.186322514143817,0.1760984186544688,0.2237600956529057,0.1867455238478551,0.8714615022660344,0.8038536220980095,0.6520978782775517,0.6581858902575589,0.7073193485193621,0.6889147139183149,0.5616371928288466,0.3810885962824628,1.0,1.0,1.0,0.9002123142250531,0.456847890904116,0.44378631542411,0.0035127798716227
trial9_seed1,30000,0.9,1,29990,1346.9464402764129,0.2660795341093335,0.2023996254951411,0.1668040862738646,0.1711718060606318,0.216441810191599,0.1867857157778864,0.8714615022660344,0.8038536220980095,0.7323164816359009,0.636909294512878,0.6641149976817451,0.5999247446888474,0.5533680984725173,0.3771216529294911,1.0,1.0,1.0,0.9002123142250531,0.4961907715893698,0.4845948224178578,0.0035127798716227
trial9_seed2,30000,0.9,2,27050,1458.6643648315062,0.2590009832189719,0.2025080869135834,0.1843760668533351,0.1758958245592291,0.2216885250361535,0.1892019557364063,0.8765925089588122,0.8050751528958248,0.7007078279607597,0.7356774916013438,0.6944269730971964,0.6849902292431197,0.5543654269459362,0.3769011457630082,1.0,1.0,1.0,0.9069767441860463,0.5216082843635031,0.5032405276025906,0.0035565376281738
trial9_seed2,30000,0.9,2,29990,1300.754569514469,0.263076570236306,0.206429878381125,0.1737229892959228,0.167810697478821,0.2183997797661144,0.187120287929973,0.8765925089588122,0.8050751528958248,0.5256728796032619,0.5391041433370661,0.6117286540960655,0.631296350152636,0.5888700022255102,0.3923215907600698,1.0,1.0,1.0,0.9069767441860463,0.5470196205323701,0.5254705469563624,0.0035565376281738
trial9_seed3,30000,0.9,3,29450,1280.8131217998498,0.266347042606941,0.21142977681988,0.1669763076122327,0.1332338224957788,0.2166616751095868,0.1723317996578294,0.8654651173253688,0.8072943242211711,0.6865154193308097,0.6689655172413793,0.7196079624669862,0.695520049141013,0.6173855540066591,0.3967348911306577,1.0,1.0,1.0,0.8919540229885059,0.4572112286128997,0.4787554498612762,0.0036557555198669
trial9_seed4,30000,0.9,4,29750,1240.2754021444534,0.2739680279733239,0.2067743605747343,0.1376680416106688,0.1258604976464112,0.2058180347919963,0.1663174291105728,0.8627252124199274,0.7981288807517424,0.7379876733163554,0.6894461859979101,0.7178560836467197,0.6916049093054454,0.6228459392850827,0.3771216529294911,1.0,1.0,1.0,0.9041095890410958,0.4894182900161639,0.5029190383853548,0.00366184314092
trial9_seed4,30000,0.9,4,29990,1314.9698190212505,0.2661341124530728,0.1995522507553329,0.1676626261596242,0.1565021958834216,0.2168983693063485,0.1780272233193773,0.8627252124199274,0.7981288807517424,0.5947226306694154,0.6461598746081505,0.6570492834143601,0.6297659744838607,0.6343895564505143,0.3786652030948715,1.0,1.0,1.0,0.9041095890410958,0.5090619607633446,0.5165055982986176,0.00366184314092
trial9_seed5,30000,0.9,5,29990,1257.136733704603,0.2688337532088328,0.2025330850317341,0.1695871693855699,0.1402563033570135,0.2192104612972013,0.1713946941943738,0.8664849072599177,0.8040733142331888,0.5908131097604782,0.4890826564739609,0.7484546620626962,0.5369636783344216,0.6436674725683467,0.3974075836980121,1.0,1.0,1.0,0.9082969432314412,0.5205576865637288,0.5206279437844434,0.0034449021021525
