tag,iters,checkpoint,data_size,seed,cwc,r2r_auc,r2r_acc,s2h_auc,s2h_acc,s2r_auc,s2r_acc,r2s_auc,r2s_acc,rvs_auc,rvs_acc,real_mem_auc,real_mem_auc_bal,synth_mem_auc,synth_mem_auc_bal,elapsed_time
emr_trial9_seed0,30000,27600,0.9,0,1367.7961691363032,0.8734515411356998,0.8136716856729374,0.7806993403421976,0.6797419971333014,0.7298147693237296,0.6189756228459724,0.5677453606707179,0.3769011457630082,1.0,1.0,1.0,0.8728070175438597,0.4799885648942252,0.4622263581101877,0.0036292950312296
emr_trial9_seed1,30000,29990,0.9,1,1346.9464402764129,0.8714615022660344,0.8038536220980095,0.7323164816359009,0.636909294512878,0.6641149976817451,0.5999247446888474,0.5533680984725173,0.3771216529294911,1.0,1.0,1.0,0.9002123142250531,0.4961907715893698,0.4845948224178578,0.0035127798716227
emr_trial9_seed2,30000,27050,0.9,2,1458.6643648315062,0.8765925089588122,0.8050751528958248,0.7007078279607597,0.7356774916013438,0.6944269730971964,0.6849902292431197,0.5543654269459362,0.3769011457630082,1.0,1.0,1.0,0.9069767441860463,0.5216082843635031,0.5032405276025906,0.0035565376281738
emr_trial9_seed3,30000,29450,0.9,3,1280.8131217998498,0.8654651173253688,0.8072943242211711,0.6865154193308097,0.6689655172413793,0.7196079624669862,0.695520049141013,0.6173855540066591,0.3967348911306577,1.0,1.0,1.0,0.8919540229885059,0.4572112286128997,0.4787554498612762,0.0036557555198669
emr_trial9_seed4,30000,29750,0.9,4,1240.2754021444534,0.8627252124199274,0.7981288807517424,0.7379876733163554,0.6894461859979101,0.7178560836467197,0.6916049093054454,0.6228459392850827,0.3771216529294911,1.0,1.0,1.0,0.9041095890410958,0.4894182900161639,0.5029190383853548,0.00366184314092
emr_trial9_seed5,30000,28750,0.9,5,1292.102708711983,0.8664849072599177,0.8040733142331888,0.7322204022204023,0.67044911610129,0.6997285170248281,0.6468907073078605,0.626493299970796,0.3841773965583397,1.0,1.0,1.0,0.9082969432314412,0.5350859819867657,0.5456846742052974,0.0034449021021525
emr_trial9_seed6,30000,10150,0.9,6,1434.3023221698527,0.8648276468656799,0.7991112337655778,0.8153088092719901,0.7233635929288104,0.7824679374452677,0.6913613343830737,0.6224415236680357,0.3782241887619056,1.0,1.0,1.0,0.8845315904139434,0.4557039152645419,0.4513363805943582,0.0034367799758911
emr_trial9_seed7,30000,19850,0.9,7,1389.2007967854072,0.8756561111940215,0.8059880649986251,0.7781431845465459,0.6497191697191697,0.7272933777328375,0.6411825788162833,0.6577549667554127,0.380869789061096,1.0,1.0,1.0,0.902439024390244,0.5548742501842319,0.5610001917394702,0.0035110314687093
emr_trial9_seed8,30000,29990,0.9,8,1356.8535027270214,0.8726480628756587,0.8107397705102011,0.7585838537020517,0.6911634756995582,0.7859651400478306,0.7224976493868418,0.745728285868888,0.3788852245627497,1.0,1.0,1.0,0.8997955010224947,0.5157620314912259,0.4966627774223092,0.0034636139869689
