α=1.00%, θ*=2.55, TPR=0.0229, FPR=0.0085, PPV=0.7292, Advantage=0.0144
α=2.00%, θ*=2.60, TPR=0.0357, FPR=0.0127, PPV=0.7368, Advantage=0.0229
α=3.00%, θ*=2.65, TPR=0.0512, FPR=0.0212, PPV=0.7067, Advantage=0.0299
α=4.00%, θ*=2.65, TPR=0.0512, FPR=0.0212, PPV=0.7067, Advantage=0.0299
α=5.00%, θ*=2.65, TPR=0.0512, FPR=0.0212, PPV=0.7067, Advantage=0.0299
α=6.00%, θ*=2.70, TPR=0.0777, FPR=0.0510, PPV=0.6040, Advantage=0.0268
α=7.00%, θ*=2.70, TPR=0.0777, FPR=0.0510, PPV=0.6040, Advantage=0.0268
α=8.00%, θ*=2.75, TPR=0.1094, FPR=0.0786, PPV=0.5821, Advantage=0.0309
α=9.00%, θ*=2.75, TPR=0.1094, FPR=0.0786, PPV=0.5821, Advantage=0.0309
α=10.00%, θ*=2.80, TPR=0.1552, FPR=0.0998, PPV=0.6086, Advantage=0.0554
α=11.00%, θ*=2.80, TPR=0.1552, FPR=0.0998, PPV=0.6086, Advantage=0.0554
α=12.00%, θ*=2.85, TPR=0.2258, FPR=0.1125, PPV=0.6674, Advantage=0.1132
α=13.00%, θ*=2.85, TPR=0.2258, FPR=0.1125, PPV=0.6674, Advantage=0.1132
α=14.00%, θ*=2.85, TPR=0.2258, FPR=0.1125, PPV=0.6674, Advantage=0.1132
α=15.00%, θ*=2.85, TPR=0.2258, FPR=0.1125, PPV=0.6674, Advantage=0.1132
α=16.00%, θ*=2.85, TPR=0.2258, FPR=0.1125, PPV=0.6674, Advantage=0.1132
α=17.00%, θ*=2.85, TPR=0.2258, FPR=0.1125, PPV=0.6674, Advantage=0.1132
α=18.00%, θ*=2.85, TPR=0.2258, FPR=0.1125, PPV=0.6674, Advantage=0.1132
α=19.00%, θ*=2.85, TPR=0.2258, FPR=0.1125, PPV=0.6674, Advantage=0.1132
α=20.00%, θ*=2.90, TPR=0.3192, FPR=0.1932, PPV=0.6230, Advantage=0.1260
α=21.00%, θ*=2.90, TPR=0.3192, FPR=0.1932, PPV=0.6230, Advantage=0.1260
α=22.00%, θ*=2.90, TPR=0.3192, FPR=0.1932, PPV=0.6230, Advantage=0.1260
α=23.00%, θ*=2.90, TPR=0.3192, FPR=0.1932, PPV=0.6230, Advantage=0.1260
α=24.00%, θ*=2.90, TPR=0.3192, FPR=0.1932, PPV=0.6230, Advantage=0.1260
α=25.00%, θ*=2.90, TPR=0.3192, FPR=0.1932, PPV=0.6230, Advantage=0.1260
α=26.00%, θ*=2.90, TPR=0.3192, FPR=0.1932, PPV=0.6230, Advantage=0.1260
α=27.00%, θ*=2.90, TPR=0.3192, FPR=0.1932, PPV=0.6230, Advantage=0.1260
α=28.00%, θ*=2.90, TPR=0.3192, FPR=0.1932, PPV=0.6230, Advantage=0.1260
α=29.00%, θ*=2.90, TPR=0.3192, FPR=0.1932, PPV=0.6230, Advantage=0.1260
α=30.00%, θ*=2.95, TPR=0.4132, FPR=0.2972, PPV=0.5816, Advantage=0.1159
α=31.00%, θ*=2.95, TPR=0.4132, FPR=0.2972, PPV=0.5816, Advantage=0.1159
α=32.00%, θ*=2.95, TPR=0.4132, FPR=0.2972, PPV=0.5816, Advantage=0.1159
α=33.00%, θ*=2.95, TPR=0.4132, FPR=0.2972, PPV=0.5816, Advantage=0.1159
α=34.00%, θ*=2.95, TPR=0.4132, FPR=0.2972, PPV=0.5816, Advantage=0.1159
α=35.00%, θ*=2.95, TPR=0.4132, FPR=0.2972, PPV=0.5816, Advantage=0.1159
α=36.00%, θ*=2.95, TPR=0.4132, FPR=0.2972, PPV=0.5816, Advantage=0.1159
α=37.00%, θ*=2.95, TPR=0.4132, FPR=0.2972, PPV=0.5816, Advantage=0.1159
α=38.00%, θ*=2.95, TPR=0.4132, FPR=0.2972, PPV=0.5816, Advantage=0.1159
α=39.00%, θ*=2.95, TPR=0.4132, FPR=0.2972, PPV=0.5816, Advantage=0.1159
α=40.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=41.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=42.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=43.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=44.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=45.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=46.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=47.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=48.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=49.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=50.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=51.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=52.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=53.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=54.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=55.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=56.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=57.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=58.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=59.00%, θ*=3.00, TPR=0.5143, FPR=0.3970, PPV=0.5643, Advantage=0.1172
α=60.00%, θ*=3.05, TPR=0.6151, FPR=0.5987, PPV=0.5067, Advantage=0.0164
α=61.00%, θ*=3.05, TPR=0.6151, FPR=0.5987, PPV=0.5067, Advantage=0.0164
α=62.00%, θ*=3.05, TPR=0.6151, FPR=0.5987, PPV=0.5067, Advantage=0.0164
α=63.00%, θ*=3.05, TPR=0.6151, FPR=0.5987, PPV=0.5067, Advantage=0.0164
α=64.00%, θ*=3.05, TPR=0.6151, FPR=0.5987, PPV=0.5067, Advantage=0.0164
α=65.00%, θ*=3.05, TPR=0.6151, FPR=0.5987, PPV=0.5067, Advantage=0.0164
α=66.00%, θ*=3.05, TPR=0.6151, FPR=0.5987, PPV=0.5067, Advantage=0.0164
α=67.00%, θ*=3.05, TPR=0.6151, FPR=0.5987, PPV=0.5067, Advantage=0.0164
α=68.00%, θ*=3.05, TPR=0.6151, FPR=0.5987, PPV=0.5067, Advantage=0.0164
α=69.00%, θ*=3.05, TPR=0.6151, FPR=0.5987, PPV=0.5067, Advantage=0.0164
α=70.00%, θ*=3.05, TPR=0.6151, FPR=0.5987, PPV=0.5067, Advantage=0.0164
α=71.00%, θ*=3.10, TPR=0.7130, FPR=0.7006, PPV=0.5044, Advantage=0.0123
α=72.00%, θ*=3.10, TPR=0.7130, FPR=0.7006, PPV=0.5044, Advantage=0.0123
α=73.00%, θ*=3.10, TPR=0.7130, FPR=0.7006, PPV=0.5044, Advantage=0.0123
α=74.00%, θ*=3.10, TPR=0.7130, FPR=0.7006, PPV=0.5044, Advantage=0.0123
α=75.00%, θ*=3.10, TPR=0.7130, FPR=0.7006, PPV=0.5044, Advantage=0.0123
α=76.00%, θ*=3.10, TPR=0.7130, FPR=0.7006, PPV=0.5044, Advantage=0.0123
α=77.00%, θ*=3.10, TPR=0.7130, FPR=0.7006, PPV=0.5044, Advantage=0.0123
α=78.00%, θ*=3.10, TPR=0.7130, FPR=0.7006, PPV=0.5044, Advantage=0.0123
α=79.00%, θ*=3.10, TPR=0.7130, FPR=0.7006, PPV=0.5044, Advantage=0.0123
α=80.00%, θ*=3.15, TPR=0.7971, FPR=0.7941, PPV=0.5010, Advantage=0.0030
α=81.00%, θ*=3.15, TPR=0.7971, FPR=0.7941, PPV=0.5010, Advantage=0.0030
α=82.00%, θ*=3.15, TPR=0.7971, FPR=0.7941, PPV=0.5010, Advantage=0.0030
α=83.00%, θ*=3.15, TPR=0.7971, FPR=0.7941, PPV=0.5010, Advantage=0.0030
α=84.00%, θ*=3.15, TPR=0.7971, FPR=0.7941, PPV=0.5010, Advantage=0.0030
α=85.00%, θ*=3.15, TPR=0.7971, FPR=0.7941, PPV=0.5010, Advantage=0.0030
α=86.00%, θ*=3.20, TPR=0.8561, FPR=0.8556, PPV=0.5001, Advantage=0.0005
α=87.00%, θ*=3.20, TPR=0.8561, FPR=0.8556, PPV=0.5001, Advantage=0.0005
α=88.00%, θ*=3.20, TPR=0.8561, FPR=0.8556, PPV=0.5001, Advantage=0.0005
α=89.00%, θ*=3.20, TPR=0.8561, FPR=0.8556, PPV=0.5001, Advantage=0.0005
α=90.00%, θ*=3.20, TPR=0.8561, FPR=0.8556, PPV=0.5001, Advantage=0.0005
α=91.00%, θ*=3.20, TPR=0.8561, FPR=0.8556, PPV=0.5001, Advantage=0.0005
α=92.00%, θ*=3.20, TPR=0.8561, FPR=0.8556, PPV=0.5001, Advantage=0.0005
α=93.00%, θ*=3.25, TPR=0.8940, FPR=0.9278, PPV=0.4907, Advantage=-0.0338
α=94.00%, θ*=3.25, TPR=0.8940, FPR=0.9278, PPV=0.4907, Advantage=-0.0338
α=95.00%, θ*=3.25, TPR=0.8940, FPR=0.9278, PPV=0.4907, Advantage=-0.0338
α=96.00%, θ*=3.25, TPR=0.8940, FPR=0.9278, PPV=0.4907, Advantage=-0.0338
α=97.00%, θ*=3.25, TPR=0.8940, FPR=0.9278, PPV=0.4907, Advantage=-0.0338
α=98.00%, θ*=3.30, TPR=0.9297, FPR=0.9745, PPV=0.4882, Advantage=-0.0449
α=99.00%, θ*=3.30, TPR=0.9297, FPR=0.9745, PPV=0.4882, Advantage=-0.0449
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
