tag,iters,data_size,seed,cwc,synth_mem_auc,s2h_auc,s2h_acc,r2s_auc,r2s_acc
trial_1,30000,0.9,0,743.5049210915408,0.5325954250979077,0.8957743248814676,0.8379120879120878,0.8459475033746717,0.777
trial_2,30000,0.9,0,655.1024412994495,0.493324864476801,0.8785464337250053,0.8071428571428572,0.8371566751311394,0.7708
trial_3,30000,0.9,0,724.3828007123718,0.5446536044227206,0.8941300762729334,0.8290731008122313,0.8312839875055097,0.7628
trial_4,30000,0.9,0,718.3447616582336,0.5151447981016004,0.8394119769119769,0.7347587195413283,0.8324553229100676,0.7592000000000001
trial_5,30000,0.9,0,689.0942286839899,0.5253385930520985,0.8360077819006391,0.7785953177257524,0.8166443595833129,0.7428
trial_6,30000,0.9,0,659.284445437531,0.5284746493162581,0.8780344258915687,0.8224319159101766,0.8169610136389849,0.7482
trial_7,30000,0.9,0,693.4310710795133,0.5186731300807765,0.8777911770768914,0.7851648351648353,0.8117182794920451,0.7445999999999999
trial_8,30000,0.9,0,837.2600657583782,0.5114171040809571,0.8697595856524428,0.8092689918776875,0.8276004378139523,0.754
trial_9,30000,0.9,0,701.1752827882206,0.49201369633345793,0.889532570603999,0.7983755375059722,0.8650024579480844,0.7902
trial_10,30000,0.9,0,699.9115668122519,0.5023391454622835,0.8824940733869304,0.7852603917821309,0.8495893020289256,0.7804
trial_11,30000,0.9,0,715.8458513983704,0.5148702051010889,0.810964749536178,0.6996416626851409,0.7784609759616432,0.7148
trial_12,30000,0.9,0,805.4396393326083,0.5182886461436611,0.8699994846423419,0.7939082656473961,0.8529326386922442,0.7802
trial_13,30000,0.9,0,678.4539708293852,0.4989704105890799,0.8747211915069059,0.8049689440993788,0.8513371485661863,0.7776000000000001
trial_14,30000,0.9,0,623.1870573829083,0.5018780871561408,0.8993606988249846,0.8005972288580983,0.8372386354012402,0.7656000000000001
trial_15,30000,0.9,0,741.0752739441692,0.5444144774457584,0.8405962688105546,0.7280936454849498,0.7716333086236717,0.7112
trial_16,30000,0.9,0,637.9874678811309,0.49887717793626435,0.8474765512265513,0.7873865265169613,0.8186716677339676,0.7534
trial_17,30000,0.9,0,702.2208260873914,0.5106795720003268,0.9031478045763759,0.844362159579551,0.8424230127624999,0.7632000000000001
trial_18,30000,0.9,0,681.7101409802448,0.5070211979348027,0.8666071428571429,0.7785953177257524,0.8334668500852891,0.7654
trial_19,30000,0.9,0,818.4531891705383,0.49286703035461726,0.866074778396207,0.8004777830864788,0.7765466894209719,0.715
trial_20,30000,0.9,0,725.7326063512202,0.5444813792629086,0.8671335807050093,0.776493072145246,0.8355865874363329,0.7638
trial_21,30000,0.9,0,646.3344688161727,0.5363953945756329,0.8718014326942898,0.7765169612995699,0.8141221822742356,0.75
trial_22,30000,0.9,0,664.440449726354,0.5381300055455964,0.8691014739229026,0.7786669851887243,0.8336771006273918,0.7514
trial_23,30000,0.9,0,648.161302879722,0.5313404114918514,0.8569676355390641,0.7962255136168179,0.8407831527608207,0.7734
trial_24,30000,0.9,0,811.4042472724345,0.4990166238924928,0.8425922490208204,0.7303631151457239,0.8354888295614666,0.7588
trial_25,30000,0.9,0,673.4339589855547,0.4829701290103475,0.8953352401566688,0.8356426182513139,0.8455711450397189,0.7646000000000001
trial_26,30000,0.9,0,759.0202228928711,0.5110774900372715,0.7958132343846629,0.6930721452460584,0.8275686541333334,0.7605999999999999
trial_27,30000,0.9,0,746.1289026456112,0.5342402962810112,0.8686154916512059,0.7588150979455327,0.8536381203493715,0.7784
trial_28,30000,0.9,0,775.7817728430252,0.5216936530864038,0.8610399917542775,0.7830387004300048,0.785416033085584,0.7272000000000001
trial_29,30000,0.9,0,634.2265574363364,0.5256080810946749,0.8850427746856319,0.8137362637362637,0.8242266552690556,0.7522
trial_30,30000,0.9,0,777.6923458518149,0.519080451987602,0.861626726448155,0.7435977066411849,0.8138310549991303,0.7502
