α=62.00%, θ*=2.05, TPR=0.6402, FPR=0.5648, PPV=0.5313, Advantage=0.0754
α=63.00%, θ*=2.05, TPR=0.6402, FPR=0.5648, PPV=0.5313, Advantage=0.0754
α=64.00%, θ*=2.10, TPR=0.6761, FPR=0.6348, PPV=0.5157, Advantage=0.0413
α=65.00%, θ*=2.10, TPR=0.6761, FPR=0.6348, PPV=0.5157, Advantage=0.0413
α=66.00%, θ*=2.10, TPR=0.6761, FPR=0.6348, PPV=0.5157, Advantage=0.0413
α=67.00%, θ*=2.10, TPR=0.6761, FPR=0.6348, PPV=0.5157, Advantage=0.0413
α=68.00%, θ*=2.10, TPR=0.6761, FPR=0.6348, PPV=0.5157, Advantage=0.0413
α=69.00%, θ*=2.10, TPR=0.6761, FPR=0.6348, PPV=0.5157, Advantage=0.0413
α=70.00%, θ*=2.10, TPR=0.6761, FPR=0.6348, PPV=0.5157, Advantage=0.0413
α=71.00%, θ*=2.10, TPR=0.6761, FPR=0.6348, PPV=0.5157, Advantage=0.0413
α=72.00%, θ*=2.15, TPR=0.7061, FPR=0.7155, PPV=0.4967, Advantage=-0.0094
α=73.00%, θ*=2.15, TPR=0.7061, FPR=0.7155, PPV=0.4967, Advantage=-0.0094
α=74.00%, θ*=2.15, TPR=0.7061, FPR=0.7155, PPV=0.4967, Advantage=-0.0094
α=75.00%, θ*=2.15, TPR=0.7061, FPR=0.7155, PPV=0.4967, Advantage=-0.0094
α=76.00%, θ*=2.20, TPR=0.7381, FPR=0.7516, PPV=0.4955, Advantage=-0.0135
α=77.00%, θ*=2.20, TPR=0.7381, FPR=0.7516, PPV=0.4955, Advantage=-0.0135
α=78.00%, θ*=2.20, TPR=0.7381, FPR=0.7516, PPV=0.4955, Advantage=-0.0135
α=79.00%, θ*=2.25, TPR=0.7718, FPR=0.7834, PPV=0.4962, Advantage=-0.0117
α=80.00%, θ*=2.25, TPR=0.7718, FPR=0.7834, PPV=0.4962, Advantage=-0.0117
α=81.00%, θ*=2.25, TPR=0.7718, FPR=0.7834, PPV=0.4962, Advantage=-0.0117
α=82.00%, θ*=2.30, TPR=0.7991, FPR=0.8195, PPV=0.4937, Advantage=-0.0205
α=83.00%, θ*=2.30, TPR=0.7991, FPR=0.8195, PPV=0.4937, Advantage=-0.0205
α=84.00%, θ*=2.30, TPR=0.7991, FPR=0.8195, PPV=0.4937, Advantage=-0.0205
α=85.00%, θ*=2.35, TPR=0.8210, FPR=0.8493, PPV=0.4915, Advantage=-0.0283
α=86.00%, θ*=2.35, TPR=0.8210, FPR=0.8493, PPV=0.4915, Advantage=-0.0283
α=87.00%, θ*=2.35, TPR=0.8210, FPR=0.8493, PPV=0.4915, Advantage=-0.0283
α=88.00%, θ*=2.35, TPR=0.8210, FPR=0.8493, PPV=0.4915, Advantage=-0.0283
α=89.00%, θ*=2.40, TPR=0.8549, FPR=0.8875, PPV=0.4907, Advantage=-0.0326
α=90.00%, θ*=2.40, TPR=0.8549, FPR=0.8875, PPV=0.4907, Advantage=-0.0326
α=91.00%, θ*=2.40, TPR=0.8549, FPR=0.8875, PPV=0.4907, Advantage=-0.0326
α=92.00%, θ*=2.40, TPR=0.8549, FPR=0.8875, PPV=0.4907, Advantage=-0.0326
α=93.00%, θ*=2.45, TPR=0.8788, FPR=0.9236, PPV=0.4876, Advantage=-0.0448
α=94.00%, θ*=2.50, TPR=0.8979, FPR=0.9384, PPV=0.4890, Advantage=-0.0405
α=95.00%, θ*=2.50, TPR=0.8979, FPR=0.9384, PPV=0.4890, Advantage=-0.0405
α=96.00%, θ*=2.70, TPR=0.9486, FPR=0.9533, PPV=0.4988, Advantage=-0.0047
α=97.00%, θ*=2.90, TPR=0.9879, FPR=0.9682, PPV=0.5051, Advantage=0.0198
α=98.00%, θ*=2.95, TPR=0.9892, FPR=0.9724, PPV=0.5043, Advantage=0.0168
α=99.00%, θ*=2.95, TPR=0.9892, FPR=0.9724, PPV=0.5043, Advantage=0.0168
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
