α=62.00%, θ*=2.00, TPR=0.5582, FPR=0.5833, PPV=0.4890, Advantage=-0.0251
α=63.00%, θ*=2.00, TPR=0.5582, FPR=0.5833, PPV=0.4890, Advantage=-0.0251
α=64.00%, θ*=2.00, TPR=0.5582, FPR=0.5833, PPV=0.4890, Advantage=-0.0251
α=65.00%, θ*=2.00, TPR=0.5582, FPR=0.5833, PPV=0.4890, Advantage=-0.0251
α=66.00%, θ*=2.00, TPR=0.5582, FPR=0.5833, PPV=0.4890, Advantage=-0.0251
α=67.00%, θ*=2.00, TPR=0.5582, FPR=0.5833, PPV=0.4890, Advantage=-0.0251
α=68.00%, θ*=2.05, TPR=0.6003, FPR=0.6754, PPV=0.4706, Advantage=-0.0751
α=69.00%, θ*=2.05, TPR=0.6003, FPR=0.6754, PPV=0.4706, Advantage=-0.0751
α=70.00%, θ*=2.05, TPR=0.6003, FPR=0.6754, PPV=0.4706, Advantage=-0.0751
α=71.00%, θ*=2.05, TPR=0.6003, FPR=0.6754, PPV=0.4706, Advantage=-0.0751
α=72.00%, θ*=2.10, TPR=0.6435, FPR=0.7149, PPV=0.4737, Advantage=-0.0714
α=73.00%, θ*=2.10, TPR=0.6435, FPR=0.7149, PPV=0.4737, Advantage=-0.0714
α=74.00%, θ*=2.15, TPR=0.6753, FPR=0.7303, PPV=0.4805, Advantage=-0.0549
α=75.00%, θ*=2.15, TPR=0.6753, FPR=0.7303, PPV=0.4805, Advantage=-0.0549
α=76.00%, θ*=2.20, TPR=0.7180, FPR=0.7544, PPV=0.4876, Advantage=-0.0364
α=77.00%, θ*=2.20, TPR=0.7180, FPR=0.7544, PPV=0.4876, Advantage=-0.0364
α=78.00%, θ*=2.20, TPR=0.7180, FPR=0.7544, PPV=0.4876, Advantage=-0.0364
α=79.00%, θ*=2.20, TPR=0.7180, FPR=0.7544, PPV=0.4876, Advantage=-0.0364
α=80.00%, θ*=2.20, TPR=0.7180, FPR=0.7544, PPV=0.4876, Advantage=-0.0364
α=81.00%, θ*=2.25, TPR=0.7572, FPR=0.8070, PPV=0.4841, Advantage=-0.0499
α=82.00%, θ*=2.25, TPR=0.7572, FPR=0.8070, PPV=0.4841, Advantage=-0.0499
α=83.00%, θ*=2.25, TPR=0.7572, FPR=0.8070, PPV=0.4841, Advantage=-0.0499
α=84.00%, θ*=2.30, TPR=0.7932, FPR=0.8377, PPV=0.4863, Advantage=-0.0445
α=85.00%, θ*=2.30, TPR=0.7932, FPR=0.8377, PPV=0.4863, Advantage=-0.0445
α=86.00%, θ*=2.30, TPR=0.7932, FPR=0.8377, PPV=0.4863, Advantage=-0.0445
α=87.00%, θ*=2.30, TPR=0.7932, FPR=0.8377, PPV=0.4863, Advantage=-0.0445
α=88.00%, θ*=2.30, TPR=0.7932, FPR=0.8377, PPV=0.4863, Advantage=-0.0445
α=89.00%, θ*=2.30, TPR=0.7932, FPR=0.8377, PPV=0.4863, Advantage=-0.0445
α=90.00%, θ*=2.35, TPR=0.8263, FPR=0.8991, PPV=0.4789, Advantage=-0.0729
α=91.00%, θ*=2.35, TPR=0.8263, FPR=0.8991, PPV=0.4789, Advantage=-0.0729
α=92.00%, θ*=2.40, TPR=0.8503, FPR=0.9123, PPV=0.4824, Advantage=-0.0620
α=93.00%, θ*=2.45, TPR=0.8733, FPR=0.9276, PPV=0.4849, Advantage=-0.0543
α=94.00%, θ*=2.50, TPR=0.9064, FPR=0.9320, PPV=0.4930, Advantage=-0.0256
α=95.00%, θ*=2.55, TPR=0.9304, FPR=0.9452, PPV=0.4961, Advantage=-0.0148
α=96.00%, θ*=2.55, TPR=0.9304, FPR=0.9452, PPV=0.4961, Advantage=-0.0148
α=97.00%, θ*=2.55, TPR=0.9304, FPR=0.9452, PPV=0.4961, Advantage=-0.0148
α=98.00%, θ*=2.60, TPR=0.9466, FPR=0.9715, PPV=0.4935, Advantage=-0.0249
α=99.00%, θ*=2.60, TPR=0.9466, FPR=0.9715, PPV=0.4935, Advantage=-0.0249
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
