α=1.00%, θ*=1.20, TPR=0.0071, FPR=0.0064, PPV=0.5283, Advantage=0.0008
α=2.00%, θ*=1.35, TPR=0.0221, FPR=0.0149, PPV=0.5983, Advantage=0.0073
α=3.00%, θ*=1.40, TPR=0.0307, FPR=0.0212, PPV=0.5915, Advantage=0.0095
α=4.00%, θ*=1.45, TPR=0.0445, FPR=0.0340, PPV=0.5672, Advantage=0.0105
α=5.00%, θ*=1.50, TPR=0.0566, FPR=0.0403, PPV=0.5837, Advantage=0.0162
α=6.00%, θ*=1.75, TPR=0.1697, FPR=0.0573, PPV=0.7475, Advantage=0.1124
α=7.00%, θ*=1.75, TPR=0.1697, FPR=0.0573, PPV=0.7475, Advantage=0.1124
α=8.00%, θ*=1.80, TPR=0.1955, FPR=0.0701, PPV=0.7362, Advantage=0.1255
α=9.00%, θ*=1.80, TPR=0.1955, FPR=0.0701, PPV=0.7362, Advantage=0.1255
α=10.00%, θ*=1.85, TPR=0.2282, FPR=0.0977, PPV=0.7003, Advantage=0.1306
α=11.00%, θ*=1.85, TPR=0.2282, FPR=0.0977, PPV=0.7003, Advantage=0.1306
α=12.00%, θ*=1.90, TPR=0.2700, FPR=0.1146, PPV=0.7020, Advantage=0.1554
α=13.00%, θ*=1.90, TPR=0.2700, FPR=0.1146, PPV=0.7020, Advantage=0.1554
α=14.00%, θ*=1.90, TPR=0.2700, FPR=0.1146, PPV=0.7020, Advantage=0.1554
α=15.00%, θ*=1.95, TPR=0.3207, FPR=0.1486, PPV=0.6833, Advantage=0.1721
α=16.00%, θ*=1.95, TPR=0.3207, FPR=0.1486, PPV=0.6833, Advantage=0.1721
α=17.00%, θ*=1.95, TPR=0.3207, FPR=0.1486, PPV=0.6833, Advantage=0.1721
α=18.00%, θ*=1.95, TPR=0.3207, FPR=0.1486, PPV=0.6833, Advantage=0.1721
α=19.00%, θ*=1.95, TPR=0.3207, FPR=0.1486, PPV=0.6833, Advantage=0.1721
α=20.00%, θ*=1.95, TPR=0.3207, FPR=0.1486, PPV=0.6833, Advantage=0.1721
α=21.00%, θ*=1.95, TPR=0.3207, FPR=0.1486, PPV=0.6833, Advantage=0.1721
α=22.00%, θ*=2.00, TPR=0.3667, FPR=0.2144, PPV=0.6310, Advantage=0.1523
α=23.00%, θ*=2.00, TPR=0.3667, FPR=0.2144, PPV=0.6310, Advantage=0.1523
α=24.00%, θ*=2.00, TPR=0.3667, FPR=0.2144, PPV=0.6310, Advantage=0.1523
α=25.00%, θ*=2.00, TPR=0.3667, FPR=0.2144, PPV=0.6310, Advantage=0.1523
α=26.00%, θ*=2.00, TPR=0.3667, FPR=0.2144, PPV=0.6310, Advantage=0.1523
α=27.00%, θ*=2.05, TPR=0.4097, FPR=0.2633, PPV=0.6088, Advantage=0.1465
α=28.00%, θ*=2.05, TPR=0.4097, FPR=0.2633, PPV=0.6088, Advantage=0.1465
α=29.00%, θ*=2.05, TPR=0.4097, FPR=0.2633, PPV=0.6088, Advantage=0.1465
α=30.00%, θ*=2.05, TPR=0.4097, FPR=0.2633, PPV=0.6088, Advantage=0.1465
α=31.00%, θ*=2.05, TPR=0.4097, FPR=0.2633, PPV=0.6088, Advantage=0.1465
α=32.00%, θ*=2.05, TPR=0.4097, FPR=0.2633, PPV=0.6088, Advantage=0.1465
α=33.00%, θ*=2.05, TPR=0.4097, FPR=0.2633, PPV=0.6088, Advantage=0.1465
α=34.00%, θ*=2.10, TPR=0.4454, FPR=0.3397, PPV=0.5673, Advantage=0.1057
α=35.00%, θ*=2.10, TPR=0.4454, FPR=0.3397, PPV=0.5673, Advantage=0.1057
α=36.00%, θ*=2.10, TPR=0.4454, FPR=0.3397, PPV=0.5673, Advantage=0.1057
α=37.00%, θ*=2.10, TPR=0.4454, FPR=0.3397, PPV=0.5673, Advantage=0.1057
α=38.00%, θ*=2.10, TPR=0.4454, FPR=0.3397, PPV=0.5673, Advantage=0.1057
α=39.00%, θ*=2.10, TPR=0.4454, FPR=0.3397, PPV=0.5673, Advantage=0.1057
α=40.00%, θ*=2.10, TPR=0.4454, FPR=0.3397, PPV=0.5673, Advantage=0.1057
α=41.00%, θ*=2.15, TPR=0.4828, FPR=0.4013, PPV=0.5461, Advantage=0.0815
α=42.00%, θ*=2.15, TPR=0.4828, FPR=0.4013, PPV=0.5461, Advantage=0.0815
α=43.00%, θ*=2.15, TPR=0.4828, FPR=0.4013, PPV=0.5461, Advantage=0.0815
α=44.00%, θ*=2.20, TPR=0.5381, FPR=0.4331, PPV=0.5541, Advantage=0.1050
α=45.00%, θ*=2.20, TPR=0.5381, FPR=0.4331, PPV=0.5541, Advantage=0.1050
α=46.00%, θ*=2.20, TPR=0.5381, FPR=0.4331, PPV=0.5541, Advantage=0.1050
α=47.00%, θ*=2.20, TPR=0.5381, FPR=0.4331, PPV=0.5541, Advantage=0.1050
α=48.00%, θ*=2.20, TPR=0.5381, FPR=0.4331, PPV=0.5541, Advantage=0.1050
α=49.00%, θ*=2.20, TPR=0.5381, FPR=0.4331, PPV=0.5541, Advantage=0.1050
α=50.00%, θ*=2.20, TPR=0.5381, FPR=0.4331, PPV=0.5541, Advantage=0.1050
α=51.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=52.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=53.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=54.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=55.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=56.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=57.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=58.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=59.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=60.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=61.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=62.00%, θ*=2.25, TPR=0.5841, FPR=0.5011, PPV=0.5383, Advantage=0.0831
α=63.00%, θ*=2.30, TPR=0.6274, FPR=0.6221, PPV=0.5021, Advantage=0.0053
α=64.00%, θ*=2.30, TPR=0.6274, FPR=0.6221, PPV=0.5021, Advantage=0.0053
α=65.00%, θ*=2.30, TPR=0.6274, FPR=0.6221, PPV=0.5021, Advantage=0.0053
α=66.00%, θ*=2.30, TPR=0.6274, FPR=0.6221, PPV=0.5021, Advantage=0.0053
α=67.00%, θ*=2.35, TPR=0.6707, FPR=0.6667, PPV=0.5015, Advantage=0.0040
α=68.00%, θ*=2.35, TPR=0.6707, FPR=0.6667, PPV=0.5015, Advantage=0.0040
α=69.00%, θ*=2.35, TPR=0.6707, FPR=0.6667, PPV=0.5015, Advantage=0.0040
α=70.00%, θ*=2.35, TPR=0.6707, FPR=0.6667, PPV=0.5015, Advantage=0.0040
α=71.00%, θ*=2.35, TPR=0.6707, FPR=0.6667, PPV=0.5015, Advantage=0.0040
α=72.00%, θ*=2.35, TPR=0.6707, FPR=0.6667, PPV=0.5015, Advantage=0.0040
α=73.00%, θ*=2.40, TPR=0.7098, FPR=0.7240, PPV=0.4950, Advantage=-0.0142
α=74.00%, θ*=2.40, TPR=0.7098, FPR=0.7240, PPV=0.4950, Advantage=-0.0142
α=75.00%, θ*=2.40, TPR=0.7098, FPR=0.7240, PPV=0.4950, Advantage=-0.0142
α=76.00%, θ*=2.40, TPR=0.7098, FPR=0.7240, PPV=0.4950, Advantage=-0.0142
α=77.00%, θ*=2.40, TPR=0.7098, FPR=0.7240, PPV=0.4950, Advantage=-0.0142
α=78.00%, θ*=2.40, TPR=0.7098, FPR=0.7240, PPV=0.4950, Advantage=-0.0142
α=79.00%, θ*=2.40, TPR=0.7098, FPR=0.7240, PPV=0.4950, Advantage=-0.0142
α=80.00%, θ*=2.40, TPR=0.7098, FPR=0.7240, PPV=0.4950, Advantage=-0.0142
α=81.00%, θ*=2.45, TPR=0.7450, FPR=0.8047, PPV=0.4807, Advantage=-0.0597
α=82.00%, θ*=2.45, TPR=0.7450, FPR=0.8047, PPV=0.4807, Advantage=-0.0597
α=83.00%, θ*=2.45, TPR=0.7450, FPR=0.8047, PPV=0.4807, Advantage=-0.0597
