tag,seed,cwc,r2r_auc,r2r_acc,s2h_auc,s2h_acc,s2r_auc,s2r_acc,r2s_auc,r2s_acc,real_mem_auc,real_mem_auc_bal,synth_mem_auc,synth_mem_auc_bal,elapsed_time
trial17_seed0,0,1014.8178311730665,0.8734515411356998,0.8136716856729374,0.8131502525252525,0.7479216435738175,0.7310731088961179,0.7018358188526103,0.6128709690443881,0.5922591619267046,1.0,0.8728070175438597,0.4682890760348556,0.44638254078177897,28.052107508977254
trial17_seed1,1,965.9338455469252,0.8714615022660344,0.8038536220980095,0.7407931524991416,0.7068980963045913,0.6173808317926686,0.6256195910107522,0.5350274861887039,0.5299983982640809,1.0,0.9002123142250531,0.47027157004959574,0.4732285736180417,25.157723291714987
trial17_seed2,2,987.0404858599247,0.8765925089588122,0.8050751528958248,0.7043377439433058,0.708421052631579,0.6577059524550866,0.6484252869157201,0.5665933608720187,0.5356812632165731,1.0,0.9069767441860463,0.5573006837742005,0.550914275753255,25.14378300110499
trial17_seed3,3,975.4769960455868,0.8654651173253688,0.8072943242211711,0.29180807956242655,0.6137931034482759,0.4314269422735122,0.6230440164177569,0.5076414079759287,0.5012168384777637,1.0,0.8919540229885059,0.4940046066678996,0.5034324217201744,26.547433483600617
trial17_seed4,4,995.9278195639681,0.8627252124199274,0.7981288807517424,0.7057377566901123,0.6711598746081504,0.692892943661248,0.6677217579018252,0.565760610150316,0.5737916554989726,1.0,0.9041095890410958,0.53007415774646,0.5357712516419592,25.052944310506184
trial17_seed5,5,1015.0470233737808,0.8664849072599177,0.8040733142331888,0.5488529199055516,0.517439082656474,0.6483160165357907,0.5988952186814703,0.5167618771608519,0.5020922049801516,1.0,0.9082969432314411,0.5474934990273967,0.5626013043229534,26.78287060658137
trial17_seed6,6,1015.6408900541599,0.8648276468656799,0.7991112337655778,0.6643748898290147,0.6625895843287147,0.6516343089809545,0.6267960847216564,0.5271127579208768,0.5205945507037171,1.0,0.8845315904139434,0.48956727260682487,0.5126257232498421,25.153712983926138
trial17_seed7,7,996.0088056894607,0.8756561111940215,0.8059880649986251,0.7144680235730656,0.6918681318681318,0.6972937646349825,0.6750371566928866,0.5387290880576742,0.49216706119651776,1.0,0.902439024390244,0.5832332131891602,0.5823398115053515,26.01570454835892
