tag,real_mem_auc_bal,synth_mem_auc_bal,real_mem_auc,synth_mem_auc,iters,data_size,seed,cwc,ad2d,continuous_w_d,latent_cluster_analysis,mca_dist,mca_tvd_dist,combined_clinical_violations,r2r_auc,r2r_prauc,r2r_acc,s2h_auc,s2h_prauc,s2h_acc,r2s_auc,r2s_prauc,r2s_acc,elapsed_time
rl_mimic_seed3,0.997,0.5003,0.9977777777777778,0.5045706666666666,30000,0.7,3,8.911775513634392,2.1531660066065315,"{'AGE': [np.float64(1.2686040515506394)], 'BMI': [np.float64(0.6663343787290207)], 'DIASTOLIC': [np.float64(0.7661890879586484)], 'SYSTOLIC': [np.float64(0.8284829745282376)]}",[-2.9999443258185727],[np.float64(0.4170106115764664)],0.0311201937156746,[0.10486969],0.9168921923665994,0.6260987608123031,0.9086751254057244,0.9014637233857168,0.5732127167373202,0.8970382118619061,0.900733932224368,0.6157058666895754,0.8964,143.75812882184982
rl_mimic_seed2,0.9967,0.4957,0.9978888888888888,0.4934803121693122,30000,0.7,2,9.28445862580594,2.7172153904731102,"{'AGE': [np.float64(1.0550927193103012)], 'BMI': [np.float64(0.5717599405691507)], 'DIASTOLIC': [np.float64(1.1390392112564434)], 'SYSTOLIC': [np.float64(0.8419360087579545)]}",[-2.955478799967892],[np.float64(0.4170106115764664)],0.0275287755561211,[0.10276928],0.9189193363319638,0.6325328533292675,0.9109434936559456,0.9025495592447832,0.5785072327311234,0.8996385364414281,0.9260824393656716,0.6301262738829485,0.9124,144.47873001893362
rl_mimic_seed1,0.9975,0.4969,0.9971111111111112,0.5019818597883597,30000,0.7,1,9.092876886039596,2.181310896698934,"{'AGE': [np.float64(0.956338187887337)], 'BMI': [np.float64(0.617108633206646)], 'DIASTOLIC': [np.float64(0.705854630462683)], 'SYSTOLIC': [np.float64(1.050023810383161)]}",[-2.9685753623806135],[np.float64(0.4170106115764664)],0.0260085980694824,[0.1151638],0.9186231306146804,0.627612694820014,0.9096894364119208,0.9046164317912304,0.5807215518420048,0.8973148421363234,0.9057075398372748,0.6040474149015603,0.8924,144.40042718251547
rl_mimic_seed0,0.9969,0.5022,0.9977777777777778,0.4990896058201058,30000,0.7,0,9.17674348660308,2.2701726070159824,"{'AGE': [np.float64(0.9526175041308531)], 'BMI': [np.float64(0.39118247674564377)], 'DIASTOLIC': [np.float64(0.6503104897015287)], 'SYSTOLIC': [np.float64(1.157751078019947)]}",[-2.9678967403344245],[np.float64(0.4170106115764664)],0.0306132377295578,[0.14906049],0.9190552922910168,0.6251246211293384,0.9086013573325464,0.8986562509810181,0.5655012317451825,0.8917084685748008,0.9065822009785716,0.6099128759380835,0.8940666666666667,143.09779543876647
rl_mimic_seed4,0.9973,0.4995,0.9978888888888888,0.5004294232804233,30000,0.7,4,9.057243786818104,1.9556774988568657,"{'AGE': [np.float64(1.3711527500744045)], 'BMI': [np.float64(0.6293215687387707)], 'DIASTOLIC': [np.float64(0.9944513895134884)], 'SYSTOLIC': [np.float64(1.1117649102967122)]}",[-2.935327186479734],[np.float64(0.4170106115764664)],0.0263188500252656,[0.11889337],0.9179696561984548,0.624436449135952,0.907015343759221,0.903773414100124,0.5728657404413482,0.8932207140749484,0.9053549074370676,0.6234205866175486,0.8941666666666667,143.63700975974402
rl_mimic_seed5,0.997,0.4994,0.9977777777777778,0.4976530396825397,30000,0.7,5,8.504253967713236,2.035702049394268,"{'AGE': [np.float64(1.0744297489462)], 'BMI': [np.float64(0.44996859384211724)], 'DIASTOLIC': [np.float64(0.7375167961187171)], 'SYSTOLIC': [np.float64(1.4366779808592889)]}",[-2.9694982266483896],[np.float64(0.4170106115764664)],0.0257221404623062,[0.10071313],0.9186345218037424,0.6339129034047292,0.9094865742106816,0.9010902305309034,0.5738080822580954,0.8954890823251697,0.9091748716509116,0.5864906905150309,0.9047,144.599479842186
rl_mimic_seed6,0.9964,0.5004,0.9967777777777778,0.4950780767195767,30000,0.7,6,8.89367175327011,1.7700587011043356,"{'AGE': [np.float64(0.9574789906142558)], 'BMI': [np.float64(0.4776759639561678)], 'DIASTOLIC': [np.float64(0.8131984016505013)], 'SYSTOLIC': [np.float64(0.889584886872583)]}",[-2.9719849728834116],[np.float64(0.4170106115764664)],0.0361728097256186,[0.06971031],0.9208808234805386,0.6297768645282662,0.9081587488934788,0.9006043925385324,0.5668981427128851,0.891062997934494,0.9095540840160116,0.5403523033842278,0.9083,144.97958809932072
rl_mimic_seed8,0.9963,0.5011,0.9986666666666668,0.4991487169312169,30000,0.7,8,8.526287916753772,1.4731884146914305,"{'AGE': [np.float64(0.8771922323696026)], 'BMI': [np.float64(0.5178247602147343)], 'DIASTOLIC': [np.float64(0.7536918345453403)], 'SYSTOLIC': [np.float64(1.2061761162891846)]}",[-2.981834685658903],[np.float64(0.4170106115764664)],0.0323550511030211,[0.10526353],0.9178333863115246,0.6222547572511141,0.9090624077899084,0.901978319516226,0.5686920371191585,0.895728828562998,0.9161750614449622,0.653842628878225,0.8985666666666666,143.75939204295477
rl_mimic_seed9,0.9972,0.5003,0.9983333333333332,0.4967207804232804,30000,0.7,9,8.590308039219211,2.824857285195948,"{'AGE': [np.float64(0.9863756528011531)], 'BMI': [np.float64(0.5459411670525895)], 'DIASTOLIC': [np.float64(1.0850312259836303)], 'SYSTOLIC': [np.float64(1.1621964334577237)]}",[-2.957409573476202],[np.float64(0.4170106115764664)],0.024805444841564,[0.15427491],0.9184595834861842,0.6218965174089517,0.9077530244910004,0.9020753420054632,0.5680720357011336,0.8962267630569489,0.9069153379982442,0.6187874932270429,0.8990333333333334,144.01916212638218
rl_mimic_seed7,0.9973,0.4996,0.9974444444444444,0.5015168544973545,30000,0.7,7,8.736909733932016,1.977947398226485,"{'AGE': [np.float64(0.7369373644329473)], 'BMI': [np.float64(0.6367001649649302)], 'DIASTOLIC': [np.float64(0.8599468244480664)], 'SYSTOLIC': [np.float64(0.9189881259403807)]}",[-2.9692073474626635],[np.float64(0.4170106115764664)],0.0270969518919736,[0.13027035],0.9173747092240334,0.6273900928006592,0.9075686043080556,0.8997822417358861,0.5600897278500143,0.8941428149896725,0.9010645003860732,0.6227900602111018,0.8876333333333334,142.99358184337615
