α=61.00%, θ*=1.95, TPR=0.5327, FPR=0.5747, PPV=0.4810, Advantage=-0.0420
α=62.00%, θ*=2.00, TPR=0.5707, FPR=0.6115, PPV=0.4827, Advantage=-0.0408
α=63.00%, θ*=2.00, TPR=0.5707, FPR=0.6115, PPV=0.4827, Advantage=-0.0408
α=64.00%, θ*=2.00, TPR=0.5707, FPR=0.6115, PPV=0.4827, Advantage=-0.0408
α=65.00%, θ*=2.05, TPR=0.6114, FPR=0.6460, PPV=0.4863, Advantage=-0.0346
α=66.00%, θ*=2.05, TPR=0.6114, FPR=0.6460, PPV=0.4863, Advantage=-0.0346
α=67.00%, θ*=2.05, TPR=0.6114, FPR=0.6460, PPV=0.4863, Advantage=-0.0346
α=68.00%, θ*=2.10, TPR=0.6604, FPR=0.6713, PPV=0.4959, Advantage=-0.0109
α=69.00%, θ*=2.10, TPR=0.6604, FPR=0.6713, PPV=0.4959, Advantage=-0.0109
α=70.00%, θ*=2.10, TPR=0.6604, FPR=0.6713, PPV=0.4959, Advantage=-0.0109
α=71.00%, θ*=2.10, TPR=0.6604, FPR=0.6713, PPV=0.4959, Advantage=-0.0109
α=72.00%, θ*=2.15, TPR=0.6970, FPR=0.7126, PPV=0.4944, Advantage=-0.0157
α=73.00%, θ*=2.20, TPR=0.7311, FPR=0.7241, PPV=0.5024, Advantage=0.0070
α=74.00%, θ*=2.25, TPR=0.7686, FPR=0.7379, PPV=0.5102, Advantage=0.0307
α=75.00%, θ*=2.25, TPR=0.7686, FPR=0.7379, PPV=0.5102, Advantage=0.0307
α=76.00%, θ*=2.25, TPR=0.7686, FPR=0.7379, PPV=0.5102, Advantage=0.0307
α=77.00%, θ*=2.25, TPR=0.7686, FPR=0.7379, PPV=0.5102, Advantage=0.0307
α=78.00%, θ*=2.30, TPR=0.7989, FPR=0.7724, PPV=0.5084, Advantage=0.0265
α=79.00%, θ*=2.30, TPR=0.7989, FPR=0.7724, PPV=0.5084, Advantage=0.0265
α=80.00%, θ*=2.30, TPR=0.7989, FPR=0.7724, PPV=0.5084, Advantage=0.0265
α=81.00%, θ*=2.35, TPR=0.8237, FPR=0.8046, PPV=0.5059, Advantage=0.0191
α=82.00%, θ*=2.35, TPR=0.8237, FPR=0.8046, PPV=0.5059, Advantage=0.0191
α=83.00%, θ*=2.40, TPR=0.8464, FPR=0.8276, PPV=0.5056, Advantage=0.0188
α=84.00%, θ*=2.40, TPR=0.8464, FPR=0.8276, PPV=0.5056, Advantage=0.0188
α=85.00%, θ*=2.45, TPR=0.8718, FPR=0.8460, PPV=0.5075, Advantage=0.0258
α=86.00%, θ*=2.50, TPR=0.8918, FPR=0.8529, PPV=0.5111, Advantage=0.0389
α=87.00%, θ*=2.50, TPR=0.8918, FPR=0.8529, PPV=0.5111, Advantage=0.0389
α=88.00%, θ*=2.50, TPR=0.8918, FPR=0.8529, PPV=0.5111, Advantage=0.0389
α=89.00%, θ*=2.50, TPR=0.8918, FPR=0.8529, PPV=0.5111, Advantage=0.0389
α=90.00%, θ*=2.55, TPR=0.9118, FPR=0.8920, PPV=0.5055, Advantage=0.0198
α=91.00%, θ*=2.55, TPR=0.9118, FPR=0.8920, PPV=0.5055, Advantage=0.0198
α=92.00%, θ*=2.60, TPR=0.9274, FPR=0.9103, PPV=0.5046, Advantage=0.0170
α=93.00%, θ*=2.65, TPR=0.9391, FPR=0.9264, PPV=0.5034, Advantage=0.0126
α=94.00%, θ*=2.70, TPR=0.9493, FPR=0.9356, PPV=0.5036, Advantage=0.0137
α=95.00%, θ*=2.75, TPR=0.9593, FPR=0.9471, PPV=0.5032, Advantage=0.0122
α=96.00%, θ*=2.80, TPR=0.9705, FPR=0.9540, PPV=0.5043, Advantage=0.0165
α=97.00%, θ*=2.85, TPR=0.9742, FPR=0.9655, PPV=0.5022, Advantage=0.0086
α=98.00%, θ*=2.90, TPR=0.9820, FPR=0.9793, PPV=0.5007, Advantage=0.0026
α=99.00%, θ*=2.90, TPR=0.9820, FPR=0.9793, PPV=0.5007, Advantage=0.0026
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
