Logging
iteration 3400 | D LOSS = 1.3608 | G LOSS = -0.1387 | AVG R =0.4868 |  
iteration 3450 | D LOSS = 1.3610 | G LOSS = -0.7917 | AVG R =0.4874 |  
iteration 3500 | D LOSS = 1.3610 | G LOSS = 1.0201 | AVG R =0.4870 |  
iteration 3550 | D LOSS = 1.3610 | G LOSS = -2.4612 | AVG R =0.4878 |  
iteration 3600 | D LOSS = 1.3600 | G LOSS = -0.5978 | AVG R =0.4878 |  
iteration 3650 | D LOSS = 1.3629 | G LOSS = -1.7830 | AVG R =0.4882 |  
iteration 3700 | D LOSS = 1.3618 | G LOSS = 0.6556 | AVG R =0.4877 |  
iteration 3750 | D LOSS = 1.3606 | G LOSS = -1.9221 | AVG R =0.4881 |  
iteration 3800 | D LOSS = 1.3627 | G LOSS = 0.1689 | AVG R =0.4882 |  
iteration 3850 | D LOSS = 1.3622 | G LOSS = -0.7248 | AVG R =0.4882 |  
iteration 3900 | D LOSS = 1.3626 | G LOSS = -1.7653 | AVG R =0.4879 |  
iteration 3950 | D LOSS = 1.3618 | G LOSS = -0.7536 | AVG R =0.4879 |  
iteration 4000 | D LOSS = 1.3628 | G LOSS = -1.9612 | AVG R =0.4886 |  
iteration 4050 | D LOSS = 1.3626 | G LOSS = -3.0850 | AVG R =0.4886 |  
iteration 4100 | D LOSS = 1.3630 | G LOSS = 0.9733 | AVG R =0.4888 |  
iteration 4150 | D LOSS = 1.3623 | G LOSS = -4.6875 | AVG R =0.4885 |  
iteration 4200 | D LOSS = 1.3634 | G LOSS = -0.8913 | AVG R =0.4885 |  
iteration 4250 | D LOSS = 1.3636 | G LOSS = 1.4927 | AVG R =0.4885 |  
iteration 4300 | D LOSS = 1.3633 | G LOSS = -0.3442 | AVG R =0.4885 |  
iteration 4350 | D LOSS = 1.3613 | G LOSS = -0.0003 | AVG R =0.4887 |  
iteration 4400 | D LOSS = 1.3642 | G LOSS = -0.9620 | AVG R =0.4894 |  
iteration 4450 | D LOSS = 1.3643 | G LOSS = -5.6016 | AVG R =0.4884 |  
