Logging
ITERATION 114.0000 | TOTAL G LOSS -8.2739
ITERATION 115.0000 | TOTAL G LOSS -8.3198
ITERATION 116.0000 | TOTAL G LOSS -9.8854
ITERATION 117.0000 | TOTAL G LOSS -8.7155
ITERATION 118.0000 | TOTAL G LOSS -8.2449
ITERATION 119.0000 | TOTAL G LOSS -9.1613
ITERATION 120.0000 | TOTAL G LOSS -9.6730
ITERATION 121.0000 | TOTAL G LOSS -9.2563
ITERATION 122.0000 | TOTAL G LOSS -9.5853
ITERATION 123.0000 | TOTAL G LOSS -7.5386
ITERATION 124.0000 | TOTAL G LOSS -7.1134
ITERATION 125.0000 | TOTAL G LOSS -9.0748
ITERATION 126.0000 | TOTAL G LOSS -9.2856
ITERATION 127.0000 | TOTAL G LOSS -8.9620
ITERATION 128.0000 | TOTAL G LOSS -6.6616
ITERATION 129.0000 | TOTAL G LOSS -8.0679
ITERATION 130.0000 | TOTAL G LOSS -6.7516
ITERATION 131.0000 | TOTAL G LOSS -7.9308
ITERATION 132.0000 | TOTAL G LOSS -5.4100
ITERATION 133.0000 | TOTAL G LOSS -5.2436
ITERATION 134.0000 | TOTAL G LOSS -4.8278
ITERATION 135.0000 | TOTAL G LOSS -2.9760
ITERATION 136.0000 | TOTAL G LOSS -4.4038
ITERATION 137.0000 | TOTAL G LOSS -2.8765
ITERATION 138.0000 | TOTAL G LOSS -0.7475
ITERATION 139.0000 | TOTAL G LOSS -1.8632
ITERATION 140.0000 | TOTAL G LOSS -1.3646
ITERATION 141.0000 | TOTAL G LOSS -1.3149
ITERATION 142.0000 | TOTAL G LOSS 0.7044
ITERATION 143.0000 | TOTAL G LOSS 0.4127
ITERATION 144.0000 | TOTAL G LOSS -2.7106
ITERATION 145.0000 | TOTAL G LOSS 3.3416
ITERATION 146.0000 | TOTAL G LOSS 1.9002
ITERATION 147.0000 | TOTAL G LOSS 0.1971
ITERATION 148.0000 | TOTAL G LOSS 1.4734
ITERATION 149.0000 | TOTAL G LOSS 2.8539
ITERATION 150.0000 | TOTAL G LOSS -0.8924
