α=1.00%, θ*=1.00, TPR=0.0259, FPR=0.0046, PPV=0.8499, Advantage=0.0213
α=2.00%, θ*=1.05, TPR=0.0359, FPR=0.0137, PPV=0.7236, Advantage=0.0222
α=3.00%, θ*=1.05, TPR=0.0359, FPR=0.0137, PPV=0.7236, Advantage=0.0222
α=4.00%, θ*=1.10, TPR=0.0512, FPR=0.0388, PPV=0.5690, Advantage=0.0124
α=5.00%, θ*=1.15, TPR=0.0656, FPR=0.0479, PPV=0.5778, Advantage=0.0177
α=6.00%, θ*=1.15, TPR=0.0656, FPR=0.0479, PPV=0.5778, Advantage=0.0177
α=7.00%, θ*=1.25, TPR=0.0951, FPR=0.0685, PPV=0.5814, Advantage=0.0267
α=8.00%, θ*=1.30, TPR=0.1137, FPR=0.0708, PPV=0.6163, Advantage=0.0429
α=9.00%, θ*=1.30, TPR=0.1137, FPR=0.0708, PPV=0.6163, Advantage=0.0429
α=10.00%, θ*=1.35, TPR=0.1371, FPR=0.0959, PPV=0.5884, Advantage=0.0412
α=11.00%, θ*=1.35, TPR=0.1371, FPR=0.0959, PPV=0.5884, Advantage=0.0412
α=12.00%, θ*=1.35, TPR=0.1371, FPR=0.0959, PPV=0.5884, Advantage=0.0412
α=13.00%, θ*=1.35, TPR=0.1371, FPR=0.0959, PPV=0.5884, Advantage=0.0412
α=14.00%, θ*=1.40, TPR=0.1696, FPR=0.1370, PPV=0.5531, Advantage=0.0326
α=15.00%, θ*=1.40, TPR=0.1696, FPR=0.1370, PPV=0.5531, Advantage=0.0326
α=16.00%, θ*=1.40, TPR=0.1696, FPR=0.1370, PPV=0.5531, Advantage=0.0326
α=17.00%, θ*=1.40, TPR=0.1696, FPR=0.1370, PPV=0.5531, Advantage=0.0326
α=18.00%, θ*=1.40, TPR=0.1696, FPR=0.1370, PPV=0.5531, Advantage=0.0326
α=19.00%, θ*=1.40, TPR=0.1696, FPR=0.1370, PPV=0.5531, Advantage=0.0326
α=20.00%, θ*=1.40, TPR=0.1696, FPR=0.1370, PPV=0.5531, Advantage=0.0326
α=21.00%, θ*=1.45, TPR=0.2035, FPR=0.2009, PPV=0.5032, Advantage=0.0026
α=22.00%, θ*=1.45, TPR=0.2035, FPR=0.2009, PPV=0.5032, Advantage=0.0026
α=23.00%, θ*=1.45, TPR=0.2035, FPR=0.2009, PPV=0.5032, Advantage=0.0026
α=24.00%, θ*=1.50, TPR=0.2315, FPR=0.2374, PPV=0.4937, Advantage=-0.0059
α=25.00%, θ*=1.50, TPR=0.2315, FPR=0.2374, PPV=0.4937, Advantage=-0.0059
α=26.00%, θ*=1.50, TPR=0.2315, FPR=0.2374, PPV=0.4937, Advantage=-0.0059
α=27.00%, θ*=1.55, TPR=0.2662, FPR=0.2671, PPV=0.4991, Advantage=-0.0010
α=28.00%, θ*=1.55, TPR=0.2662, FPR=0.2671, PPV=0.4991, Advantage=-0.0010
α=29.00%, θ*=1.55, TPR=0.2662, FPR=0.2671, PPV=0.4991, Advantage=-0.0010
α=30.00%, θ*=1.60, TPR=0.2979, FPR=0.2968, PPV=0.5009, Advantage=0.0011
α=31.00%, θ*=1.60, TPR=0.2979, FPR=0.2968, PPV=0.5009, Advantage=0.0011
α=32.00%, θ*=1.60, TPR=0.2979, FPR=0.2968, PPV=0.5009, Advantage=0.0011
α=33.00%, θ*=1.65, TPR=0.3279, FPR=0.3265, PPV=0.5011, Advantage=0.0014
α=34.00%, θ*=1.65, TPR=0.3279, FPR=0.3265, PPV=0.5011, Advantage=0.0014
α=35.00%, θ*=1.70, TPR=0.3630, FPR=0.3493, PPV=0.5096, Advantage=0.0137
α=36.00%, θ*=1.70, TPR=0.3630, FPR=0.3493, PPV=0.5096, Advantage=0.0137
α=37.00%, θ*=1.70, TPR=0.3630, FPR=0.3493, PPV=0.5096, Advantage=0.0137
α=38.00%, θ*=1.70, TPR=0.3630, FPR=0.3493, PPV=0.5096, Advantage=0.0137
α=39.00%, θ*=1.75, TPR=0.4103, FPR=0.3813, PPV=0.5184, Advantage=0.0291
α=40.00%, θ*=1.75, TPR=0.4103, FPR=0.3813, PPV=0.5184, Advantage=0.0291
α=41.00%, θ*=1.75, TPR=0.4103, FPR=0.3813, PPV=0.5184, Advantage=0.0291
α=42.00%, θ*=1.80, TPR=0.4584, FPR=0.4110, PPV=0.5273, Advantage=0.0474
α=43.00%, θ*=1.80, TPR=0.4584, FPR=0.4110, PPV=0.5273, Advantage=0.0474
α=44.00%, θ*=1.80, TPR=0.4584, FPR=0.4110, PPV=0.5273, Advantage=0.0474
α=45.00%, θ*=1.80, TPR=0.4584, FPR=0.4110, PPV=0.5273, Advantage=0.0474
α=46.00%, θ*=1.80, TPR=0.4584, FPR=0.4110, PPV=0.5273, Advantage=0.0474
α=47.00%, θ*=1.80, TPR=0.4584, FPR=0.4110, PPV=0.5273, Advantage=0.0474
α=48.00%, θ*=1.85, TPR=0.5052, FPR=0.4703, PPV=0.5179, Advantage=0.0349
α=49.00%, θ*=1.85, TPR=0.5052, FPR=0.4703, PPV=0.5179, Advantage=0.0349
α=50.00%, θ*=1.90, TPR=0.5416, FPR=0.4954, PPV=0.5223, Advantage=0.0462
α=51.00%, θ*=1.90, TPR=0.5416, FPR=0.4954, PPV=0.5223, Advantage=0.0462
α=52.00%, θ*=1.90, TPR=0.5416, FPR=0.4954, PPV=0.5223, Advantage=0.0462
α=53.00%, θ*=1.90, TPR=0.5416, FPR=0.4954, PPV=0.5223, Advantage=0.0462
α=54.00%, θ*=1.90, TPR=0.5416, FPR=0.4954, PPV=0.5223, Advantage=0.0462
α=55.00%, θ*=1.90, TPR=0.5416, FPR=0.4954, PPV=0.5223, Advantage=0.0462
α=56.00%, θ*=1.95, TPR=0.5733, FPR=0.5571, PPV=0.5072, Advantage=0.0162
α=57.00%, θ*=1.95, TPR=0.5733, FPR=0.5571, PPV=0.5072, Advantage=0.0162
α=58.00%, θ*=1.95, TPR=0.5733, FPR=0.5571, PPV=0.5072, Advantage=0.0162
α=59.00%, θ*=1.95, TPR=0.5733, FPR=0.5571, PPV=0.5072, Advantage=0.0162
α=60.00%, θ*=2.00, TPR=0.6050, FPR=0.5982, PPV=0.5028, Advantage=0.0069
α=61.00%, θ*=2.00, TPR=0.6050, FPR=0.5982, PPV=0.5028, Advantage=0.0069
α=62.00%, θ*=2.00, TPR=0.6050, FPR=0.5982, PPV=0.5028, Advantage=0.0069
α=63.00%, θ*=2.00, TPR=0.6050, FPR=0.5982, PPV=0.5028, Advantage=0.0069
α=64.00%, θ*=2.00, TPR=0.6050, FPR=0.5982, PPV=0.5028, Advantage=0.0069
α=65.00%, θ*=2.00, TPR=0.6050, FPR=0.5982, PPV=0.5028, Advantage=0.0069
α=66.00%, θ*=2.05, TPR=0.6382, FPR=0.6530, PPV=0.4943, Advantage=-0.0148
α=67.00%, θ*=2.05, TPR=0.6382, FPR=0.6530, PPV=0.4943, Advantage=-0.0148
α=68.00%, θ*=2.10, TPR=0.6777, FPR=0.6781, PPV=0.4999, Advantage=-0.0004
α=69.00%, θ*=2.10, TPR=0.6777, FPR=0.6781, PPV=0.4999, Advantage=-0.0004
α=70.00%, θ*=2.15, TPR=0.7111, FPR=0.6941, PPV=0.5061, Advantage=0.0171
α=71.00%, θ*=2.15, TPR=0.7111, FPR=0.6941, PPV=0.5061, Advantage=0.0171
α=72.00%, θ*=2.15, TPR=0.7111, FPR=0.6941, PPV=0.5061, Advantage=0.0171
