Logging
iteration 2650 | D LOSS = 1.3663 | G LOSS = -0.0025 | AVG R =0.4896 | mean_pen: 0.0009 |  
iteration 2700 | D LOSS = 1.3652 | G LOSS = 0.0051 | AVG R =0.4896 | mean_pen: 0.0010 |  
iteration 2750 | D LOSS = 1.3650 | G LOSS = -0.0210 | AVG R =0.4905 | mean_pen: 0.0010 |  
iteration 2800 | D LOSS = 1.3660 | G LOSS = -0.0156 | AVG R =0.4898 | mean_pen: 0.0009 |  
iteration 2850 | D LOSS = 1.3668 | G LOSS = -0.0070 | AVG R =0.4900 | mean_pen: 0.0010 |  
iteration 2900 | D LOSS = 1.3665 | G LOSS = 0.0446 | AVG R =0.4902 | mean_pen: 0.0008 |  
iteration 2950 | D LOSS = 1.3666 | G LOSS = 0.0338 | AVG R =0.4890 | mean_pen: 0.0008 |  
iteration 3000 | D LOSS = 1.3661 | G LOSS = 0.0590 | AVG R =0.4896 | mean_pen: 0.0009 |  
iteration 3050 | D LOSS = 1.3662 | G LOSS = 0.0655 | AVG R =0.4907 | mean_pen: 0.0007 |  
iteration 3100 | D LOSS = 1.3662 | G LOSS = 0.0285 | AVG R =0.4899 | mean_pen: 0.0006 |  
iteration 3150 | D LOSS = 1.3666 | G LOSS = 0.0667 | AVG R =0.4904 | mean_pen: 0.0009 |  
iteration 3200 | D LOSS = 1.3668 | G LOSS = 0.0609 | AVG R =0.4903 | mean_pen: 0.0007 |  
iteration 3250 | D LOSS = 1.3667 | G LOSS = 0.0756 | AVG R =0.4909 | mean_pen: 0.0008 |  
iteration 3300 | D LOSS = 1.3676 | G LOSS = 0.0235 | AVG R =0.4903 | mean_pen: 0.0007 |  
iteration 3350 | D LOSS = 1.3669 | G LOSS = 0.0646 | AVG R =0.4902 | mean_pen: 0.0009 |  
iteration 3400 | D LOSS = 1.3680 | G LOSS = 0.0926 | AVG R =0.4904 | mean_pen: 0.0009 |  
iteration 3450 | D LOSS = 1.3675 | G LOSS = 0.0881 | AVG R =0.4900 | mean_pen: 0.0007 |  
iteration 3500 | D LOSS = 1.3679 | G LOSS = 0.0893 | AVG R =0.4907 | mean_pen: 0.0008 |  
iteration 3550 | D LOSS = 1.3689 | G LOSS = 0.0742 | AVG R =0.4905 | mean_pen: 0.0007 |  
iteration 3600 | D LOSS = 1.3685 | G LOSS = 0.0539 | AVG R =0.4908 | mean_pen: 0.0006 |  
iteration 3650 | D LOSS = 1.3686 | G LOSS = 0.0815 | AVG R =0.4914 | mean_pen: 0.0004 |  
iteration 3700 | D LOSS = 1.3693 | G LOSS = 0.0133 | AVG R =0.4908 | mean_pen: 0.0005 |  
iteration 3750 | D LOSS = 1.3683 | G LOSS = 0.0255 | AVG R =0.4915 | mean_pen: 0.0006 |  
iteration 3800 | D LOSS = 1.3674 | G LOSS = 0.0892 | AVG R =0.4908 | mean_pen: 0.0007 |  
iteration 3850 | D LOSS = 1.3701 | G LOSS = 0.0391 | AVG R =0.4918 | mean_pen: 0.0005 |  
iteration 3900 | D LOSS = 1.3700 | G LOSS = 0.0012 | AVG R =0.4915 | mean_pen: 0.0004 |  
iteration 3950 | D LOSS = 1.3705 | G LOSS = 0.0389 | AVG R =0.4916 | mean_pen: 0.0004 |  
iteration 4000 | D LOSS = 1.3691 | G LOSS = 0.0002 | AVG R =0.4922 | mean_pen: 0.0005 |  
iteration 4050 | D LOSS = 1.3702 | G LOSS = -0.0140 | AVG R =0.4920 | mean_pen: 0.0004 |  
iteration 4100 | D LOSS = 1.3689 | G LOSS = -0.0313 | AVG R =0.4918 | mean_pen: 0.0004 |  
iteration 4150 | D LOSS = 1.3690 | G LOSS = -0.0288 | AVG R =0.4927 | mean_pen: 0.0003 |  
iteration 4200 | D LOSS = 1.3694 | G LOSS = -0.0170 | AVG R =0.4921 | mean_pen: 0.0004 |  
iteration 4250 | D LOSS = 1.3707 | G LOSS = -0.0259 | AVG R =0.4920 | mean_pen: 0.0004 |  
iteration 4300 | D LOSS = 1.3701 | G LOSS = -0.0312 | AVG R =0.4920 | mean_pen: 0.0005 |  
iteration 4350 | D LOSS = 1.3710 | G LOSS = -0.0178 | AVG R =0.4921 | mean_pen: 0.0005 |  
iteration 4400 | D LOSS = 1.3706 | G LOSS = -0.0117 | AVG R =0.4919 | mean_pen: 0.0005 |  
iteration 4450 | D LOSS = 1.3714 | G LOSS = -0.0211 | AVG R =0.4920 | mean_pen: 0.0004 |  
iteration 4500 | D LOSS = 1.3712 | G LOSS = -0.0266 | AVG R =0.4922 | mean_pen: 0.0004 |  
iteration 4550 | D LOSS = 1.3713 | G LOSS = -0.0212 | AVG R =0.4928 | mean_pen: 0.0003 |  
iteration 4600 | D LOSS = 1.3701 | G LOSS = -0.0172 | AVG R =0.4911 | mean_pen: 0.0004 |  
iteration 4650 | D LOSS = 1.3713 | G LOSS = -0.0258 | AVG R =0.4933 | mean_pen: 0.0004 |  
iteration 4700 | D LOSS = 1.3719 | G LOSS = -0.0366 | AVG R =0.4927 | mean_pen: 0.0003 |  
iteration 4750 | D LOSS = 1.3718 | G LOSS = -0.0295 | AVG R =0.4914 | mean_pen: 0.0004 |  
iteration 4800 | D LOSS = 1.3715 | G LOSS = -0.0311 | AVG R =0.4925 | mean_pen: 0.0004 |  
iteration 4850 | D LOSS = 1.3719 | G LOSS = -0.0330 | AVG R =0.4932 | mean_pen: 0.0004 |  
iteration 4900 | D LOSS = 1.3720 | G LOSS = -0.0318 | AVG R =0.4925 | mean_pen: 0.0003 |  
iteration 4950 | D LOSS = 1.3731 | G LOSS = -0.0334 | AVG R =0.4943 | mean_pen: 0.0004 |  
iteration 5000 | D LOSS = 1.3720 | G LOSS = -0.0337 | AVG R =0.4929 | mean_pen: 0.0004 |  
iteration 5050 | D LOSS = 1.3737 | G LOSS = -0.0388 | AVG R =0.4925 | mean_pen: 0.0003 |  
iteration 5100 | D LOSS = 1.3726 | G LOSS = -0.0348 | AVG R =0.4929 | mean_pen: 0.0003 |  
iteration 5150 | D LOSS = 1.3724 | G LOSS = -0.0391 | AVG R =0.4924 | mean_pen: 0.0002 |  
iteration 5200 | D LOSS = 1.3723 | G LOSS = -0.0419 | AVG R =0.4926 | mean_pen: 0.0003 |  
iteration 5250 | D LOSS = 1.3731 | G LOSS = -0.0413 | AVG R =0.4936 | mean_pen: 0.0002 |  
iteration 5300 | D LOSS = 1.3728 | G LOSS = -0.0328 | AVG R =0.4930 | mean_pen: 0.0002 |  
iteration 5350 | D LOSS = 1.3723 | G LOSS = -0.0396 | AVG R =0.4928 | mean_pen: 0.0002 |  
iteration 5400 | D LOSS = 1.3731 | G LOSS = -0.0384 | AVG R =0.4931 | mean_pen: 0.0003 |  
iteration 5450 | D LOSS = 1.3727 | G LOSS = -0.0381 | AVG R =0.4942 | mean_pen: 0.0002 |  
iteration 5500 | D LOSS = 1.3726 | G LOSS = -0.0399 | AVG R =0.4938 | mean_pen: 0.0003 |  
iteration 5550 | D LOSS = 1.3719 | G LOSS = -0.0349 | AVG R =0.4929 | mean_pen: 0.0002 |  
iteration 5600 | D LOSS = 1.3722 | G LOSS = -0.0350 | AVG R =0.4936 | mean_pen: 0.0002 |  
iteration 5650 | D LOSS = 1.3717 | G LOSS = -0.0347 | AVG R =0.4921 | mean_pen: 0.0003 |  
iteration 5700 | D LOSS = 1.3728 | G LOSS = -0.0379 | AVG R =0.4923 | mean_pen: 0.0002 |  
iteration 5750 | D LOSS = 1.3724 | G LOSS = -0.0402 | AVG R =0.4930 | mean_pen: 0.0002 |  
iteration 5800 | D LOSS = 1.3741 | G LOSS = -0.0365 | AVG R =0.4938 | mean_pen: 0.0002 |  
iteration 5850 | D LOSS = 1.3742 | G LOSS = -0.0363 | AVG R =0.4932 | mean_pen: 0.0003 |  
iteration 5900 | D LOSS = 1.3728 | G LOSS = -0.0288 | AVG R =0.4932 | mean_pen: 0.0003 |  
iteration 5950 | D LOSS = 1.3731 | G LOSS = -0.0368 | AVG R =0.4933 | mean_pen: 0.0002 |  
iteration 6000 | D LOSS = 1.3736 | G LOSS = -0.0295 | AVG R =0.4935 | mean_pen: 0.0002 |  
iteration 6050 | D LOSS = 1.3723 | G LOSS = -0.0400 | AVG R =0.4933 | mean_pen: 0.0002 |  
iteration 6100 | D LOSS = 1.3709 | G LOSS = -0.0185 | AVG R =0.4925 | mean_pen: 0.0003 |  
iteration 6150 | D LOSS = 1.3734 | G LOSS = -0.0207 | AVG R =0.4931 | mean_pen: 0.0003 |  
iteration 6200 | D LOSS = 1.3716 | G LOSS = -0.0255 | AVG R =0.4928 | mean_pen: 0.0002 |  
iteration 6250 | D LOSS = 1.3715 | G LOSS = -0.0268 | AVG R =0.4924 | mean_pen: 0.0003 |  
iteration 6300 | D LOSS = 1.3720 | G LOSS = -0.0274 | AVG R =0.4925 | mean_pen: 0.0002 |  
iteration 6350 | D LOSS = 1.3721 | G LOSS = -0.0252 | AVG R =0.4920 | mean_pen: 0.0003 |  
iteration 6400 | D LOSS = 1.3726 | G LOSS = -0.0261 | AVG R =0.4926 | mean_pen: 0.0002 |  
iteration 6450 | D LOSS = 1.3733 | G LOSS = -0.0162 | AVG R =0.4937 | mean_pen: 0.0003 |  
iteration 6500 | D LOSS = 1.3732 | G LOSS = -0.0122 | AVG R =0.4927 | mean_pen: 0.0003 |  
iteration 6550 | D LOSS = 1.3739 | G LOSS = -0.0156 | AVG R =0.4934 | mean_pen: 0.0003 |  
iteration 6600 | D LOSS = 1.3738 | G LOSS = -0.0217 | AVG R =0.4929 | mean_pen: 0.0003 |  
iteration 6650 | D LOSS = 1.3726 | G LOSS = -0.0148 | AVG R =0.4937 | mean_pen: 0.0003 |  
iteration 6700 | D LOSS = 1.3727 | G LOSS = -0.0194 | AVG R =0.4939 | mean_pen: 0.0003 |  
iteration 6750 | D LOSS = 1.3726 | G LOSS = -0.0249 | AVG R =0.4935 | mean_pen: 0.0003 |  
iteration 6800 | D LOSS = 1.3734 | G LOSS = -0.0133 | AVG R =0.4938 | mean_pen: 0.0003 |  
iteration 6850 | D LOSS = 1.3728 | G LOSS = -0.0173 | AVG R =0.4935 | mean_pen: 0.0003 |  
iteration 6900 | D LOSS = 1.3752 | G LOSS = -0.0153 | AVG R =0.4933 | mean_pen: 0.0002 |  
iteration 6950 | D LOSS = 1.3744 | G LOSS = -0.0208 | AVG R =0.4943 | mean_pen: 0.0002 |  
iteration 7000 | D LOSS = 1.3747 | G LOSS = -0.0196 | AVG R =0.4940 | mean_pen: 0.0003 |  
iteration 7050 | D LOSS = 1.3747 | G LOSS = -0.0186 | AVG R =0.4936 | mean_pen: 0.0002 |  
iteration 7100 | D LOSS = 1.3752 | G LOSS = -0.0325 | AVG R =0.4943 | mean_pen: 0.0003 |  
iteration 7150 | D LOSS = 1.3738 | G LOSS = -0.0274 | AVG R =0.4941 | mean_pen: 0.0002 |  
iteration 7200 | D LOSS = 1.3751 | G LOSS = -0.0283 | AVG R =0.4940 | mean_pen: 0.0002 |  
iteration 7250 | D LOSS = 1.3749 | G LOSS = -0.0326 | AVG R =0.4942 | mean_pen: 0.0002 |  
iteration 7300 | D LOSS = 1.3747 | G LOSS = -0.0352 | AVG R =0.4940 | mean_pen: 0.0002 |  
iteration 7350 | D LOSS = 1.3761 | G LOSS = -0.0236 | AVG R =0.4944 | mean_pen: 0.0003 |  
iteration 7400 | D LOSS = 1.3752 | G LOSS = -0.0185 | AVG R =0.4942 | mean_pen: 0.0003 |  
iteration 7450 | D LOSS = 1.3756 | G LOSS = -0.0217 | AVG R =0.4948 | mean_pen: 0.0002 |  
iteration 7500 | D LOSS = 1.3760 | G LOSS = -0.0278 | AVG R =0.4949 | mean_pen: 0.0002 |  
iteration 7550 | D LOSS = 1.3746 | G LOSS = -0.0342 | AVG R =0.4935 | mean_pen: 0.0002 |  
iteration 7600 | D LOSS = 1.3761 | G LOSS = -0.0293 | AVG R =0.4942 | mean_pen: 0.0002 |  
iteration 7650 | D LOSS = 1.3766 | G LOSS = -0.0335 | AVG R =0.4943 | mean_pen: 0.0002 |  
iteration 7700 | D LOSS = 1.3763 | G LOSS = -0.0344 | AVG R =0.4948 | mean_pen: 0.0001 |  
iteration 7750 | D LOSS = 1.3755 | G LOSS = -0.0399 | AVG R =0.4947 | mean_pen: 0.0001 |  
iteration 7800 | D LOSS = 1.3756 | G LOSS = -0.0416 | AVG R =0.4950 | mean_pen: 0.0002 |  
iteration 7850 | D LOSS = 1.3758 | G LOSS = -0.0326 | AVG R =0.4947 | mean_pen: 0.0002 |  
iteration 7900 | D LOSS = 1.3759 | G LOSS = -0.0246 | AVG R =0.4945 | mean_pen: 0.0002 |  
iteration 7950 | D LOSS = 1.3758 | G LOSS = -0.0401 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 8000 | D LOSS = 1.3753 | G LOSS = -0.0284 | AVG R =0.4945 | mean_pen: 0.0002 |  
iteration 8050 | D LOSS = 1.3753 | G LOSS = -0.0299 | AVG R =0.4944 | mean_pen: 0.0002 |  
iteration 8100 | D LOSS = 1.3759 | G LOSS = -0.0364 | AVG R =0.4950 | mean_pen: 0.0002 |  
iteration 8150 | D LOSS = 1.3762 | G LOSS = -0.0267 | AVG R =0.4947 | mean_pen: 0.0002 |  
iteration 8200 | D LOSS = 1.3763 | G LOSS = -0.0201 | AVG R =0.4945 | mean_pen: 0.0002 |  
iteration 8250 | D LOSS = 1.3760 | G LOSS = -0.0292 | AVG R =0.4948 | mean_pen: 0.0002 |  
iteration 8300 | D LOSS = 1.3764 | G LOSS = -0.0328 | AVG R =0.4949 | mean_pen: 0.0002 |  
iteration 8350 | D LOSS = 1.3765 | G LOSS = -0.0289 | AVG R =0.4949 | mean_pen: 0.0002 |  
iteration 8400 | D LOSS = 1.3759 | G LOSS = -0.0362 | AVG R =0.4946 | mean_pen: 0.0002 |  
iteration 8450 | D LOSS = 1.3761 | G LOSS = -0.0263 | AVG R =0.4953 | mean_pen: 0.0002 |  
iteration 8500 | D LOSS = 1.3767 | G LOSS = -0.0323 | AVG R =0.4953 | mean_pen: 0.0002 |  
iteration 8550 | D LOSS = 1.3763 | G LOSS = -0.0324 | AVG R =0.4952 | mean_pen: 0.0002 |  
iteration 8600 | D LOSS = 1.3763 | G LOSS = -0.0296 | AVG R =0.4944 | mean_pen: 0.0001 |  
iteration 8650 | D LOSS = 1.3758 | G LOSS = -0.0226 | AVG R =0.4952 | mean_pen: 0.0002 |  
