Logging
iteration 3250 | D LOSS = 1.1862 | G LOSS = 0.8860 | mean_pen: 0.0000 |  
iteration 3300 | D LOSS = 1.2097 | G LOSS = 0.8948 | mean_pen: 0.0000 |  
iteration 3350 | D LOSS = 1.2214 | G LOSS = 0.8936 | mean_pen: 0.0000 |  
iteration 3400 | D LOSS = 1.2107 | G LOSS = 0.9012 | mean_pen: 0.0000 |  
iteration 3450 | D LOSS = 1.2266 | G LOSS = 0.8944 | mean_pen: 0.0000 |  
iteration 3500 | D LOSS = 1.1886 | G LOSS = 0.8955 | mean_pen: 0.0000 |  
iteration 3550 | D LOSS = 1.1790 | G LOSS = 0.9086 | mean_pen: 0.0000 |  
iteration 3600 | D LOSS = 1.2017 | G LOSS = 0.8975 | mean_pen: 0.0000 |  
iteration 3650 | D LOSS = 1.1992 | G LOSS = 0.8970 | mean_pen: 0.0000 |  
iteration 3700 | D LOSS = 1.2074 | G LOSS = 0.8979 | mean_pen: 0.0000 |  
iteration 3750 | D LOSS = 1.2061 | G LOSS = 0.8998 | mean_pen: 0.0000 |  
iteration 3800 | D LOSS = 1.2151 | G LOSS = 0.8968 | mean_pen: 0.0000 |  
iteration 3850 | D LOSS = 1.1940 | G LOSS = 0.8991 | mean_pen: 0.0000 |  
iteration 3900 | D LOSS = 1.2189 | G LOSS = 0.8905 | mean_pen: 0.0000 |  
iteration 3950 | D LOSS = 1.1991 | G LOSS = 0.8904 | mean_pen: 0.0000 |  
iteration 4000 | D LOSS = 1.2064 | G LOSS = 0.8969 | mean_pen: 0.0000 |  
iteration 4050 | D LOSS = 1.1945 | G LOSS = 0.8971 | mean_pen: 0.0000 |  
iteration 4100 | D LOSS = 1.2482 | G LOSS = 0.8917 | mean_pen: 0.0000 |  
iteration 4150 | D LOSS = 1.1902 | G LOSS = 0.8987 | mean_pen: 0.0000 |  
iteration 4200 | D LOSS = 1.1919 | G LOSS = 0.8958 | mean_pen: 0.0000 |  
iteration 4250 | D LOSS = 1.1704 | G LOSS = 0.9039 | mean_pen: 0.0000 |  
iteration 4300 | D LOSS = 1.2023 | G LOSS = 0.8985 | mean_pen: 0.0000 |  
iteration 4350 | D LOSS = 1.2000 | G LOSS = 0.8958 | mean_pen: 0.0000 |  
iteration 4400 | D LOSS = 1.1963 | G LOSS = 0.8994 | mean_pen: 0.0000 |  
iteration 4450 | D LOSS = 1.2071 | G LOSS = 0.8922 | mean_pen: 0.0000 |  
iteration 4500 | D LOSS = 1.1883 | G LOSS = 0.8964 | mean_pen: 0.0000 |  
iteration 4550 | D LOSS = 1.2120 | G LOSS = 0.8973 | mean_pen: 0.0000 |  
iteration 4600 | D LOSS = 1.1872 | G LOSS = 0.9020 | mean_pen: 0.0000 |  
iteration 4650 | D LOSS = 1.1848 | G LOSS = 0.8945 | mean_pen: 0.0000 |  
iteration 4700 | D LOSS = 1.2514 | G LOSS = 0.8966 | mean_pen: 0.0000 |  
iteration 4750 | D LOSS = 1.2056 | G LOSS = 0.8957 | mean_pen: 0.0000 |  
iteration 4800 | D LOSS = 1.1794 | G LOSS = 0.8965 | mean_pen: 0.0000 |  
iteration 4850 | D LOSS = 1.2151 | G LOSS = 0.8969 | mean_pen: 0.0000 |  
iteration 4900 | D LOSS = 1.2063 | G LOSS = 0.9012 | mean_pen: 0.0000 |  
iteration 4950 | D LOSS = 1.2020 | G LOSS = 0.8993 | mean_pen: 0.0000 |  
iteration 5000 | D LOSS = 1.1915 | G LOSS = 0.8992 | mean_pen: 0.0000 |  
iteration 5050 | D LOSS = 1.1972 | G LOSS = 0.8895 | mean_pen: 0.0000 |  
iteration 5100 | D LOSS = 1.2074 | G LOSS = 0.9028 | mean_pen: 0.0000 |  
iteration 5150 | D LOSS = 1.2094 | G LOSS = 0.8920 | mean_pen: 0.0000 |  
iteration 5200 | D LOSS = 1.1942 | G LOSS = 0.8946 | mean_pen: 0.0000 |  
iteration 5250 | D LOSS = 1.1785 | G LOSS = 0.8918 | mean_pen: 0.0000 |  
iteration 5300 | D LOSS = 1.2147 | G LOSS = 0.8994 | mean_pen: 0.0000 |  
iteration 5350 | D LOSS = 1.1935 | G LOSS = 0.8981 | mean_pen: 0.0000 |  
iteration 5400 | D LOSS = 1.1856 | G LOSS = 0.8933 | mean_pen: 0.0000 |  
iteration 5450 | D LOSS = 1.1927 | G LOSS = 0.9028 | mean_pen: 0.0000 |  
iteration 5500 | D LOSS = 1.2029 | G LOSS = 0.8977 | mean_pen: 0.0000 |  
iteration 5550 | D LOSS = 1.1823 | G LOSS = 0.9033 | mean_pen: 0.0000 |  
iteration 5600 | D LOSS = 1.2260 | G LOSS = 0.8967 | mean_pen: 0.0000 |  
iteration 5650 | D LOSS = 1.1835 | G LOSS = 0.8962 | mean_pen: 0.0000 |  
iteration 5700 | D LOSS = 1.2333 | G LOSS = 0.8923 | mean_pen: 0.0000 |  
iteration 5750 | D LOSS = 1.2097 | G LOSS = 0.8964 | mean_pen: 0.0000 |  
iteration 5800 | D LOSS = 1.2178 | G LOSS = 0.8987 | mean_pen: 0.0000 |  
iteration 5850 | D LOSS = 1.1899 | G LOSS = 0.8912 | mean_pen: 0.0000 |  
iteration 5900 | D LOSS = 1.1866 | G LOSS = 0.8941 | mean_pen: 0.0000 |  
iteration 5950 | D LOSS = 1.1945 | G LOSS = 0.9002 | mean_pen: 0.0000 |  
iteration 6000 | D LOSS = 1.2264 | G LOSS = 0.8972 | mean_pen: 0.0000 |  
iteration 6050 | D LOSS = 1.1946 | G LOSS = 0.8983 | mean_pen: 0.0000 |  
iteration 6100 | D LOSS = 1.1842 | G LOSS = 0.8960 | mean_pen: 0.0000 |  
iteration 6150 | D LOSS = 1.2132 | G LOSS = 0.9006 | mean_pen: 0.0000 |  
iteration 6200 | D LOSS = 1.1567 | G LOSS = 0.9027 | mean_pen: 0.0000 |  
iteration 6250 | D LOSS = 1.1922 | G LOSS = 0.8979 | mean_pen: 0.0000 |  
iteration 6300 | D LOSS = 1.2195 | G LOSS = 0.8953 | mean_pen: 0.0000 |  
iteration 6350 | D LOSS = 1.2019 | G LOSS = 0.9038 | mean_pen: 0.0000 |  
iteration 6400 | D LOSS = 1.1747 | G LOSS = 0.8961 | mean_pen: 0.0000 |  
iteration 6450 | D LOSS = 1.2473 | G LOSS = 0.8955 | mean_pen: 0.0000 |  
iteration 6500 | D LOSS = 1.1936 | G LOSS = 0.9024 | mean_pen: 0.0000 |  
iteration 6550 | D LOSS = 1.2377 | G LOSS = 0.8942 | mean_pen: 0.0000 |  
iteration 6600 | D LOSS = 1.1782 | G LOSS = 0.8999 | mean_pen: 0.0000 |  
iteration 6650 | D LOSS = 1.1940 | G LOSS = 0.9074 | mean_pen: 0.0000 |  
iteration 6700 | D LOSS = 1.2090 | G LOSS = 0.8947 | mean_pen: 0.0000 |  
iteration 6750 | D LOSS = 1.2059 | G LOSS = 0.8985 | mean_pen: 0.0000 |  
iteration 6800 | D LOSS = 1.1788 | G LOSS = 0.9050 | mean_pen: 0.0000 |  
iteration 6850 | D LOSS = 1.1650 | G LOSS = 0.8954 | mean_pen: 0.0000 |  
iteration 6900 | D LOSS = 1.1879 | G LOSS = 0.9014 | mean_pen: 0.0000 |  
iteration 6950 | D LOSS = 1.1792 | G LOSS = 0.9036 | mean_pen: 0.0000 |  
iteration 7000 | D LOSS = 1.1926 | G LOSS = 0.8976 | mean_pen: 0.0000 |  
iteration 7050 | D LOSS = 1.2001 | G LOSS = 0.9008 | mean_pen: 0.0000 |  
iteration 7100 | D LOSS = 1.1606 | G LOSS = 0.8990 | mean_pen: 0.0000 |  
iteration 7150 | D LOSS = 1.1873 | G LOSS = 0.9019 | mean_pen: 0.0000 |  
iteration 7200 | D LOSS = 1.2493 | G LOSS = 0.8962 | mean_pen: 0.0000 |  
iteration 7250 | D LOSS = 1.1852 | G LOSS = 0.8933 | mean_pen: 0.0000 |  
iteration 7300 | D LOSS = 1.1865 | G LOSS = 0.9052 | mean_pen: 0.0000 |  
iteration 7350 | D LOSS = 1.1925 | G LOSS = 0.9045 | mean_pen: 0.0000 |  
iteration 7400 | D LOSS = 1.2019 | G LOSS = 0.9013 | mean_pen: 0.0000 |  
iteration 7450 | D LOSS = 1.2163 | G LOSS = 0.9000 | mean_pen: 0.0000 |  
iteration 7500 | D LOSS = 1.1829 | G LOSS = 0.9090 | mean_pen: 0.0000 |  
iteration 7550 | D LOSS = 1.1955 | G LOSS = 0.8942 | mean_pen: 0.0000 |  
iteration 7600 | D LOSS = 1.2286 | G LOSS = 0.9031 | mean_pen: 0.0000 |  
iteration 7650 | D LOSS = 1.1898 | G LOSS = 0.8998 | mean_pen: 0.0000 |  
iteration 7700 | D LOSS = 1.2024 | G LOSS = 0.8910 | mean_pen: 0.0000 |  
iteration 7750 | D LOSS = 1.1884 | G LOSS = 0.9043 | mean_pen: 0.0000 |  
iteration 7800 | D LOSS = 1.1810 | G LOSS = 0.9040 | mean_pen: 0.0000 |  
iteration 7850 | D LOSS = 1.2001 | G LOSS = 0.8925 | mean_pen: 0.0000 |  
iteration 7900 | D LOSS = 1.1997 | G LOSS = 0.8986 | mean_pen: 0.0000 |  
iteration 7950 | D LOSS = 1.1940 | G LOSS = 0.8984 | mean_pen: 0.0000 |  
iteration 8000 | D LOSS = 1.1822 | G LOSS = 0.8993 | mean_pen: 0.0000 |  
iteration 8050 | D LOSS = 1.1902 | G LOSS = 0.8898 | mean_pen: 0.0000 |  
iteration 8100 | D LOSS = 1.2027 | G LOSS = 0.8937 | mean_pen: 0.0000 |  
iteration 8150 | D LOSS = 1.2109 | G LOSS = 0.8943 | mean_pen: 0.0000 |  
iteration 8200 | D LOSS = 1.1762 | G LOSS = 0.8922 | mean_pen: 0.0000 |  
iteration 8250 | D LOSS = 1.1837 | G LOSS = 0.9008 | mean_pen: 0.0000 |  
iteration 8300 | D LOSS = 1.2323 | G LOSS = 0.8934 | mean_pen: 0.0000 |  
iteration 8350 | D LOSS = 1.1907 | G LOSS = 0.8975 | mean_pen: 0.0000 |  
iteration 8400 | D LOSS = 1.1729 | G LOSS = 0.8927 | mean_pen: 0.0000 |  
iteration 8450 | D LOSS = 1.2447 | G LOSS = 0.8980 | mean_pen: 0.0000 |  
iteration 8500 | D LOSS = 1.1937 | G LOSS = 0.8942 | mean_pen: 0.0000 |  
iteration 8550 | D LOSS = 1.1979 | G LOSS = 0.8874 | mean_pen: 0.0000 |  
iteration 8600 | D LOSS = 1.2345 | G LOSS = 0.8933 | mean_pen: 0.0000 |  
iteration 8650 | D LOSS = 1.2070 | G LOSS = 0.9005 | mean_pen: 0.0000 |  
iteration 8700 | D LOSS = 1.2237 | G LOSS = 0.8959 | mean_pen: 0.0000 |  
