Logging
ITERATION 68.0000 | MEAN PEN (*.2) 0.0024 | TOTAL G LOSS 0.8424
ITERATION 69.0000 | MEAN PEN (*.2) 0.0024 | TOTAL G LOSS 0.8474
ITERATION 70.0000 | MEAN PEN (*.2) 0.0023 | TOTAL G LOSS 0.8418
ITERATION 71.0000 | MEAN PEN (*.2) 0.0021 | TOTAL G LOSS 0.8398
ITERATION 72.0000 | MEAN PEN (*.2) 0.0021 | TOTAL G LOSS 0.8402
ITERATION 73.0000 | MEAN PEN (*.2) 0.0019 | TOTAL G LOSS 0.8349
ITERATION 74.0000 | MEAN PEN (*.2) 0.0017 | TOTAL G LOSS 0.8345
ITERATION 75.0000 | MEAN PEN (*.2) 0.0017 | TOTAL G LOSS 0.8364
ITERATION 76.0000 | MEAN PEN (*.2) 0.0016 | TOTAL G LOSS 0.8362
ITERATION 77.0000 | MEAN PEN (*.2) 0.0015 | TOTAL G LOSS 0.8293
ITERATION 78.0000 | MEAN PEN (*.2) 0.0014 | TOTAL G LOSS 0.8304
ITERATION 79.0000 | MEAN PEN (*.2) 0.0013 | TOTAL G LOSS 0.8288
ITERATION 80.0000 | MEAN PEN (*.2) 0.0012 | TOTAL G LOSS 0.8325
ITERATION 81.0000 | MEAN PEN (*.2) 0.0012 | TOTAL G LOSS 0.8285
ITERATION 82.0000 | MEAN PEN (*.2) 0.0010 | TOTAL G LOSS 0.8232
ITERATION 83.0000 | MEAN PEN (*.2) 0.0011 | TOTAL G LOSS 0.8224
ITERATION 84.0000 | MEAN PEN (*.2) 0.0009 | TOTAL G LOSS 0.8241
ITERATION 85.0000 | MEAN PEN (*.2) 0.0009 | TOTAL G LOSS 0.8247
ITERATION 86.0000 | MEAN PEN (*.2) 0.0009 | TOTAL G LOSS 0.8247
ITERATION 87.0000 | MEAN PEN (*.2) 0.0008 | TOTAL G LOSS 0.8244
ITERATION 88.0000 | MEAN PEN (*.2) 0.0008 | TOTAL G LOSS 0.8211
ITERATION 89.0000 | MEAN PEN (*.2) 0.0008 | TOTAL G LOSS 0.8239
ITERATION 90.0000 | MEAN PEN (*.2) 0.0007 | TOTAL G LOSS 0.8219
ITERATION 91.0000 | MEAN PEN (*.2) 0.0006 | TOTAL G LOSS 0.8208
ITERATION 92.0000 | MEAN PEN (*.2) 0.0006 | TOTAL G LOSS 0.8232
ITERATION 93.0000 | MEAN PEN (*.2) 0.0006 | TOTAL G LOSS 0.8210
ITERATION 94.0000 | MEAN PEN (*.2) 0.0006 | TOTAL G LOSS 0.8281
ITERATION 95.0000 | MEAN PEN (*.2) 0.0005 | TOTAL G LOSS 0.8218
ITERATION 96.0000 | MEAN PEN (*.2) 0.0005 | TOTAL G LOSS 0.8220
ITERATION 97.0000 | MEAN PEN (*.2) 0.0005 | TOTAL G LOSS 0.8181
ITERATION 98.0000 | MEAN PEN (*.2) 0.0005 | TOTAL G LOSS 0.8203
ITERATION 99.0000 | MEAN PEN (*.2) 0.0004 | TOTAL G LOSS 0.8206
ITERATION 100.0000 | MEAN PEN (*.2) 0.0004 | TOTAL G LOSS 0.8218
ITERATION 101.0000 | MEAN PEN (*.2) 0.0004 | TOTAL G LOSS 0.8259
ITERATION 102.0000 | MEAN PEN (*.2) 0.0004 | TOTAL G LOSS 0.8200
ITERATION 103.0000 | MEAN PEN (*.2) 0.0003 | TOTAL G LOSS 0.8221
ITERATION 104.0000 | MEAN PEN (*.2) 0.0003 | TOTAL G LOSS 0.8205
ITERATION 105.0000 | MEAN PEN (*.2) 0.0003 | TOTAL G LOSS 0.8182
ITERATION 106.0000 | MEAN PEN (*.2) 0.0003 | TOTAL G LOSS 0.8243
ITERATION 107.0000 | MEAN PEN (*.2) 0.0004 | TOTAL G LOSS 0.8186
ITERATION 108.0000 | MEAN PEN (*.2) 0.0003 | TOTAL G LOSS 0.8220
ITERATION 109.0000 | MEAN PEN (*.2) 0.0003 | TOTAL G LOSS 0.8246
ITERATION 110.0000 | MEAN PEN (*.2) 0.0003 | TOTAL G LOSS 0.8244
ITERATION 111.0000 | MEAN PEN (*.2) 0.0003 | TOTAL G LOSS 0.8216
ITERATION 112.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8211
ITERATION 113.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8190
ITERATION 114.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8212
ITERATION 115.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8252
ITERATION 116.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8243
ITERATION 117.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8190
ITERATION 118.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8196
ITERATION 119.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8206
ITERATION 120.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8208
ITERATION 121.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8234
ITERATION 122.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8205
ITERATION 123.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8246
ITERATION 124.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8182
ITERATION 125.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8206
ITERATION 126.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8231
ITERATION 127.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8248
ITERATION 128.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8255
ITERATION 129.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8211
ITERATION 130.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8251
ITERATION 131.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8199
ITERATION 132.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8241
ITERATION 133.0000 | MEAN PEN (*.2) 0.0002 | TOTAL G LOSS 0.8187
ITERATION 134.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8228
ITERATION 135.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8149
ITERATION 136.0000 | MEAN PEN (*.2) 0.0001 | TOTAL G LOSS 0.8251
