α=62.00%, θ*=2.00, TPR=0.5968, FPR=0.5977, PPV=0.4996, Advantage=-0.0009
α=63.00%, θ*=2.00, TPR=0.5968, FPR=0.5977, PPV=0.4996, Advantage=-0.0009
α=64.00%, θ*=2.00, TPR=0.5968, FPR=0.5977, PPV=0.4996, Advantage=-0.0009
α=65.00%, θ*=2.00, TPR=0.5968, FPR=0.5977, PPV=0.4996, Advantage=-0.0009
α=66.00%, θ*=2.00, TPR=0.5968, FPR=0.5977, PPV=0.4996, Advantage=-0.0009
α=67.00%, θ*=2.05, TPR=0.6409, FPR=0.6667, PPV=0.4901, Advantage=-0.0258
α=68.00%, θ*=2.05, TPR=0.6409, FPR=0.6667, PPV=0.4901, Advantage=-0.0258
α=69.00%, θ*=2.05, TPR=0.6409, FPR=0.6667, PPV=0.4901, Advantage=-0.0258
α=70.00%, θ*=2.05, TPR=0.6409, FPR=0.6667, PPV=0.4901, Advantage=-0.0258
α=71.00%, θ*=2.05, TPR=0.6409, FPR=0.6667, PPV=0.4901, Advantage=-0.0258
α=72.00%, θ*=2.05, TPR=0.6409, FPR=0.6667, PPV=0.4901, Advantage=-0.0258
α=73.00%, θ*=2.10, TPR=0.6865, FPR=0.7218, PPV=0.4875, Advantage=-0.0353
α=74.00%, θ*=2.15, TPR=0.7284, FPR=0.7356, PPV=0.4975, Advantage=-0.0072
α=75.00%, θ*=2.15, TPR=0.7284, FPR=0.7356, PPV=0.4975, Advantage=-0.0072
α=76.00%, θ*=2.15, TPR=0.7284, FPR=0.7356, PPV=0.4975, Advantage=-0.0072
α=77.00%, θ*=2.15, TPR=0.7284, FPR=0.7356, PPV=0.4975, Advantage=-0.0072
α=78.00%, θ*=2.20, TPR=0.7657, FPR=0.7701, PPV=0.4986, Advantage=-0.0044
α=79.00%, θ*=2.20, TPR=0.7657, FPR=0.7701, PPV=0.4986, Advantage=-0.0044
α=80.00%, θ*=2.20, TPR=0.7657, FPR=0.7701, PPV=0.4986, Advantage=-0.0044
α=81.00%, θ*=2.25, TPR=0.7908, FPR=0.8023, PPV=0.4964, Advantage=-0.0115
α=82.00%, θ*=2.25, TPR=0.7908, FPR=0.8023, PPV=0.4964, Advantage=-0.0115
α=83.00%, θ*=2.30, TPR=0.8228, FPR=0.8230, PPV=0.4999, Advantage=-0.0002
α=84.00%, θ*=2.30, TPR=0.8228, FPR=0.8230, PPV=0.4999, Advantage=-0.0002
α=85.00%, θ*=2.30, TPR=0.8228, FPR=0.8230, PPV=0.4999, Advantage=-0.0002
α=86.00%, θ*=2.35, TPR=0.8537, FPR=0.8529, PPV=0.5003, Advantage=0.0009
α=87.00%, θ*=2.35, TPR=0.8537, FPR=0.8529, PPV=0.5003, Advantage=0.0009
α=88.00%, θ*=2.40, TPR=0.8823, FPR=0.8782, PPV=0.5012, Advantage=0.0041
α=89.00%, θ*=2.45, TPR=0.9020, FPR=0.8874, PPV=0.5041, Advantage=0.0146
α=90.00%, θ*=2.45, TPR=0.9020, FPR=0.8874, PPV=0.5041, Advantage=0.0146
α=91.00%, θ*=2.45, TPR=0.9020, FPR=0.8874, PPV=0.5041, Advantage=0.0146
α=92.00%, θ*=2.50, TPR=0.9166, FPR=0.9103, PPV=0.5017, Advantage=0.0063
α=93.00%, θ*=2.65, TPR=0.9539, FPR=0.9287, PPV=0.5067, Advantage=0.0252
α=94.00%, θ*=2.70, TPR=0.9625, FPR=0.9356, PPV=0.5071, Advantage=0.0268
α=95.00%, θ*=2.75, TPR=0.9715, FPR=0.9471, PPV=0.5063, Advantage=0.0244
α=96.00%, θ*=2.75, TPR=0.9715, FPR=0.9471, PPV=0.5063, Advantage=0.0244
α=97.00%, θ*=2.75, TPR=0.9715, FPR=0.9471, PPV=0.5063, Advantage=0.0244
α=98.00%, θ*=2.80, TPR=0.9815, FPR=0.9770, PPV=0.5011, Advantage=0.0045
α=99.00%, θ*=2.90, TPR=0.9888, FPR=0.9862, PPV=0.5007, Advantage=0.0026
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
