α=61.00%, θ*=2.10, TPR=0.5026, FPR=0.6014, PPV=0.4553, Advantage=-0.0988
α=62.00%, θ*=2.10, TPR=0.5026, FPR=0.6014, PPV=0.4553, Advantage=-0.0988
α=63.00%, θ*=2.10, TPR=0.5026, FPR=0.6014, PPV=0.4553, Advantage=-0.0988
α=64.00%, θ*=2.10, TPR=0.5026, FPR=0.6014, PPV=0.4553, Advantage=-0.0988
α=65.00%, θ*=2.10, TPR=0.5026, FPR=0.6014, PPV=0.4553, Advantage=-0.0988
α=66.00%, θ*=2.15, TPR=0.5443, FPR=0.6532, PPV=0.4546, Advantage=-0.1088
α=67.00%, θ*=2.15, TPR=0.5443, FPR=0.6532, PPV=0.4546, Advantage=-0.1088
α=68.00%, θ*=2.15, TPR=0.5443, FPR=0.6532, PPV=0.4546, Advantage=-0.1088
α=69.00%, θ*=2.20, TPR=0.5832, FPR=0.6869, PPV=0.4592, Advantage=-0.1037
α=70.00%, θ*=2.20, TPR=0.5832, FPR=0.6869, PPV=0.4592, Advantage=-0.1037
α=71.00%, θ*=2.20, TPR=0.5832, FPR=0.6869, PPV=0.4592, Advantage=-0.1037
α=72.00%, θ*=2.20, TPR=0.5832, FPR=0.6869, PPV=0.4592, Advantage=-0.1037
α=73.00%, θ*=2.20, TPR=0.5832, FPR=0.6869, PPV=0.4592, Advantage=-0.1037
α=74.00%, θ*=2.25, TPR=0.6274, FPR=0.7387, PPV=0.4593, Advantage=-0.1113
α=75.00%, θ*=2.25, TPR=0.6274, FPR=0.7387, PPV=0.4593, Advantage=-0.1113
α=76.00%, θ*=2.25, TPR=0.6274, FPR=0.7387, PPV=0.4593, Advantage=-0.1113
α=77.00%, θ*=2.25, TPR=0.6274, FPR=0.7387, PPV=0.4593, Advantage=-0.1113
α=78.00%, θ*=2.25, TPR=0.6274, FPR=0.7387, PPV=0.4593, Advantage=-0.1113
α=79.00%, θ*=2.25, TPR=0.6274, FPR=0.7387, PPV=0.4593, Advantage=-0.1113
α=80.00%, θ*=2.25, TPR=0.6274, FPR=0.7387, PPV=0.4593, Advantage=-0.1113
α=81.00%, θ*=2.30, TPR=0.6680, FPR=0.8018, PPV=0.4545, Advantage=-0.1338
α=82.00%, θ*=2.30, TPR=0.6680, FPR=0.8018, PPV=0.4545, Advantage=-0.1338
α=83.00%, θ*=2.30, TPR=0.6680, FPR=0.8018, PPV=0.4545, Advantage=-0.1338
α=84.00%, θ*=2.35, TPR=0.7217, FPR=0.8333, PPV=0.4641, Advantage=-0.1116
α=85.00%, θ*=2.35, TPR=0.7217, FPR=0.8333, PPV=0.4641, Advantage=-0.1116
α=86.00%, θ*=2.35, TPR=0.7217, FPR=0.8333, PPV=0.4641, Advantage=-0.1116
α=87.00%, θ*=2.35, TPR=0.7217, FPR=0.8333, PPV=0.4641, Advantage=-0.1116
α=88.00%, θ*=2.40, TPR=0.7608, FPR=0.8716, PPV=0.4661, Advantage=-0.1108
α=89.00%, θ*=2.40, TPR=0.7608, FPR=0.8716, PPV=0.4661, Advantage=-0.1108
α=90.00%, θ*=2.40, TPR=0.7608, FPR=0.8716, PPV=0.4661, Advantage=-0.1108
α=91.00%, θ*=2.40, TPR=0.7608, FPR=0.8716, PPV=0.4661, Advantage=-0.1108
α=92.00%, θ*=2.45, TPR=0.7999, FPR=0.9122, PPV=0.4672, Advantage=-0.1123
α=93.00%, θ*=2.50, TPR=0.8280, FPR=0.9234, PPV=0.4728, Advantage=-0.0954
α=94.00%, θ*=2.50, TPR=0.8280, FPR=0.9234, PPV=0.4728, Advantage=-0.0954
α=95.00%, θ*=2.55, TPR=0.8502, FPR=0.9459, PPV=0.4734, Advantage=-0.0957
α=96.00%, θ*=2.70, TPR=0.9174, FPR=0.9572, PPV=0.4894, Advantage=-0.0398
α=97.00%, θ*=2.75, TPR=0.9348, FPR=0.9685, PPV=0.4911, Advantage=-0.0337
α=98.00%, θ*=2.85, TPR=0.9560, FPR=0.9797, PPV=0.4939, Advantage=-0.0237
α=99.00%, θ*=2.85, TPR=0.9560, FPR=0.9797, PPV=0.4939, Advantage=-0.0237
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
