α=62.00%, θ*=2.20, TPR=1.0000, FPR=0.6075, PPV=0.6221, Advantage=0.3925
α=63.00%, θ*=2.20, TPR=1.0000, FPR=0.6075, PPV=0.6221, Advantage=0.3925
α=64.00%, θ*=2.20, TPR=1.0000, FPR=0.6075, PPV=0.6221, Advantage=0.3925
α=65.00%, θ*=2.20, TPR=1.0000, FPR=0.6075, PPV=0.6221, Advantage=0.3925
α=66.00%, θ*=2.20, TPR=1.0000, FPR=0.6075, PPV=0.6221, Advantage=0.3925
α=67.00%, θ*=2.20, TPR=1.0000, FPR=0.6075, PPV=0.6221, Advantage=0.3925
α=68.00%, θ*=2.20, TPR=1.0000, FPR=0.6075, PPV=0.6221, Advantage=0.3925
α=69.00%, θ*=2.20, TPR=1.0000, FPR=0.6075, PPV=0.6221, Advantage=0.3925
α=70.00%, θ*=2.25, TPR=1.0000, FPR=0.6952, PPV=0.5899, Advantage=0.3048
α=71.00%, θ*=2.25, TPR=1.0000, FPR=0.6952, PPV=0.5899, Advantage=0.3048
α=72.00%, θ*=2.25, TPR=1.0000, FPR=0.6952, PPV=0.5899, Advantage=0.3048
α=73.00%, θ*=2.25, TPR=1.0000, FPR=0.6952, PPV=0.5899, Advantage=0.3048
α=74.00%, θ*=2.30, TPR=1.0000, FPR=0.7303, PPV=0.5779, Advantage=0.2697
α=75.00%, θ*=2.35, TPR=1.0000, FPR=0.7456, PPV=0.5729, Advantage=0.2544
α=76.00%, θ*=2.35, TPR=1.0000, FPR=0.7456, PPV=0.5729, Advantage=0.2544
α=77.00%, θ*=2.40, TPR=1.0000, FPR=0.7697, PPV=0.5651, Advantage=0.2303
α=78.00%, θ*=2.40, TPR=1.0000, FPR=0.7697, PPV=0.5651, Advantage=0.2303
α=79.00%, θ*=2.40, TPR=1.0000, FPR=0.7697, PPV=0.5651, Advantage=0.2303
α=80.00%, θ*=2.40, TPR=1.0000, FPR=0.7697, PPV=0.5651, Advantage=0.2303
α=81.00%, θ*=2.40, TPR=1.0000, FPR=0.7697, PPV=0.5651, Advantage=0.2303
α=82.00%, θ*=2.40, TPR=1.0000, FPR=0.7697, PPV=0.5651, Advantage=0.2303
α=83.00%, θ*=2.40, TPR=1.0000, FPR=0.7697, PPV=0.5651, Advantage=0.2303
α=84.00%, θ*=2.45, TPR=1.0000, FPR=0.8311, PPV=0.5461, Advantage=0.1689
α=85.00%, θ*=2.45, TPR=1.0000, FPR=0.8311, PPV=0.5461, Advantage=0.1689
α=86.00%, θ*=2.45, TPR=1.0000, FPR=0.8311, PPV=0.5461, Advantage=0.1689
α=87.00%, θ*=2.50, TPR=1.0000, FPR=0.8684, PPV=0.5352, Advantage=0.1316
α=88.00%, θ*=2.55, TPR=1.0000, FPR=0.8794, PPV=0.5321, Advantage=0.1206
α=89.00%, θ*=2.55, TPR=1.0000, FPR=0.8794, PPV=0.5321, Advantage=0.1206
α=90.00%, θ*=2.55, TPR=1.0000, FPR=0.8794, PPV=0.5321, Advantage=0.1206
α=91.00%, θ*=2.55, TPR=1.0000, FPR=0.8794, PPV=0.5321, Advantage=0.1206
α=92.00%, θ*=2.70, TPR=1.0000, FPR=0.9189, PPV=0.5211, Advantage=0.0811
α=93.00%, θ*=2.75, TPR=1.0000, FPR=0.9254, PPV=0.5194, Advantage=0.0746
α=94.00%, θ*=2.75, TPR=1.0000, FPR=0.9254, PPV=0.5194, Advantage=0.0746
α=95.00%, θ*=2.80, TPR=1.0000, FPR=0.9430, PPV=0.5147, Advantage=0.0570
α=96.00%, θ*=2.80, TPR=1.0000, FPR=0.9430, PPV=0.5147, Advantage=0.0570
α=97.00%, θ*=2.90, TPR=1.0000, FPR=0.9605, PPV=0.5101, Advantage=0.0395
α=98.00%, θ*=2.90, TPR=1.0000, FPR=0.9605, PPV=0.5101, Advantage=0.0395
α=99.00%, θ*=2.95, TPR=1.0000, FPR=0.9825, PPV=0.5044, Advantage=0.0175
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
