α=1.00%, θ*=1.05, TPR=0.0139, FPR=0.0091, PPV=0.6036, Advantage=0.0048
α=2.00%, θ*=1.10, TPR=0.0237, FPR=0.0137, PPV=0.6334, Advantage=0.0100
α=3.00%, θ*=1.15, TPR=0.0424, FPR=0.0228, PPV=0.6503, Advantage=0.0196
α=4.00%, θ*=1.20, TPR=0.0573, FPR=0.0365, PPV=0.6108, Advantage=0.0208
α=5.00%, θ*=1.25, TPR=0.0734, FPR=0.0479, PPV=0.6050, Advantage=0.0255
α=6.00%, θ*=1.25, TPR=0.0734, FPR=0.0479, PPV=0.6050, Advantage=0.0255
α=7.00%, θ*=1.25, TPR=0.0734, FPR=0.0479, PPV=0.6050, Advantage=0.0255
α=8.00%, θ*=1.30, TPR=0.0876, FPR=0.0776, PPV=0.5301, Advantage=0.0100
α=9.00%, θ*=1.30, TPR=0.0876, FPR=0.0776, PPV=0.5301, Advantage=0.0100
α=10.00%, θ*=1.35, TPR=0.1015, FPR=0.0959, PPV=0.5142, Advantage=0.0056
α=11.00%, θ*=1.35, TPR=0.1015, FPR=0.0959, PPV=0.5142, Advantage=0.0056
α=12.00%, θ*=1.35, TPR=0.1015, FPR=0.0959, PPV=0.5142, Advantage=0.0056
α=13.00%, θ*=1.40, TPR=0.1227, FPR=0.1233, PPV=0.4988, Advantage=-0.0006
α=14.00%, θ*=1.40, TPR=0.1227, FPR=0.1233, PPV=0.4988, Advantage=-0.0006
α=15.00%, θ*=1.40, TPR=0.1227, FPR=0.1233, PPV=0.4988, Advantage=-0.0006
α=16.00%, θ*=1.40, TPR=0.1227, FPR=0.1233, PPV=0.4988, Advantage=-0.0006
α=17.00%, θ*=1.40, TPR=0.1227, FPR=0.1233, PPV=0.4988, Advantage=-0.0006
α=18.00%, θ*=1.45, TPR=0.1498, FPR=0.1735, PPV=0.4633, Advantage=-0.0237
α=19.00%, θ*=1.45, TPR=0.1498, FPR=0.1735, PPV=0.4633, Advantage=-0.0237
