Logging
iteration 2650 | D LOSS = 1.3459 | G LOSS = 0.0194 | AVG R =0.4799 | mean_pen: 0.0005 |  
iteration 2700 | D LOSS = 1.3471 | G LOSS = 0.0166 | AVG R =0.4797 | mean_pen: 0.0007 |  
iteration 2750 | D LOSS = 1.3459 | G LOSS = 0.0161 | AVG R =0.4799 | mean_pen: 0.0007 |  
iteration 2800 | D LOSS = 1.3477 | G LOSS = 0.0198 | AVG R =0.4809 | mean_pen: 0.0007 |  
iteration 2850 | D LOSS = 1.3479 | G LOSS = 0.0172 | AVG R =0.4809 | mean_pen: 0.0006 |  
iteration 2900 | D LOSS = 1.3460 | G LOSS = 0.0188 | AVG R =0.4799 | mean_pen: 0.0007 |  
iteration 2950 | D LOSS = 1.3479 | G LOSS = 0.0205 | AVG R =0.4805 | mean_pen: 0.0007 |  
iteration 3000 | D LOSS = 1.3476 | G LOSS = 0.0183 | AVG R =0.4809 | mean_pen: 0.0006 |  
iteration 3050 | D LOSS = 1.3473 | G LOSS = 0.0189 | AVG R =0.4812 | mean_pen: 0.0006 |  
iteration 3100 | D LOSS = 1.3486 | G LOSS = 0.0205 | AVG R =0.4809 | mean_pen: 0.0006 |  
iteration 3150 | D LOSS = 1.3492 | G LOSS = 0.0211 | AVG R =0.4820 | mean_pen: 0.0005 |  
iteration 3200 | D LOSS = 1.3496 | G LOSS = 0.0196 | AVG R =0.4818 | mean_pen: 0.0005 |  
iteration 3250 | D LOSS = 1.3496 | G LOSS = 0.0221 | AVG R =0.4824 | mean_pen: 0.0006 |  
iteration 3300 | D LOSS = 1.3485 | G LOSS = 0.0180 | AVG R =0.4818 | mean_pen: 0.0004 |  
iteration 3350 | D LOSS = 1.3503 | G LOSS = 0.0196 | AVG R =0.4823 | mean_pen: 0.0004 |  
iteration 3400 | D LOSS = 1.3495 | G LOSS = 0.0212 | AVG R =0.4818 | mean_pen: 0.0004 |  
iteration 3450 | D LOSS = 1.3496 | G LOSS = 0.0163 | AVG R =0.4816 | mean_pen: 0.0004 |  
iteration 3500 | D LOSS = 1.3465 | G LOSS = 0.0185 | AVG R =0.4813 | mean_pen: 0.0005 |  
iteration 3550 | D LOSS = 1.3471 | G LOSS = 0.0141 | AVG R =0.4819 | mean_pen: 0.0004 |  
iteration 3600 | D LOSS = 1.3502 | G LOSS = 0.0130 | AVG R =0.4814 | mean_pen: 0.0004 |  
iteration 3650 | D LOSS = 1.3489 | G LOSS = 0.0167 | AVG R =0.4816 | mean_pen: 0.0004 |  
iteration 3700 | D LOSS = 1.3483 | G LOSS = 0.0146 | AVG R =0.4819 | mean_pen: 0.0004 |  
iteration 3750 | D LOSS = 1.3514 | G LOSS = 0.0178 | AVG R =0.4825 | mean_pen: 0.0005 |  
iteration 3800 | D LOSS = 1.3509 | G LOSS = 0.0170 | AVG R =0.4820 | mean_pen: 0.0003 |  
iteration 3850 | D LOSS = 1.3528 | G LOSS = 0.0222 | AVG R =0.4825 | mean_pen: 0.0004 |  
iteration 3900 | D LOSS = 1.3497 | G LOSS = 0.0196 | AVG R =0.4818 | mean_pen: 0.0004 |  
iteration 3950 | D LOSS = 1.3501 | G LOSS = 0.0152 | AVG R =0.4816 | mean_pen: 0.0004 |  
