α=1.00%, θ*=2.70, TPR=0.0208, FPR=0.0044, PPV=0.8261, Advantage=0.0164
α=2.00%, θ*=2.70, TPR=0.0208, FPR=0.0044, PPV=0.8261, Advantage=0.0164
α=3.00%, θ*=2.70, TPR=0.0208, FPR=0.0044, PPV=0.8261, Advantage=0.0164
α=4.00%, θ*=2.75, TPR=0.0316, FPR=0.0307, PPV=0.5073, Advantage=0.0009
α=5.00%, θ*=2.75, TPR=0.0316, FPR=0.0307, PPV=0.5073, Advantage=0.0009
α=6.00%, θ*=2.80, TPR=0.0414, FPR=0.0504, PPV=0.4509, Advantage=-0.0090
α=7.00%, θ*=2.85, TPR=0.0615, FPR=0.0636, PPV=0.4916, Advantage=-0.0021
α=8.00%, θ*=2.85, TPR=0.0615, FPR=0.0636, PPV=0.4916, Advantage=-0.0021
α=9.00%, θ*=2.85, TPR=0.0615, FPR=0.0636, PPV=0.4916, Advantage=-0.0021
α=10.00%, θ*=2.85, TPR=0.0615, FPR=0.0636, PPV=0.4916, Advantage=-0.0021
α=11.00%, θ*=2.85, TPR=0.0615, FPR=0.0636, PPV=0.4916, Advantage=-0.0021
α=12.00%, θ*=2.85, TPR=0.0615, FPR=0.0636, PPV=0.4916, Advantage=-0.0021
α=13.00%, θ*=2.90, TPR=0.1166, FPR=0.1206, PPV=0.4916, Advantage=-0.0040
α=14.00%, θ*=2.90, TPR=0.1166, FPR=0.1206, PPV=0.4916, Advantage=-0.0040
α=15.00%, θ*=2.95, TPR=0.1696, FPR=0.1404, PPV=0.5471, Advantage=0.0292
α=16.00%, θ*=2.95, TPR=0.1696, FPR=0.1404, PPV=0.5471, Advantage=0.0292
α=17.00%, θ*=2.95, TPR=0.1696, FPR=0.1404, PPV=0.5471, Advantage=0.0292
α=18.00%, θ*=2.95, TPR=0.1696, FPR=0.1404, PPV=0.5471, Advantage=0.0292
α=19.00%, θ*=2.95, TPR=0.1696, FPR=0.1404, PPV=0.5471, Advantage=0.0292
α=20.00%, θ*=3.00, TPR=0.2487, FPR=0.1930, PPV=0.5631, Advantage=0.0557
α=21.00%, θ*=3.00, TPR=0.2487, FPR=0.1930, PPV=0.5631, Advantage=0.0557
α=22.00%, θ*=3.00, TPR=0.2487, FPR=0.1930, PPV=0.5631, Advantage=0.0557
α=23.00%, θ*=3.00, TPR=0.2487, FPR=0.1930, PPV=0.5631, Advantage=0.0557
α=24.00%, θ*=3.00, TPR=0.2487, FPR=0.1930, PPV=0.5631, Advantage=0.0557
α=25.00%, θ*=3.05, TPR=0.3695, FPR=0.2412, PPV=0.6050, Advantage=0.1283
α=26.00%, θ*=3.05, TPR=0.3695, FPR=0.2412, PPV=0.6050, Advantage=0.1283
α=27.00%, θ*=3.05, TPR=0.3695, FPR=0.2412, PPV=0.6050, Advantage=0.1283
α=28.00%, θ*=3.05, TPR=0.3695, FPR=0.2412, PPV=0.6050, Advantage=0.1283
α=29.00%, θ*=3.05, TPR=0.3695, FPR=0.2412, PPV=0.6050, Advantage=0.1283
α=30.00%, θ*=3.05, TPR=0.3695, FPR=0.2412, PPV=0.6050, Advantage=0.1283
α=31.00%, θ*=3.05, TPR=0.3695, FPR=0.2412, PPV=0.6050, Advantage=0.1283
α=32.00%, θ*=3.05, TPR=0.3695, FPR=0.2412, PPV=0.6050, Advantage=0.1283
α=33.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=34.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=35.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=36.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=37.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=38.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=39.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=40.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=41.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=42.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=43.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=44.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=45.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=46.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=47.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=48.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=49.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=50.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=51.00%, θ*=3.10, TPR=0.4952, FPR=0.3289, PPV=0.6009, Advantage=0.1663
α=52.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=53.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=54.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=55.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=56.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=57.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=58.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=59.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=60.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=61.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=62.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=63.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=64.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=65.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=66.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=67.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=68.00%, θ*=3.15, TPR=0.6217, FPR=0.5154, PPV=0.5467, Advantage=0.1063
α=69.00%, θ*=3.20, TPR=0.7466, FPR=0.6886, PPV=0.5202, Advantage=0.0580
α=70.00%, θ*=3.20, TPR=0.7466, FPR=0.6886, PPV=0.5202, Advantage=0.0580
α=71.00%, θ*=3.20, TPR=0.7466, FPR=0.6886, PPV=0.5202, Advantage=0.0580
α=72.00%, θ*=3.20, TPR=0.7466, FPR=0.6886, PPV=0.5202, Advantage=0.0580
α=73.00%, θ*=3.20, TPR=0.7466, FPR=0.6886, PPV=0.5202, Advantage=0.0580
α=74.00%, θ*=3.20, TPR=0.7466, FPR=0.6886, PPV=0.5202, Advantage=0.0580
α=75.00%, θ*=3.20, TPR=0.7466, FPR=0.6886, PPV=0.5202, Advantage=0.0580
α=76.00%, θ*=3.20, TPR=0.7466, FPR=0.6886, PPV=0.5202, Advantage=0.0580
