Logging
iteration 2650 | D LOSS = 1.3522 | G LOSS = 0.0010 | AVG R =0.4828 | mean_pen: 0.0003 |  
iteration 2700 | D LOSS = 1.3531 | G LOSS = -0.0019 | AVG R =0.4822 | mean_pen: 0.0003 |  
iteration 2750 | D LOSS = 1.3506 | G LOSS = 0.0015 | AVG R =0.4816 | mean_pen: 0.0003 |  
iteration 2800 | D LOSS = 1.3509 | G LOSS = 0.0018 | AVG R =0.4829 | mean_pen: 0.0003 |  
iteration 2850 | D LOSS = 1.3529 | G LOSS = 0.0012 | AVG R =0.4832 | mean_pen: 0.0003 |  
iteration 2900 | D LOSS = 1.3549 | G LOSS = -0.0009 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 2950 | D LOSS = 1.3532 | G LOSS = 0.0014 | AVG R =0.4846 | mean_pen: 0.0003 |  
iteration 3000 | D LOSS = 1.3541 | G LOSS = 0.0033 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 3050 | D LOSS = 1.3555 | G LOSS = 0.0022 | AVG R =0.4846 | mean_pen: 0.0002 |  
iteration 3100 | D LOSS = 1.3562 | G LOSS = 0.0051 | AVG R =0.4848 | mean_pen: 0.0002 |  
iteration 3150 | D LOSS = 1.3549 | G LOSS = -0.0014 | AVG R =0.4848 | mean_pen: 0.0003 |  
iteration 3200 | D LOSS = 1.3546 | G LOSS = 0.0022 | AVG R =0.4850 | mean_pen: 0.0003 |  
iteration 3250 | D LOSS = 1.3537 | G LOSS = 0.0039 | AVG R =0.4848 | mean_pen: 0.0002 |  
iteration 3300 | D LOSS = 1.3557 | G LOSS = 0.0028 | AVG R =0.4844 | mean_pen: 0.0002 |  
iteration 3350 | D LOSS = 1.3555 | G LOSS = 0.0026 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 3400 | D LOSS = 1.3557 | G LOSS = 0.0005 | AVG R =0.4847 | mean_pen: 0.0002 |  
iteration 3450 | D LOSS = 1.3543 | G LOSS = 0.0004 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 3500 | D LOSS = 1.3544 | G LOSS = -0.0030 | AVG R =0.4847 | mean_pen: 0.0002 |  
iteration 3550 | D LOSS = 1.3559 | G LOSS = 0.0005 | AVG R =0.4853 | mean_pen: 0.0002 |  
iteration 3600 | D LOSS = 1.3539 | G LOSS = -0.0012 | AVG R =0.4843 | mean_pen: 0.0001 |  
iteration 3650 | D LOSS = 1.3549 | G LOSS = 0.0034 | AVG R =0.4837 | mean_pen: 0.0002 |  
iteration 3700 | D LOSS = 1.3524 | G LOSS = 0.0024 | AVG R =0.4837 | mean_pen: 0.0002 |  
iteration 3750 | D LOSS = 1.3530 | G LOSS = 0.0067 | AVG R =0.4835 | mean_pen: 0.0002 |  
iteration 3800 | D LOSS = 1.3529 | G LOSS = 0.0062 | AVG R =0.4834 | mean_pen: 0.0001 |  
iteration 3850 | D LOSS = 1.3522 | G LOSS = 0.0080 | AVG R =0.4833 | mean_pen: 0.0001 |  
iteration 3900 | D LOSS = 1.3520 | G LOSS = 0.0007 | AVG R =0.4829 | mean_pen: 0.0002 |  
iteration 3950 | D LOSS = 1.3531 | G LOSS = 0.0061 | AVG R =0.4830 | mean_pen: 0.0002 |  
iteration 4000 | D LOSS = 1.3516 | G LOSS = 0.0077 | AVG R =0.4821 | mean_pen: 0.0002 |  
iteration 4050 | D LOSS = 1.3518 | G LOSS = 0.0031 | AVG R =0.4830 | mean_pen: 0.0002 |  
iteration 4100 | D LOSS = 1.3523 | G LOSS = 0.0020 | AVG R =0.4832 | mean_pen: 0.0001 |  
iteration 4150 | D LOSS = 1.3547 | G LOSS = 0.0032 | AVG R =0.4846 | mean_pen: 0.0001 |  
iteration 4200 | D LOSS = 1.3560 | G LOSS = 0.0040 | AVG R =0.4853 | mean_pen: 0.0001 |  
iteration 4250 | D LOSS = 1.3559 | G LOSS = 0.0028 | AVG R =0.4854 | mean_pen: 0.0001 |  
iteration 4300 | D LOSS = 1.3554 | G LOSS = 0.0031 | AVG R =0.4843 | mean_pen: 0.0002 |  
iteration 4350 | D LOSS = 1.3547 | G LOSS = 0.0046 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 4400 | D LOSS = 1.3555 | G LOSS = 0.0057 | AVG R =0.4852 | mean_pen: 0.0002 |  
iteration 4450 | D LOSS = 1.3570 | G LOSS = 0.0020 | AVG R =0.4845 | mean_pen: 0.0001 |  
iteration 4500 | D LOSS = 1.3563 | G LOSS = 0.0004 | AVG R =0.4852 | mean_pen: 0.0002 |  
iteration 4550 | D LOSS = 1.3570 | G LOSS = -0.0008 | AVG R =0.4854 | mean_pen: 0.0001 |  
iteration 4600 | D LOSS = 1.3579 | G LOSS = 0.0023 | AVG R =0.4855 | mean_pen: 0.0001 |  
iteration 4650 | D LOSS = 1.3570 | G LOSS = 0.0035 | AVG R =0.4857 | mean_pen: 0.0002 |  
iteration 4700 | D LOSS = 1.3573 | G LOSS = 0.0018 | AVG R =0.4851 | mean_pen: 0.0001 |  
iteration 4750 | D LOSS = 1.3598 | G LOSS = 0.0037 | AVG R =0.4862 | mean_pen: 0.0002 |  
iteration 4800 | D LOSS = 1.3600 | G LOSS = 0.0034 | AVG R =0.4866 | mean_pen: 0.0002 |  
iteration 4850 | D LOSS = 1.3594 | G LOSS = 0.0055 | AVG R =0.4858 | mean_pen: 0.0002 |  
iteration 4900 | D LOSS = 1.3605 | G LOSS = 0.0072 | AVG R =0.4864 | mean_pen: 0.0002 |  
iteration 4950 | D LOSS = 1.3597 | G LOSS = 0.0016 | AVG R =0.4866 | mean_pen: 0.0001 |  
iteration 5000 | D LOSS = 1.3599 | G LOSS = 0.0070 | AVG R =0.4872 | mean_pen: 0.0001 |  
iteration 5050 | D LOSS = 1.3609 | G LOSS = 0.0055 | AVG R =0.4870 | mean_pen: 0.0001 |  
iteration 5100 | D LOSS = 1.3606 | G LOSS = 0.0038 | AVG R =0.4877 | mean_pen: 0.0001 |  
iteration 5150 | D LOSS = 1.3604 | G LOSS = 0.0080 | AVG R =0.4870 | mean_pen: 0.0001 |  
iteration 5200 | D LOSS = 1.3601 | G LOSS = 0.0052 | AVG R =0.4872 | mean_pen: 0.0001 |  
iteration 5250 | D LOSS = 1.3611 | G LOSS = 0.0089 | AVG R =0.4870 | mean_pen: 0.0002 |  
iteration 5300 | D LOSS = 1.3604 | G LOSS = 0.0088 | AVG R =0.4870 | mean_pen: 0.0001 |  
iteration 5350 | D LOSS = 1.3596 | G LOSS = 0.0078 | AVG R =0.4867 | mean_pen: 0.0001 |  
iteration 5400 | D LOSS = 1.3614 | G LOSS = 0.0077 | AVG R =0.4872 | mean_pen: 0.0001 |  
iteration 5450 | D LOSS = 1.3620 | G LOSS = 0.0057 | AVG R =0.4870 | mean_pen: 0.0001 |  
iteration 5500 | D LOSS = 1.3624 | G LOSS = 0.0067 | AVG R =0.4874 | mean_pen: 0.0001 |  
iteration 5550 | D LOSS = 1.3622 | G LOSS = 0.0066 | AVG R =0.4879 | mean_pen: 0.0001 |  
iteration 5600 | D LOSS = 1.3615 | G LOSS = 0.0063 | AVG R =0.4878 | mean_pen: 0.0001 |  
iteration 5650 | D LOSS = 1.3604 | G LOSS = 0.0080 | AVG R =0.4878 | mean_pen: 0.0001 |  
iteration 5700 | D LOSS = 1.3606 | G LOSS = 0.0062 | AVG R =0.4872 | mean_pen: 0.0001 |  
iteration 5750 | D LOSS = 1.3619 | G LOSS = 0.0085 | AVG R =0.4873 | mean_pen: 0.0001 |  
iteration 5800 | D LOSS = 1.3624 | G LOSS = 0.0075 | AVG R =0.4882 | mean_pen: 0.0001 |  
iteration 5850 | D LOSS = 1.3618 | G LOSS = 0.0065 | AVG R =0.4883 | mean_pen: 0.0001 |  
iteration 5900 | D LOSS = 1.3633 | G LOSS = 0.0071 | AVG R =0.4885 | mean_pen: 0.0001 |  
iteration 5950 | D LOSS = 1.3636 | G LOSS = 0.0078 | AVG R =0.4885 | mean_pen: 0.0001 |  
iteration 6000 | D LOSS = 1.3617 | G LOSS = 0.0026 | AVG R =0.4878 | mean_pen: 0.0001 |  
iteration 6050 | D LOSS = 1.3625 | G LOSS = 0.0024 | AVG R =0.4880 | mean_pen: 0.0001 |  
iteration 6100 | D LOSS = 1.3629 | G LOSS = 0.0015 | AVG R =0.4881 | mean_pen: 0.0001 |  
iteration 6150 | D LOSS = 1.3628 | G LOSS = 0.0036 | AVG R =0.4881 | mean_pen: 0.0001 |  
iteration 6200 | D LOSS = 1.3618 | G LOSS = 0.0039 | AVG R =0.4879 | mean_pen: 0.0001 |  
iteration 6250 | D LOSS = 1.3624 | G LOSS = 0.0046 | AVG R =0.4878 | mean_pen: 0.0001 |  
iteration 6300 | D LOSS = 1.3625 | G LOSS = 0.0077 | AVG R =0.4876 | mean_pen: 0.0001 |  
iteration 6350 | D LOSS = 1.3620 | G LOSS = 0.0044 | AVG R =0.4881 | mean_pen: 0.0001 |  
iteration 6400 | D LOSS = 1.3630 | G LOSS = 0.0043 | AVG R =0.4885 | mean_pen: 0.0001 |  
iteration 6450 | D LOSS = 1.3634 | G LOSS = 0.0037 | AVG R =0.4884 | mean_pen: 0.0001 |  
iteration 6500 | D LOSS = 1.3628 | G LOSS = 0.0058 | AVG R =0.4885 | mean_pen: 0.0001 |  
iteration 6550 | D LOSS = 1.3636 | G LOSS = 0.0015 | AVG R =0.4884 | mean_pen: 0.0001 |  
iteration 6600 | D LOSS = 1.3632 | G LOSS = 0.0062 | AVG R =0.4884 | mean_pen: 0.0001 |  
iteration 6650 | D LOSS = 1.3614 | G LOSS = 0.0066 | AVG R =0.4887 | mean_pen: 0.0001 |  
iteration 6700 | D LOSS = 1.3629 | G LOSS = 0.0097 | AVG R =0.4884 | mean_pen: 0.0001 |  
iteration 6750 | D LOSS = 1.3616 | G LOSS = 0.0099 | AVG R =0.4889 | mean_pen: 0.0001 |  
iteration 6800 | D LOSS = 1.3625 | G LOSS = 0.0094 | AVG R =0.4883 | mean_pen: 0.0001 |  
iteration 6850 | D LOSS = 1.3628 | G LOSS = 0.0096 | AVG R =0.4888 | mean_pen: 0.0001 |  
iteration 6900 | D LOSS = 1.3632 | G LOSS = 0.0073 | AVG R =0.4886 | mean_pen: 0.0001 |  
iteration 6950 | D LOSS = 1.3642 | G LOSS = 0.0073 | AVG R =0.4883 | mean_pen: 0.0001 |  
iteration 7000 | D LOSS = 1.3653 | G LOSS = 0.0052 | AVG R =0.4892 | mean_pen: 0.0001 |  
iteration 7050 | D LOSS = 1.3633 | G LOSS = 0.0080 | AVG R =0.4890 | mean_pen: 0.0001 |  
iteration 7100 | D LOSS = 1.3635 | G LOSS = 0.0107 | AVG R =0.4887 | mean_pen: 0.0001 |  
iteration 7150 | D LOSS = 1.3646 | G LOSS = 0.0111 | AVG R =0.4891 | mean_pen: 0.0001 |  
iteration 7200 | D LOSS = 1.3653 | G LOSS = 0.0076 | AVG R =0.4893 | mean_pen: 0.0001 |  
iteration 7250 | D LOSS = 1.3646 | G LOSS = 0.0104 | AVG R =0.4885 | mean_pen: 0.0001 |  
iteration 7300 | D LOSS = 1.3636 | G LOSS = 0.0077 | AVG R =0.4886 | mean_pen: 0.0001 |  
iteration 7350 | D LOSS = 1.3646 | G LOSS = 0.0094 | AVG R =0.4889 | mean_pen: 0.0001 |  
iteration 7400 | D LOSS = 1.3637 | G LOSS = 0.0099 | AVG R =0.4884 | mean_pen: 0.0001 |  
iteration 7450 | D LOSS = 1.3637 | G LOSS = 0.0102 | AVG R =0.4889 | mean_pen: 0.0001 |  
iteration 7500 | D LOSS = 1.3627 | G LOSS = 0.0125 | AVG R =0.4890 | mean_pen: 0.0001 |  
iteration 7550 | D LOSS = 1.3636 | G LOSS = 0.0123 | AVG R =0.4886 | mean_pen: 0.0001 |  
