tag,iters,data_size,seed,cwc,r2r_auc,r2r_acc,s2h_auc,s2h_acc,s2r_auc,s2r_acc,r2s_auc,r2s_acc,rvs_auc,rvs_acc,real_mem_auc,real_mem_auc_bal,synth_mem_auc,synth_mem_auc_bal,elapsed_time
rl_trial16_seed0,30000,0.9,0,1016.95345320164,0.8734515411356998,0.8136716856729374,0.8535170583384868,0.7413760152890588,0.8114598636604218,0.7401816597976897,0.8084490051888797,0.7478,0.9890069668725652,0.9521709629116666,1.0,0.8728070175438597,0.5269058151381885,0.5170100415512466,13.836065685749054
rl_trial16_seed1,30000,0.9,1,974.4931307501378,0.8714615022660344,0.8038536220980095,0.8595395758735143,0.8088465845464725,0.8431097564657897,0.7777765153218466,0.8310845158962401,0.7555999999999999,0.9949157082120492,0.9693628679295714,1.0,0.9002123142250531,0.4960148003797218,0.4892017255601985,13.128167327245077
rl_trial16_seed2,30000,0.9,2,1016.1922825581336,0.8765925089588122,0.8050751528958248,0.759778187511724,0.6787458006718925,0.7993790403259051,0.73267458419114,0.8024362692674558,0.7386,0.9953695409451502,0.9671585859598288,1.0,0.9069767441860463,0.5471007745001748,0.5303291035136259,13.575024819374084
rl_trial16_seed3,30000,0.9,3,1075.8283003814677,0.8654651173253688,0.8072943242211711,0.8395013147880332,0.7448275862068965,0.8493329024873407,0.7817456686216643,0.8279844007980188,0.7572,0.996760521906552,0.9747626206942636,1.0,0.8919540229885059,0.5041916754933113,0.5236834456335051,14.336965560913086
rl_trial16_seed4,30000,0.9,4,982.8269795092482,0.8627252124199274,0.7981288807517424,0.8248023662988115,0.726123301985371,0.8370380582736544,0.7670919496826399,0.7434014747393434,0.7007999999999999,0.9954821951754084,0.9722286106529866,1.0,0.9041095890410958,0.5167590157305324,0.5211864848522758,14.372791298230489
rl_trial16_seed5,30000,0.9,5,940.172989596494,0.8664849072599177,0.8040733142331888,0.8717072096019465,0.7665551839464882,0.8583113205787052,0.7952723469369753,0.8608418172867902,0.7886,0.9911681858974511,0.9534935199443568,1.0,0.9082969432314412,0.5637783149607479,0.5703171182853111,14.273298048973084
rl_trial16_seed6,30000,0.9,6,1076.6537404881578,0.8648276468656799,0.7991112337655778,0.7896552199012867,0.7843526039178214,0.8393849734404553,0.7651576117303809,0.801626263349165,0.7362,0.996226688133724,0.9702448965955032,1.0,0.8845315904139434,0.4846156270802148,0.5055629126499305,14.599441425005596
rl_trial16_seed7,30000,0.9,7,936.988417598357,0.8756561111940215,0.8059880649986251,0.803127687438612,0.7737973137973138,0.8419635311084012,0.7697167443022022,0.8294918943898418,0.7434000000000001,0.9972001573267208,0.9753138278646948,1.0,0.902439024390244,0.5963486807475203,0.6021995958721933,14.334006055196124
rl_trial16_seed8,30000,0.9,8,1003.9676215894024,0.8726480628756587,0.8107397705102011,0.7566622063633659,0.7402482642541554,0.8202705079192997,0.7695346615576677,0.8118858440269519,0.73,0.99131687848222,0.9581222265756696,1.0,0.8997955010224947,0.5328332504829572,0.5448852254716231,14.311373909314474
rl_trial16_seed9,30000,0.9,9,939.729953169386,0.8743583233447083,0.7934205580353566,0.8273453520164045,0.7455311542390194,0.8256048831603142,0.7428727518577734,0.7908640289779273,0.7251999999999998,0.9904409862459846,0.9549269987638236,1.0,0.867117117117117,0.4205257052801641,0.4100037537537537,12.921185410022735
rl_trial9_seed0,30000,0.9,0,843.5246488955061,0.8734515411356998,0.8136716856729374,0.8728187487116058,0.7873626373626375,0.8918192897238342,0.8245517235248047,0.859954861258157,0.7798,0.9715120323154184,0.9123870963822852,1.0,0.8728070175438597,0.530615238783064,0.5216076100338566,8.6521666765213
rl_trial9_seed1,30000,0.9,1,1010.2149394635676,0.8714615022660344,0.8038536220980095,0.8969698827684308,0.8088465845464725,0.8535030088304344,0.7876566853366166,0.8115420654110512,0.7363999999999999,0.9887010925535747,0.9462193347730083,1.0,0.9002123142250531,0.5484675361837537,0.5457963135759395,8.58733726342519
