tag,iters,data_size,seed,cwc,overall_real_num,overall_hold_num,overall_real_cat,overall_hold_cat,overall_real,overall_hold,r2r_auc,r2r_acc,s2h_auc,s2h_acc,s2r_auc,s2r_acc,r2s_auc,r2s_acc,rvs_auc,rvs_acc,real_mem_auc,real_mem_auc_bal,synth_mem_auc,synth_mem_auc_bal,elapsed_time
reinforce_0,30000,0.9,0,7109.702736369861,0.5196107255856764,0.5715071508763339,0.0470902958458436,0.06005690868775277,0.28335051071576,0.31578202978204334,0.8734515411356998,0.8136716856729374,0.6492756648113791,0.3881509794553273,0.6163499126837413,0.3763751579676492,0.25061356922523037,0.3438,1.0,1.0,1.0,0.8728070175438597,0.0,0.0,12.849873069922129
reinforce_1,30000,0.9,1,1402.5858751739795,0.3201731367628904,0.27190747991943337,0.13415234952429295,0.11641219632772033,0.22716274314359167,0.19415983812357684,0.8714615022660344,0.8038536220980095,0.6088561338107618,0.6411422172452408,0.5219382392941059,0.5409009641573223,0.3322049322049322,0.6073999999999999,1.0,1.0,1.0,0.9002123142250531,0.5004331398172197,0.51217087914317,12.658901719252269
reinforce_3,30000,0.9,3,1298.025536597715,0.3196843121101359,0.26482010636947134,0.1223906128956279,0.09311548299227318,0.22103746250288192,0.17896779468087226,0.8654651173253688,0.8072943242211711,0.7466939091245417,0.7149425287356322,0.644484242581822,0.6199222410669638,0.6497557089550311,0.7706000000000001,1.0,1.0,1.0,0.8919540229885059,0.44061769700230335,0.4526436781609196,12.75211332241694
reinforce_4,30000,0.9,4,1267.5320814142478,0.32238607488587817,0.2773932715116128,0.16109921738074182,0.15045775457758057,0.24174264613330998,0.21392551304459667,0.8627252124199274,0.7981288807517424,0.662062729909451,0.5755747126436781,0.6595674614869239,0.6349158193688954,0.8408125929682958,0.6268,1.0,1.0,1.0,0.9041095890410958,0.4828380014726835,0.4632175100602573,14.723633595307668
reinforce_disc1_3,30000,0.9,3,1315.1653501409924,0.33817466043209743,0.2977028327338953,0.2422125963941684,0.23336926559922805,0.2901936284131329,0.2655360491665617,0.8654651173253688,0.8072943242211711,0.5,0.3862068965517242,0.5,0.3769559835822432,0.2907005649204413,0.8752000000000001,1.0,1.0,1.0,0.8919540229885059,0.4942276545783665,0.512664817016779,4.020585660139719
reinforce_disc1_4,30000,0.9,4,1305.0991017407605,0.32101570924039213,0.27430939759388134,0.3279181139721548,0.31789556976031463,0.3244669116062735,0.296102483677098,0.8627252124199274,0.7981288807517424,0.5,0.35843782654127476,0.5,0.3767671346433774,nan,0.9996,1.0,1.0,1.0,0.9041095890410958,0.4305847511532493,0.4298701027918516,3.965130952994029
reinforce_var_2,30000,0.9,2,741.5885398262877,0.03634570096265802,0.08444048105079237,0.009680856322651577,0.030123851250896196,0.023013278642654796,0.057282166150844284,0.8765925089588122,0.8050751528958248,0.7705249841872234,0.7231802911534154,0.825119568021147,0.7634396142868562,0.7528756657323648,0.694,0.9995963528650806,0.9920653260073928,1.0,0.9069767441860463,0.5625348545887366,0.5461674615271154,15.184108893076578
reinforce_var_1,30000,0.9,1,741.4210705288574,0.03583707686454441,0.08483486991786753,0.006015053523402337,0.036034830768172994,0.020926065193973373,0.06043485034302026,0.8714615022660344,0.8038536220980095,0.8881805126360479,0.8173796192609183,0.8126528206282018,0.7553200769966391,0.7751090789570818,0.7073999999999999,0.9991577346273808,0.985342651735355,1.0,0.9002123142250531,0.5468725686470477,0.5428820641811027,15.436762563387553
reinforce_var_3,30000,0.9,3,748.6340553933601,0.03618120964056123,0.08892530804522128,0.004880381893832193,0.048880862878619466,0.02053079576719671,0.06890308546192037,0.8654651173253688,0.8072943242211711,0.8419916267123074,0.6712643678160919,0.8334527016949809,0.7527423072576231,0.759362799153578,0.6928,0.9995975071355792,0.9931673758736002,1.0,0.8919540229885059,0.46408788536009915,0.47917558462148235,15.74595799446106
reparam_gan_0,30000,0.9,0,965.6790685677809,0.07427069989224291,0.07137377756261185,0.218623011389541,0.25313502245140224,0.14644685564089194,0.16225440000700703,0.8734515411356998,0.8136716856729374,0.49124858276643996,0.4255136168179646,0.4895795052401601,0.38717624018225727,0.4942909875376939,0.49659999999999993,0.9999910078820637,0.9974650787720849,1.0,0.8728070175438597,0.5673177368807953,0.5799500807940905,13.787294761339824
reinforce_var_0,30000,0.9,0,743.9474854429848,0.03719612078067756,0.08952079520721715,0.007662509553771483,0.048676400505750735,0.022429315167224524,0.06909859785648394,0.8734515411356998,0.8136716856729374,0.7754393424036281,0.6778069756330625,0.8135821544665317,0.7469744688176471,0.7398195811041164,0.6836,0.9996335626260932,0.9907427689747024,1.0,0.8728070175438597,0.5298489577287988,0.5078774238227146,19.032790493965148
reinforce_var_4,30000,0.9,4,962.4596796545081,0.03231290325291621,0.09901804254998194,0.20684394113353224,0.21806684142913063,0.11957842219322423,0.15854244198955628,0.8627252124199274,0.7981288807517424,0.47479743966771765,0.35843782654127476,0.3887606543127185,0.3767671346433774,0.4788920514959677,0.5044,0.9999978138207792,0.998567371621396,1.0,0.9041095890410958,0.5752438783933268,0.5821005608723755,16.709978783130644
reparam_gan_1,30000,0.9,1,1145.7258000621023,0.039015923138018056,0.0686254831726124,0.1699166661623883,0.1784606399083723,0.10446629465020317,0.12354306154049235,0.8714615022660344,0.8038536220980095,0.3794899254971851,0.4118477043673012,0.3976836432612842,0.3664388810975572,0.4874614818192389,0.49479999999999996,0.999900671154611,0.9968038002557398,1.0,0.9002123142250531,0.5496390240438289,0.5517668059556169,12.817520701885224
reparam_gan_2,30000,0.9,2,992.9400429117657,0.06189183106860055,0.06402197574175468,0.17601801898415606,0.18398132744136098,0.1189549250263783,0.12400165159155782,0.8765925089588122,0.8050751528958248,0.46495558754245414,0.646942889137738,0.4680236558295312,0.6221464764515954,0.4929541275413284,0.48460000000000003,0.9999880942259363,0.9974652610094126,1.0,0.9069767441860463,0.4736980510562501,0.4756222930420285,12.49457774957021
reparam_gan_3,30000,0.9,3,763.9375593694878,0.05448867474041603,0.053473565457945245,0.007589704339389517,0.04899986346562147,0.031039189539902774,0.05123671446178336,0.8654651173253688,0.8072943242211711,0.8491073019004947,0.781609195402299,0.8879146431226372,0.8121766996612104,0.8757669389491352,0.7918000000000001,0.9731160370969418,0.9150317852272348,1.0,0.8919540229885059,0.5142935601921126,0.5399180869335447,16.096350920200347
no_value0,30000,0.9,0,581.4322685285255,0.05589523868344008,0.05384208717543295,0.012779782851047212,0.05014371068283031,0.034337510767243645,0.05199289892913163,0.8734515411356998,0.8136716856729374,0.8788716244073388,0.7961060678451982,0.8780388479918271,0.8175035070718017,0.832281794189265,0.76,0.9265599744894173,0.8445002900610799,1.0,0.8728070175438597,0.5175661602548395,0.5110105994152047,23.43893221219381
reparam_gan_4,30000,0.9,4,786.1107660781407,0.05627392902758373,0.05382353290846127,0.007324240382679455,0.026966661450837186,0.03179908470513159,0.04039509717964923,0.8627252124199274,0.7981288807517424,0.8347360967944054,0.7214994775339603,0.8895290042553075,0.8049236713278558,0.8715258464426056,0.7928,0.9881230944797365,0.946329406118922,1.0,0.9041095890410958,0.5457662577240691,0.5459748545693376,16.122540966669717
no_value1,30000,0.9,1,578.3834117021523,0.054369872422439354,0.05151622870921436,0.007290916020956272,0.03516640759948728,0.030830394221697813,0.04334131815435082,0.8714615022660344,0.8038536220980095,0.8758289596311375,0.7940649496080627,0.8719636059021054,0.7976586932522244,0.8285317521844476,0.7578,0.9155136221510007,0.8346933705097481,1.0,0.9002123142250531,0.5497155219138985,0.5388611663308406,22.90399995247523
no_value2,30000,0.9,2,603.5065652299575,0.05585685139907566,0.04806532994529618,0.013645767793590731,0.03293527537559798,0.0347513095963332,0.04050030266044708,0.8765925089588122,0.8050751528958248,0.8473735708407684,0.7759910414333706,0.8623447532045401,0.8027908323390662,0.8332021187292048,0.7534,0.9244439805912694,0.8474755574184261,1.0,0.9069767441860463,0.5355935580396531,0.525651569532783,23.10687125523885
no_value3,30000,0.9,3,629.8505760287799,0.05636517832597499,0.05033980082713288,0.006675127440411269,0.04783792712681249,0.03152015288319313,0.04908886397697269,0.8654651173253688,0.8072943242211711,0.8556842316368769,0.8137931034482758,0.8543731265546276,0.7927866567166445,0.8197121641456409,0.7504,0.9335229041672795,0.8587189323322428,1.0,0.8919540229885059,0.48548843569439076,0.4997199101598626,23.344500601291656
