α=1.00%, θ*=1.30, TPR=0.0148, FPR=0.0085, PPV=0.6347, Advantage=0.0063
α=2.00%, θ*=1.35, TPR=0.0189, FPR=0.0106, PPV=0.6408, Advantage=0.0083
α=3.00%, θ*=1.40, TPR=0.0234, FPR=0.0255, PPV=0.4784, Advantage=-0.0021
α=4.00%, θ*=1.45, TPR=0.0354, FPR=0.0340, PPV=0.5104, Advantage=0.0014
α=5.00%, θ*=1.45, TPR=0.0354, FPR=0.0340, PPV=0.5104, Advantage=0.0014
α=6.00%, θ*=1.50, TPR=0.0487, FPR=0.0531, PPV=0.4785, Advantage=-0.0044
α=7.00%, θ*=1.50, TPR=0.0487, FPR=0.0531, PPV=0.4785, Advantage=-0.0044
α=8.00%, θ*=1.55, TPR=0.0671, FPR=0.0743, PPV=0.4747, Advantage=-0.0072
α=9.00%, θ*=1.60, TPR=0.0871, FPR=0.0870, PPV=0.5000, Advantage=0.0000
α=10.00%, θ*=1.65, TPR=0.1048, FPR=0.0955, PPV=0.5230, Advantage=0.0092
α=11.00%, θ*=1.65, TPR=0.1048, FPR=0.0955, PPV=0.5230, Advantage=0.0092
α=12.00%, θ*=1.70, TPR=0.1367, FPR=0.1146, PPV=0.5439, Advantage=0.0221
α=13.00%, θ*=1.70, TPR=0.1367, FPR=0.1146, PPV=0.5439, Advantage=0.0221
α=14.00%, θ*=1.70, TPR=0.1367, FPR=0.1146, PPV=0.5439, Advantage=0.0221
α=15.00%, θ*=1.75, TPR=0.1744, FPR=0.1486, PPV=0.5399, Advantage=0.0258
α=16.00%, θ*=1.75, TPR=0.1744, FPR=0.1486, PPV=0.5399, Advantage=0.0258
α=17.00%, θ*=1.75, TPR=0.1744, FPR=0.1486, PPV=0.5399, Advantage=0.0258
α=18.00%, θ*=1.75, TPR=0.1744, FPR=0.1486, PPV=0.5399, Advantage=0.0258
α=19.00%, θ*=1.75, TPR=0.1744, FPR=0.1486, PPV=0.5399, Advantage=0.0258
α=20.00%, θ*=1.80, TPR=0.2122, FPR=0.1911, PPV=0.5262, Advantage=0.0212
α=21.00%, θ*=1.80, TPR=0.2122, FPR=0.1911, PPV=0.5262, Advantage=0.0212
α=22.00%, θ*=1.80, TPR=0.2122, FPR=0.1911, PPV=0.5262, Advantage=0.0212
α=23.00%, θ*=1.80, TPR=0.2122, FPR=0.1911, PPV=0.5262, Advantage=0.0212
α=24.00%, θ*=1.85, TPR=0.2629, FPR=0.2378, PPV=0.5251, Advantage=0.0251
α=25.00%, θ*=1.85, TPR=0.2629, FPR=0.2378, PPV=0.5251, Advantage=0.0251
α=26.00%, θ*=1.85, TPR=0.2629, FPR=0.2378, PPV=0.5251, Advantage=0.0251
α=27.00%, θ*=1.90, TPR=0.3121, FPR=0.2675, PPV=0.5385, Advantage=0.0446
α=28.00%, θ*=1.90, TPR=0.3121, FPR=0.2675, PPV=0.5385, Advantage=0.0446
α=29.00%, θ*=1.90, TPR=0.3121, FPR=0.2675, PPV=0.5385, Advantage=0.0446
α=30.00%, θ*=1.90, TPR=0.3121, FPR=0.2675, PPV=0.5385, Advantage=0.0446
α=31.00%, θ*=1.90, TPR=0.3121, FPR=0.2675, PPV=0.5385, Advantage=0.0446
α=32.00%, θ*=1.95, TPR=0.3527, FPR=0.3185, PPV=0.5255, Advantage=0.0342
α=33.00%, θ*=1.95, TPR=0.3527, FPR=0.3185, PPV=0.5255, Advantage=0.0342
α=34.00%, θ*=1.95, TPR=0.3527, FPR=0.3185, PPV=0.5255, Advantage=0.0342
α=35.00%, θ*=1.95, TPR=0.3527, FPR=0.3185, PPV=0.5255, Advantage=0.0342
α=36.00%, θ*=1.95, TPR=0.3527, FPR=0.3185, PPV=0.5255, Advantage=0.0342
α=37.00%, θ*=1.95, TPR=0.3527, FPR=0.3185, PPV=0.5255, Advantage=0.0342
α=38.00%, θ*=2.00, TPR=0.3903, FPR=0.3715, PPV=0.5123, Advantage=0.0188
α=39.00%, θ*=2.00, TPR=0.3903, FPR=0.3715, PPV=0.5123, Advantage=0.0188
α=40.00%, θ*=2.00, TPR=0.3903, FPR=0.3715, PPV=0.5123, Advantage=0.0188
α=41.00%, θ*=2.00, TPR=0.3903, FPR=0.3715, PPV=0.5123, Advantage=0.0188
α=42.00%, θ*=2.00, TPR=0.3903, FPR=0.3715, PPV=0.5123, Advantage=0.0188
α=43.00%, θ*=2.00, TPR=0.3903, FPR=0.3715, PPV=0.5123, Advantage=0.0188
α=44.00%, θ*=2.00, TPR=0.3903, FPR=0.3715, PPV=0.5123, Advantage=0.0188
α=45.00%, θ*=2.00, TPR=0.3903, FPR=0.3715, PPV=0.5123, Advantage=0.0188
α=46.00%, θ*=2.05, TPR=0.4324, FPR=0.4522, PPV=0.4888, Advantage=-0.0199
α=47.00%, θ*=2.05, TPR=0.4324, FPR=0.4522, PPV=0.4888, Advantage=-0.0199
α=48.00%, θ*=2.05, TPR=0.4324, FPR=0.4522, PPV=0.4888, Advantage=-0.0199
α=49.00%, θ*=2.05, TPR=0.4324, FPR=0.4522, PPV=0.4888, Advantage=-0.0199
α=50.00%, θ*=2.05, TPR=0.4324, FPR=0.4522, PPV=0.4888, Advantage=-0.0199
α=51.00%, θ*=2.05, TPR=0.4324, FPR=0.4522, PPV=0.4888, Advantage=-0.0199
α=52.00%, θ*=2.05, TPR=0.4324, FPR=0.4522, PPV=0.4888, Advantage=-0.0199
α=53.00%, θ*=2.05, TPR=0.4324, FPR=0.4522, PPV=0.4888, Advantage=-0.0199
α=54.00%, θ*=2.10, TPR=0.4823, FPR=0.5350, PPV=0.4741, Advantage=-0.0527
α=55.00%, θ*=2.10, TPR=0.4823, FPR=0.5350, PPV=0.4741, Advantage=-0.0527
α=56.00%, θ*=2.10, TPR=0.4823, FPR=0.5350, PPV=0.4741, Advantage=-0.0527
α=57.00%, θ*=2.10, TPR=0.4823, FPR=0.5350, PPV=0.4741, Advantage=-0.0527
α=58.00%, θ*=2.10, TPR=0.4823, FPR=0.5350, PPV=0.4741, Advantage=-0.0527
α=59.00%, θ*=2.10, TPR=0.4823, FPR=0.5350, PPV=0.4741, Advantage=-0.0527
α=60.00%, θ*=2.10, TPR=0.4823, FPR=0.5350, PPV=0.4741, Advantage=-0.0527
α=61.00%, θ*=2.10, TPR=0.4823, FPR=0.5350, PPV=0.4741, Advantage=-0.0527
α=62.00%, θ*=2.10, TPR=0.4823, FPR=0.5350, PPV=0.4741, Advantage=-0.0527
α=63.00%, θ*=2.10, TPR=0.4823, FPR=0.5350, PPV=0.4741, Advantage=-0.0527
α=64.00%, θ*=2.15, TPR=0.5362, FPR=0.6348, PPV=0.4579, Advantage=-0.0987
α=65.00%, θ*=2.15, TPR=0.5362, FPR=0.6348, PPV=0.4579, Advantage=-0.0987
α=66.00%, θ*=2.15, TPR=0.5362, FPR=0.6348, PPV=0.4579, Advantage=-0.0987
α=67.00%, θ*=2.20, TPR=0.5753, FPR=0.6624, PPV=0.4648, Advantage=-0.0872
α=68.00%, θ*=2.20, TPR=0.5753, FPR=0.6624, PPV=0.4648, Advantage=-0.0872
α=69.00%, θ*=2.20, TPR=0.5753, FPR=0.6624, PPV=0.4648, Advantage=-0.0872
α=70.00%, θ*=2.20, TPR=0.5753, FPR=0.6624, PPV=0.4648, Advantage=-0.0872
α=71.00%, θ*=2.25, TPR=0.6144, FPR=0.7006, PPV=0.4672, Advantage=-0.0863
α=72.00%, θ*=2.25, TPR=0.6144, FPR=0.7006, PPV=0.4672, Advantage=-0.0863
α=73.00%, θ*=2.25, TPR=0.6144, FPR=0.7006, PPV=0.4672, Advantage=-0.0863
α=74.00%, θ*=2.25, TPR=0.6144, FPR=0.7006, PPV=0.4672, Advantage=-0.0863
α=75.00%, θ*=2.25, TPR=0.6144, FPR=0.7006, PPV=0.4672, Advantage=-0.0863
α=76.00%, θ*=2.25, TPR=0.6144, FPR=0.7006, PPV=0.4672, Advantage=-0.0863
α=77.00%, θ*=2.30, TPR=0.6537, FPR=0.7601, PPV=0.4624, Advantage=-0.1064
α=78.00%, θ*=2.30, TPR=0.6537, FPR=0.7601, PPV=0.4624, Advantage=-0.1064
α=79.00%, θ*=2.30, TPR=0.6537, FPR=0.7601, PPV=0.4624, Advantage=-0.1064
α=80.00%, θ*=2.30, TPR=0.6537, FPR=0.7601, PPV=0.4624, Advantage=-0.1064
α=81.00%, θ*=2.35, TPR=0.7071, FPR=0.8025, PPV=0.4684, Advantage=-0.0955
α=82.00%, θ*=2.35, TPR=0.7071, FPR=0.8025, PPV=0.4684, Advantage=-0.0955
α=83.00%, θ*=2.35, TPR=0.7071, FPR=0.8025, PPV=0.4684, Advantage=-0.0955
α=84.00%, θ*=2.40, TPR=0.7442, FPR=0.8344, PPV=0.4714, Advantage=-0.0902
α=85.00%, θ*=2.40, TPR=0.7442, FPR=0.8344, PPV=0.4714, Advantage=-0.0902
