Logging
iteration 3250 | D LOSS = 1.3618 | G LOSS = 0.7173 | mean_pen: 0.0001 |  
iteration 3300 | D LOSS = 1.3613 | G LOSS = 0.7189 | mean_pen: 0.0001 |  
iteration 3350 | D LOSS = 1.3621 | G LOSS = 0.7192 | mean_pen: 0.0001 |  
iteration 3400 | D LOSS = 1.3627 | G LOSS = 0.7174 | mean_pen: 0.0001 |  
iteration 3450 | D LOSS = 1.3622 | G LOSS = 0.7172 | mean_pen: 0.0001 |  
iteration 3500 | D LOSS = 1.3621 | G LOSS = 0.7182 | mean_pen: 0.0001 |  
iteration 3550 | D LOSS = 1.3610 | G LOSS = 0.7171 | mean_pen: 0.0001 |  
iteration 3600 | D LOSS = 1.3631 | G LOSS = 0.7124 | mean_pen: 0.0001 |  
iteration 3650 | D LOSS = 1.3649 | G LOSS = 0.7158 | mean_pen: 0.0001 |  
iteration 3700 | D LOSS = 1.3644 | G LOSS = 0.7181 | mean_pen: 0.0001 |  
iteration 3750 | D LOSS = 1.3649 | G LOSS = 0.7144 | mean_pen: 0.0001 |  
iteration 3800 | D LOSS = 1.3640 | G LOSS = 0.7155 | mean_pen: 0.0001 |  
iteration 3850 | D LOSS = 1.3642 | G LOSS = 0.7127 | mean_pen: 0.0001 |  
iteration 3900 | D LOSS = 1.3625 | G LOSS = 0.7117 | mean_pen: 0.0001 |  
iteration 3950 | D LOSS = 1.3657 | G LOSS = 0.7157 | mean_pen: 0.0001 |  
iteration 4000 | D LOSS = 1.3658 | G LOSS = 0.7151 | mean_pen: 0.0001 |  
iteration 4050 | D LOSS = 1.3643 | G LOSS = 0.7145 | mean_pen: 0.0001 |  
iteration 4100 | D LOSS = 1.3660 | G LOSS = 0.7139 | mean_pen: 0.0001 |  
iteration 4150 | D LOSS = 1.3646 | G LOSS = 0.7124 | mean_pen: 0.0001 |  
iteration 4200 | D LOSS = 1.3645 | G LOSS = 0.7153 | mean_pen: 0.0001 |  
iteration 4250 | D LOSS = 1.3637 | G LOSS = 0.7161 | mean_pen: 0.0001 |  
iteration 4300 | D LOSS = 1.3680 | G LOSS = 0.7165 | mean_pen: 0.0001 |  
iteration 4350 | D LOSS = 1.3650 | G LOSS = 0.7136 | mean_pen: 0.0001 |  
iteration 4400 | D LOSS = 1.3670 | G LOSS = 0.7123 | mean_pen: 0.0001 |  
