Logging
iteration 3250 | D LOSS = 1.1678 | G LOSS = 0.9185 | mean_pen: 0.0000 |  
iteration 3300 | D LOSS = 1.1844 | G LOSS = 0.9238 | mean_pen: 0.0000 |  
iteration 3350 | D LOSS = 1.1870 | G LOSS = 0.9209 | mean_pen: 0.0000 |  
iteration 3400 | D LOSS = 1.1793 | G LOSS = 0.9249 | mean_pen: 0.0000 |  
iteration 3450 | D LOSS = 1.1697 | G LOSS = 0.9199 | mean_pen: 0.0000 |  
iteration 3500 | D LOSS = 1.1573 | G LOSS = 0.9180 | mean_pen: 0.0000 |  
iteration 3550 | D LOSS = 1.1831 | G LOSS = 0.9237 | mean_pen: 0.0000 |  
iteration 3600 | D LOSS = 1.1869 | G LOSS = 0.9172 | mean_pen: 0.0000 |  
iteration 3650 | D LOSS = 1.1715 | G LOSS = 0.9195 | mean_pen: 0.0000 |  
iteration 3700 | D LOSS = 1.1689 | G LOSS = 0.9233 | mean_pen: 0.0000 |  
iteration 3750 | D LOSS = 1.2072 | G LOSS = 0.9237 | mean_pen: 0.0000 |  
iteration 3800 | D LOSS = 1.1831 | G LOSS = 0.9185 | mean_pen: 0.0000 |  
iteration 3850 | D LOSS = 1.1713 | G LOSS = 0.9228 | mean_pen: 0.0000 |  
iteration 3900 | D LOSS = 1.1786 | G LOSS = 0.9250 | mean_pen: 0.0000 |  
iteration 3950 | D LOSS = 1.1880 | G LOSS = 0.9260 | mean_pen: 0.0000 |  
iteration 4000 | D LOSS = 1.1670 | G LOSS = 0.9260 | mean_pen: 0.0000 |  
iteration 4050 | D LOSS = 1.1743 | G LOSS = 0.9262 | mean_pen: 0.0000 |  
iteration 4100 | D LOSS = 1.1595 | G LOSS = 0.9218 | mean_pen: 0.0000 |  
iteration 4150 | D LOSS = 1.1665 | G LOSS = 0.9287 | mean_pen: 0.0000 |  
iteration 4200 | D LOSS = 1.1690 | G LOSS = 0.9228 | mean_pen: 0.0000 |  
iteration 4250 | D LOSS = 1.2009 | G LOSS = 0.9237 | mean_pen: 0.0000 |  
iteration 4300 | D LOSS = 1.1843 | G LOSS = 0.9282 | mean_pen: 0.0000 |  
iteration 4350 | D LOSS = 1.1707 | G LOSS = 0.9301 | mean_pen: 0.0000 |  
iteration 4400 | D LOSS = 1.1664 | G LOSS = 0.9273 | mean_pen: 0.0000 |  
iteration 4450 | D LOSS = 1.1468 | G LOSS = 0.9268 | mean_pen: 0.0000 |  
iteration 4500 | D LOSS = 1.1867 | G LOSS = 0.9274 | mean_pen: 0.0000 |  
iteration 4550 | D LOSS = 1.1972 | G LOSS = 0.9265 | mean_pen: 0.0000 |  
iteration 4600 | D LOSS = 1.2026 | G LOSS = 0.9265 | mean_pen: 0.0000 |  
iteration 4650 | D LOSS = 1.1841 | G LOSS = 0.9283 | mean_pen: 0.0000 |  
iteration 4700 | D LOSS = 1.2314 | G LOSS = 0.9318 | mean_pen: 0.0000 |  
iteration 4750 | D LOSS = 1.2018 | G LOSS = 0.9319 | mean_pen: 0.0000 |  
iteration 4800 | D LOSS = 1.1486 | G LOSS = 0.9290 | mean_pen: 0.0000 |  
iteration 4850 | D LOSS = 1.1891 | G LOSS = 0.9367 | mean_pen: 0.0000 |  
iteration 4900 | D LOSS = 1.1479 | G LOSS = 0.9307 | mean_pen: 0.0000 |  
iteration 4950 | D LOSS = 1.1374 | G LOSS = 0.9332 | mean_pen: 0.0000 |  
iteration 5000 | D LOSS = 1.2301 | G LOSS = 0.9339 | mean_pen: 0.0000 |  
iteration 5050 | D LOSS = 1.2082 | G LOSS = 0.9309 | mean_pen: 0.0000 |  
iteration 5100 | D LOSS = 1.1693 | G LOSS = 0.9310 | mean_pen: 0.0000 |  
iteration 5150 | D LOSS = 1.1762 | G LOSS = 0.9362 | mean_pen: 0.0000 |  
iteration 5200 | D LOSS = 1.1582 | G LOSS = 0.9325 | mean_pen: 0.0000 |  
iteration 5250 | D LOSS = 1.1481 | G LOSS = 0.9362 | mean_pen: 0.0000 |  
iteration 5300 | D LOSS = 1.2176 | G LOSS = 0.9356 | mean_pen: 0.0000 |  
iteration 5350 | D LOSS = 1.1722 | G LOSS = 0.9333 | mean_pen: 0.0000 |  
iteration 5400 | D LOSS = 1.2198 | G LOSS = 0.9324 | mean_pen: 0.0000 |  
iteration 5450 | D LOSS = 1.1510 | G LOSS = 0.9315 | mean_pen: 0.0000 |  
iteration 5500 | D LOSS = 1.1823 | G LOSS = 0.9303 | mean_pen: 0.0000 |  
iteration 5550 | D LOSS = 1.2090 | G LOSS = 0.9290 | mean_pen: 0.0000 |  
iteration 5600 | D LOSS = 1.1747 | G LOSS = 0.9319 | mean_pen: 0.0000 |  
iteration 5650 | D LOSS = 1.1660 | G LOSS = 0.9353 | mean_pen: 0.0000 |  
iteration 5700 | D LOSS = 1.1779 | G LOSS = 0.9283 | mean_pen: 0.0000 |  
iteration 5750 | D LOSS = 1.1696 | G LOSS = 0.9339 | mean_pen: 0.0000 |  
iteration 5800 | D LOSS = 1.1694 | G LOSS = 0.9363 | mean_pen: 0.0000 |  
iteration 5850 | D LOSS = 1.1879 | G LOSS = 0.9345 | mean_pen: 0.0000 |  
iteration 5900 | D LOSS = 1.1510 | G LOSS = 0.9374 | mean_pen: 0.0000 |  
iteration 5950 | D LOSS = 1.1642 | G LOSS = 0.9326 | mean_pen: 0.0000 |  
iteration 6000 | D LOSS = 1.1858 | G LOSS = 0.9356 | mean_pen: 0.0000 |  
iteration 6050 | D LOSS = 1.1780 | G LOSS = 0.9339 | mean_pen: 0.0000 |  
iteration 6100 | D LOSS = 1.1817 | G LOSS = 0.9293 | mean_pen: 0.0000 |  
iteration 6150 | D LOSS = 1.1747 | G LOSS = 0.9373 | mean_pen: 0.0000 |  
iteration 6200 | D LOSS = 1.1737 | G LOSS = 0.9374 | mean_pen: 0.0000 |  
iteration 6250 | D LOSS = 1.1837 | G LOSS = 0.9376 | mean_pen: 0.0000 |  
iteration 6300 | D LOSS = 1.1707 | G LOSS = 0.9275 | mean_pen: 0.0000 |  
iteration 6350 | D LOSS = 1.2173 | G LOSS = 0.9292 | mean_pen: 0.0000 |  
iteration 6400 | D LOSS = 1.1542 | G LOSS = 0.9362 | mean_pen: 0.0000 |  
iteration 6450 | D LOSS = 1.1835 | G LOSS = 0.9299 | mean_pen: 0.0000 |  
iteration 6500 | D LOSS = 1.1499 | G LOSS = 0.9307 | mean_pen: 0.0000 |  
iteration 6550 | D LOSS = 1.1600 | G LOSS = 0.9303 | mean_pen: 0.0000 |  
iteration 6600 | D LOSS = 1.1797 | G LOSS = 0.9390 | mean_pen: 0.0000 |  
iteration 6650 | D LOSS = 1.1415 | G LOSS = 0.9340 | mean_pen: 0.0000 |  
iteration 6700 | D LOSS = 1.2003 | G LOSS = 0.9375 | mean_pen: 0.0000 |  
iteration 6750 | D LOSS = 1.1770 | G LOSS = 0.9375 | mean_pen: 0.0000 |  
iteration 6800 | D LOSS = 1.1546 | G LOSS = 0.9363 | mean_pen: 0.0000 |  
iteration 6850 | D LOSS = 1.1754 | G LOSS = 0.9356 | mean_pen: 0.0000 |  
iteration 6900 | D LOSS = 1.1425 | G LOSS = 0.9415 | mean_pen: 0.0000 |  
iteration 6950 | D LOSS = 1.1539 | G LOSS = 0.9350 | mean_pen: 0.0000 |  
iteration 7000 | D LOSS = 1.1529 | G LOSS = 0.9318 | mean_pen: 0.0000 |  
iteration 7050 | D LOSS = 1.1655 | G LOSS = 0.9336 | mean_pen: 0.0000 |  
iteration 7100 | D LOSS = 1.1781 | G LOSS = 0.9373 | mean_pen: 0.0000 |  
iteration 7150 | D LOSS = 1.1734 | G LOSS = 0.9349 | mean_pen: 0.0000 |  
iteration 7200 | D LOSS = 1.1662 | G LOSS = 0.9340 | mean_pen: 0.0000 |  
iteration 7250 | D LOSS = 1.1562 | G LOSS = 0.9419 | mean_pen: 0.0000 |  
iteration 7300 | D LOSS = 1.1383 | G LOSS = 0.9378 | mean_pen: 0.0000 |  
iteration 7350 | D LOSS = 1.1406 | G LOSS = 0.9439 | mean_pen: 0.0000 |  
iteration 7400 | D LOSS = 1.1811 | G LOSS = 0.9327 | mean_pen: 0.0000 |  
iteration 7450 | D LOSS = 1.1754 | G LOSS = 0.9314 | mean_pen: 0.0000 |  
iteration 7500 | D LOSS = 1.1604 | G LOSS = 0.9335 | mean_pen: 0.0000 |  
iteration 7550 | D LOSS = 1.1621 | G LOSS = 0.9356 | mean_pen: 0.0000 |  
iteration 7600 | D LOSS = 1.1646 | G LOSS = 0.9391 | mean_pen: 0.0000 |  
iteration 7650 | D LOSS = 1.1950 | G LOSS = 0.9343 | mean_pen: 0.0000 |  
iteration 7700 | D LOSS = 1.1296 | G LOSS = 0.9396 | mean_pen: 0.0000 |  
iteration 7750 | D LOSS = 1.1436 | G LOSS = 0.9326 | mean_pen: 0.0000 |  
iteration 7800 | D LOSS = 1.1659 | G LOSS = 0.9391 | mean_pen: 0.0000 |  
iteration 7850 | D LOSS = 1.1512 | G LOSS = 0.9413 | mean_pen: 0.0000 |  
iteration 7900 | D LOSS = 1.1613 | G LOSS = 0.9357 | mean_pen: 0.0000 |  
iteration 7950 | D LOSS = 1.2006 | G LOSS = 0.9364 | mean_pen: 0.0000 |  
iteration 8000 | D LOSS = 1.1807 | G LOSS = 0.9374 | mean_pen: 0.0000 |  
iteration 8050 | D LOSS = 1.1345 | G LOSS = 0.9414 | mean_pen: 0.0000 |  
iteration 8100 | D LOSS = 1.1738 | G LOSS = 0.9365 | mean_pen: 0.0000 |  
iteration 8150 | D LOSS = 1.1551 | G LOSS = 0.9366 | mean_pen: 0.0000 |  
iteration 8200 | D LOSS = 1.1576 | G LOSS = 0.9341 | mean_pen: 0.0000 |  
iteration 8250 | D LOSS = 1.1729 | G LOSS = 0.9347 | mean_pen: 0.0000 |  
iteration 8300 | D LOSS = 1.1718 | G LOSS = 0.9341 | mean_pen: 0.0000 |  
iteration 8350 | D LOSS = 1.1431 | G LOSS = 0.9357 | mean_pen: 0.0000 |  
iteration 8400 | D LOSS = 1.1590 | G LOSS = 0.9317 | mean_pen: 0.0000 |  
iteration 8450 | D LOSS = 1.1737 | G LOSS = 0.9364 | mean_pen: 0.0000 |  
iteration 8500 | D LOSS = 1.1517 | G LOSS = 0.9405 | mean_pen: 0.0000 |  
iteration 8550 | D LOSS = 1.2125 | G LOSS = 0.9391 | mean_pen: 0.0000 |  
iteration 8600 | D LOSS = 1.1757 | G LOSS = 0.9451 | mean_pen: 0.0000 |  
iteration 8650 | D LOSS = 1.1376 | G LOSS = 0.9432 | mean_pen: 0.0000 |  
iteration 8700 | D LOSS = 1.1733 | G LOSS = 0.9370 | mean_pen: 0.0000 |  
iteration 8750 | D LOSS = 1.1815 | G LOSS = 0.9294 | mean_pen: 0.0000 |  
iteration 8800 | D LOSS = 1.1781 | G LOSS = 0.9367 | mean_pen: 0.0000 |  
iteration 8850 | D LOSS = 1.1901 | G LOSS = 0.9358 | mean_pen: 0.0000 |  
iteration 8900 | D LOSS = 1.1621 | G LOSS = 0.9310 | mean_pen: 0.0000 |  
iteration 8950 | D LOSS = 1.1544 | G LOSS = 0.9344 | mean_pen: 0.0000 |  
iteration 9000 | D LOSS = 1.1670 | G LOSS = 0.9351 | mean_pen: 0.0000 |  
iteration 9050 | D LOSS = 1.1693 | G LOSS = 0.9432 | mean_pen: 0.0000 |  
iteration 9100 | D LOSS = 1.1634 | G LOSS = 0.9441 | mean_pen: 0.0000 |  
iteration 9150 | D LOSS = 1.1770 | G LOSS = 0.9472 | mean_pen: 0.0000 |  
iteration 9200 | D LOSS = 1.1710 | G LOSS = 0.9451 | mean_pen: 0.0000 |  
iteration 9250 | D LOSS = 1.1492 | G LOSS = 0.9404 | mean_pen: 0.0000 |  
iteration 9300 | D LOSS = 1.1616 | G LOSS = 0.9353 | mean_pen: 0.0000 |  
iteration 9350 | D LOSS = 1.1436 | G LOSS = 0.9492 | mean_pen: 0.0000 |  
iteration 9400 | D LOSS = 1.1303 | G LOSS = 0.9354 | mean_pen: 0.0000 |  
iteration 9450 | D LOSS = 1.1453 | G LOSS = 0.9468 | mean_pen: 0.0000 |  
iteration 9500 | D LOSS = 1.1772 | G LOSS = 0.9466 | mean_pen: 0.0000 |  
iteration 9550 | D LOSS = 1.2043 | G LOSS = 0.9416 | mean_pen: 0.0000 |  
iteration 9600 | D LOSS = 1.1781 | G LOSS = 0.9376 | mean_pen: 0.0000 |  
iteration 9650 | D LOSS = 1.1724 | G LOSS = 0.9396 | mean_pen: 0.0000 |  
iteration 9700 | D LOSS = 1.1255 | G LOSS = 0.9457 | mean_pen: 0.0000 |  
iteration 9750 | D LOSS = 1.2288 | G LOSS = 0.9433 | mean_pen: 0.0000 |  
iteration 9800 | D LOSS = 1.1561 | G LOSS = 0.9426 | mean_pen: 0.0000 |  
iteration 9850 | D LOSS = 1.1826 | G LOSS = 0.9387 | mean_pen: 0.0000 |  
iteration 9900 | D LOSS = 1.1586 | G LOSS = 0.9402 | mean_pen: 0.0000 |  
iteration 9950 | D LOSS = 1.1356 | G LOSS = 0.9382 | mean_pen: 0.0000 |  
iteration 10000 | D LOSS = 1.1458 | G LOSS = 0.9390 | mean_pen: 0.0000 |  
iteration 10050 | D LOSS = 1.1468 | G LOSS = 0.9349 | mean_pen: 0.0000 |  
iteration 10100 | D LOSS = 1.1851 | G LOSS = 0.9413 | mean_pen: 0.0000 |  
iteration 10150 | D LOSS = 1.1727 | G LOSS = 0.9383 | mean_pen: 0.0000 |  
iteration 10200 | D LOSS = 1.1773 | G LOSS = 0.9382 | mean_pen: 0.0000 |  
iteration 10250 | D LOSS = 1.1579 | G LOSS = 0.9336 | mean_pen: 0.0000 |  
iteration 10300 | D LOSS = 1.1763 | G LOSS = 0.9401 | mean_pen: 0.0000 |  
iteration 10350 | D LOSS = 1.1837 | G LOSS = 0.9471 | mean_pen: 0.0000 |  
iteration 10400 | D LOSS = 1.1816 | G LOSS = 0.9479 | mean_pen: 0.0000 |  
iteration 10450 | D LOSS = 1.1674 | G LOSS = 0.9509 | mean_pen: 0.0000 |  
iteration 10500 | D LOSS = 1.1383 | G LOSS = 0.9410 | mean_pen: 0.0000 |  
iteration 10550 | D LOSS = 1.1720 | G LOSS = 0.9458 | mean_pen: 0.0000 |  
iteration 10600 | D LOSS = 1.1571 | G LOSS = 0.9459 | mean_pen: 0.0000 |  
iteration 10650 | D LOSS = 1.1568 | G LOSS = 0.9485 | mean_pen: 0.0000 |  
iteration 10700 | D LOSS = 1.1829 | G LOSS = 0.9421 | mean_pen: 0.0000 |  
iteration 10750 | D LOSS = 1.1755 | G LOSS = 0.9439 | mean_pen: 0.0000 |  
iteration 10800 | D LOSS = 1.1789 | G LOSS = 0.9470 | mean_pen: 0.0000 |  
iteration 10850 | D LOSS = 1.1793 | G LOSS = 0.9424 | mean_pen: 0.0000 |  
iteration 10900 | D LOSS = 1.1424 | G LOSS = 0.9329 | mean_pen: 0.0000 |  
iteration 10950 | D LOSS = 1.1657 | G LOSS = 0.9413 | mean_pen: 0.0000 |  
iteration 11000 | D LOSS = 1.2178 | G LOSS = 0.9380 | mean_pen: 0.0000 |  
iteration 11050 | D LOSS = 1.1727 | G LOSS = 0.9393 | mean_pen: 0.0000 |  
iteration 11100 | D LOSS = 1.1873 | G LOSS = 0.9442 | mean_pen: 0.0000 |  
iteration 11150 | D LOSS = 1.1695 | G LOSS = 0.9412 | mean_pen: 0.0000 |  
iteration 11200 | D LOSS = 1.1451 | G LOSS = 0.9419 | mean_pen: 0.0000 |  
iteration 11250 | D LOSS = 1.1805 | G LOSS = 0.9390 | mean_pen: 0.0000 |  
iteration 11300 | D LOSS = 1.1695 | G LOSS = 0.9427 | mean_pen: 0.0000 |  
iteration 11350 | D LOSS = 1.1593 | G LOSS = 0.9412 | mean_pen: 0.0000 |  
iteration 11400 | D LOSS = 1.1576 | G LOSS = 0.9391 | mean_pen: 0.0000 |  
iteration 11450 | D LOSS = 1.1576 | G LOSS = 0.9382 | mean_pen: 0.0000 |  
iteration 11500 | D LOSS = 1.1610 | G LOSS = 0.9418 | mean_pen: 0.0000 |  
iteration 11550 | D LOSS = 1.1641 | G LOSS = 0.9480 | mean_pen: 0.0000 |  
iteration 11600 | D LOSS = 1.1547 | G LOSS = 0.9510 | mean_pen: 0.0000 |  
iteration 11650 | D LOSS = 1.1616 | G LOSS = 0.9569 | mean_pen: 0.0000 |  
iteration 11700 | D LOSS = 1.1824 | G LOSS = 0.9472 | mean_pen: 0.0000 |  
iteration 11750 | D LOSS = 1.1581 | G LOSS = 0.9541 | mean_pen: 0.0000 |  
iteration 11800 | D LOSS = 1.1691 | G LOSS = 0.9441 | mean_pen: 0.0000 |  
iteration 11850 | D LOSS = 1.1666 | G LOSS = 0.9407 | mean_pen: 0.0000 |  
iteration 11900 | D LOSS = 1.1297 | G LOSS = 0.9394 | mean_pen: 0.0000 |  
iteration 11950 | D LOSS = 1.1664 | G LOSS = 0.9488 | mean_pen: 0.0000 |  
iteration 12000 | D LOSS = 1.1537 | G LOSS = 0.9415 | mean_pen: 0.0000 |  
iteration 12050 | D LOSS = 1.1530 | G LOSS = 0.9399 | mean_pen: 0.0000 |  
iteration 12100 | D LOSS = 1.1478 | G LOSS = 0.9401 | mean_pen: 0.0000 |  
iteration 12150 | D LOSS = 1.1555 | G LOSS = 0.9403 | mean_pen: 0.0000 |  
iteration 12200 | D LOSS = 1.1588 | G LOSS = 0.9429 | mean_pen: 0.0000 |  
iteration 12250 | D LOSS = 1.1987 | G LOSS = 0.9436 | mean_pen: 0.0000 |  
iteration 12300 | D LOSS = 1.1597 | G LOSS = 0.9391 | mean_pen: 0.0000 |  
iteration 12350 | D LOSS = 1.1403 | G LOSS = 0.9511 | mean_pen: 0.0000 |  
iteration 12400 | D LOSS = 1.1832 | G LOSS = 0.9439 | mean_pen: 0.0000 |  
iteration 12450 | D LOSS = 1.1553 | G LOSS = 0.9392 | mean_pen: 0.0000 |  
iteration 12500 | D LOSS = 1.1691 | G LOSS = 0.9430 | mean_pen: 0.0000 |  
