α=61.00%, θ*=3.05, TPR=0.4493, FPR=0.5159, PPV=0.4655, Advantage=-0.0665
α=62.00%, θ*=3.10, TPR=0.5869, FPR=0.6152, PPV=0.4882, Advantage=-0.0284
α=63.00%, θ*=3.10, TPR=0.5869, FPR=0.6152, PPV=0.4882, Advantage=-0.0284
α=64.00%, θ*=3.10, TPR=0.5869, FPR=0.6152, PPV=0.4882, Advantage=-0.0284
α=65.00%, θ*=3.10, TPR=0.5869, FPR=0.6152, PPV=0.4882, Advantage=-0.0284
α=66.00%, θ*=3.10, TPR=0.5869, FPR=0.6152, PPV=0.4882, Advantage=-0.0284
α=67.00%, θ*=3.10, TPR=0.5869, FPR=0.6152, PPV=0.4882, Advantage=-0.0284
α=68.00%, θ*=3.10, TPR=0.5869, FPR=0.6152, PPV=0.4882, Advantage=-0.0284
α=69.00%, θ*=3.10, TPR=0.5869, FPR=0.6152, PPV=0.4882, Advantage=-0.0284
α=70.00%, θ*=3.10, TPR=0.5869, FPR=0.6152, PPV=0.4882, Advantage=-0.0284
α=71.00%, θ*=3.10, TPR=0.5869, FPR=0.6152, PPV=0.4882, Advantage=-0.0284
α=72.00%, θ*=3.15, TPR=0.7057, FPR=0.7167, PPV=0.4961, Advantage=-0.0110
α=73.00%, θ*=3.15, TPR=0.7057, FPR=0.7167, PPV=0.4961, Advantage=-0.0110
α=74.00%, θ*=3.15, TPR=0.7057, FPR=0.7167, PPV=0.4961, Advantage=-0.0110
α=75.00%, θ*=3.15, TPR=0.7057, FPR=0.7167, PPV=0.4961, Advantage=-0.0110
α=76.00%, θ*=3.15, TPR=0.7057, FPR=0.7167, PPV=0.4961, Advantage=-0.0110
α=77.00%, θ*=3.15, TPR=0.7057, FPR=0.7167, PPV=0.4961, Advantage=-0.0110
α=78.00%, θ*=3.15, TPR=0.7057, FPR=0.7167, PPV=0.4961, Advantage=-0.0110
α=79.00%, θ*=3.15, TPR=0.7057, FPR=0.7167, PPV=0.4961, Advantage=-0.0110
α=80.00%, θ*=3.20, TPR=0.8041, FPR=0.7970, PPV=0.5022, Advantage=0.0071
α=81.00%, θ*=3.20, TPR=0.8041, FPR=0.7970, PPV=0.5022, Advantage=0.0071
α=82.00%, θ*=3.20, TPR=0.8041, FPR=0.7970, PPV=0.5022, Advantage=0.0071
α=83.00%, θ*=3.20, TPR=0.8041, FPR=0.7970, PPV=0.5022, Advantage=0.0071
α=84.00%, θ*=3.20, TPR=0.8041, FPR=0.7970, PPV=0.5022, Advantage=0.0071
α=85.00%, θ*=3.20, TPR=0.8041, FPR=0.7970, PPV=0.5022, Advantage=0.0071
α=86.00%, θ*=3.20, TPR=0.8041, FPR=0.7970, PPV=0.5022, Advantage=0.0071
α=87.00%, θ*=3.25, TPR=0.8821, FPR=0.8689, PPV=0.5038, Advantage=0.0132
α=88.00%, θ*=3.25, TPR=0.8821, FPR=0.8689, PPV=0.5038, Advantage=0.0132
α=89.00%, θ*=3.25, TPR=0.8821, FPR=0.8689, PPV=0.5038, Advantage=0.0132
α=90.00%, θ*=3.25, TPR=0.8821, FPR=0.8689, PPV=0.5038, Advantage=0.0132
α=91.00%, θ*=3.30, TPR=0.9198, FPR=0.9070, PPV=0.5035, Advantage=0.0128
α=92.00%, θ*=3.30, TPR=0.9198, FPR=0.9070, PPV=0.5035, Advantage=0.0128
α=93.00%, θ*=3.30, TPR=0.9198, FPR=0.9070, PPV=0.5035, Advantage=0.0128
α=94.00%, θ*=3.35, TPR=0.9456, FPR=0.9323, PPV=0.5035, Advantage=0.0133
α=95.00%, θ*=3.35, TPR=0.9456, FPR=0.9323, PPV=0.5035, Advantage=0.0133
α=96.00%, θ*=3.40, TPR=0.9660, FPR=0.9577, PPV=0.5022, Advantage=0.0083
α=97.00%, θ*=3.40, TPR=0.9660, FPR=0.9577, PPV=0.5022, Advantage=0.0083
α=98.00%, θ*=3.45, TPR=0.9793, FPR=0.9767, PPV=0.5007, Advantage=0.0026
α=99.00%, θ*=3.75, TPR=0.9993, FPR=0.9852, PPV=0.5035, Advantage=0.0141
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
