Logging
ITERATION 114.0000 | TOTAL G LOSS -6.6916
ITERATION 115.0000 | TOTAL G LOSS -7.4359
ITERATION 116.0000 | TOTAL G LOSS -9.6826
ITERATION 117.0000 | TOTAL G LOSS -8.2985
ITERATION 118.0000 | TOTAL G LOSS -8.9848
ITERATION 119.0000 | TOTAL G LOSS -9.3760
ITERATION 120.0000 | TOTAL G LOSS -9.6891
ITERATION 121.0000 | TOTAL G LOSS -7.1656
ITERATION 122.0000 | TOTAL G LOSS -9.3622
ITERATION 123.0000 | TOTAL G LOSS -6.9270
ITERATION 124.0000 | TOTAL G LOSS -7.2861
ITERATION 125.0000 | TOTAL G LOSS -8.5548
ITERATION 126.0000 | TOTAL G LOSS -7.3944
ITERATION 127.0000 | TOTAL G LOSS -7.6554
ITERATION 128.0000 | TOTAL G LOSS -8.4347
ITERATION 129.0000 | TOTAL G LOSS -7.0812
ITERATION 130.0000 | TOTAL G LOSS -9.0998
ITERATION 131.0000 | TOTAL G LOSS -8.0297
ITERATION 132.0000 | TOTAL G LOSS -8.5944
ITERATION 133.0000 | TOTAL G LOSS -7.5903
ITERATION 134.0000 | TOTAL G LOSS -8.8022
ITERATION 135.0000 | TOTAL G LOSS -7.5325
ITERATION 136.0000 | TOTAL G LOSS -8.0656
ITERATION 137.0000 | TOTAL G LOSS -7.2442
ITERATION 138.0000 | TOTAL G LOSS -6.3277
ITERATION 139.0000 | TOTAL G LOSS -8.9256
ITERATION 140.0000 | TOTAL G LOSS -5.5331
ITERATION 141.0000 | TOTAL G LOSS -7.3290
ITERATION 142.0000 | TOTAL G LOSS -6.4944
ITERATION 143.0000 | TOTAL G LOSS -6.7130
ITERATION 144.0000 | TOTAL G LOSS -4.2872
ITERATION 145.0000 | TOTAL G LOSS -7.5893
ITERATION 146.0000 | TOTAL G LOSS -6.3809
ITERATION 147.0000 | TOTAL G LOSS -7.8723
ITERATION 148.0000 | TOTAL G LOSS -8.6617
ITERATION 149.0000 | TOTAL G LOSS -5.7081
ITERATION 150.0000 | TOTAL G LOSS -4.8830
ITERATION 151.0000 | TOTAL G LOSS -5.3151
ITERATION 152.0000 | TOTAL G LOSS -6.3591
ITERATION 153.0000 | TOTAL G LOSS -5.8258
ITERATION 154.0000 | TOTAL G LOSS -7.0123
ITERATION 155.0000 | TOTAL G LOSS -7.9302
ITERATION 156.0000 | TOTAL G LOSS -6.0865
ITERATION 157.0000 | TOTAL G LOSS -4.4957
ITERATION 158.0000 | TOTAL G LOSS -3.8944
ITERATION 159.0000 | TOTAL G LOSS -8.3543
ITERATION 160.0000 | TOTAL G LOSS -4.5312
ITERATION 161.0000 | TOTAL G LOSS -5.9553
ITERATION 162.0000 | TOTAL G LOSS -4.5283
ITERATION 163.0000 | TOTAL G LOSS -4.8740
ITERATION 164.0000 | TOTAL G LOSS -6.4285
ITERATION 165.0000 | TOTAL G LOSS -4.0540
ITERATION 166.0000 | TOTAL G LOSS -4.7217
ITERATION 167.0000 | TOTAL G LOSS -6.6694
ITERATION 168.0000 | TOTAL G LOSS -4.1207
ITERATION 169.0000 | TOTAL G LOSS -3.8205
ITERATION 170.0000 | TOTAL G LOSS -7.5997
ITERATION 171.0000 | TOTAL G LOSS -5.1854
ITERATION 172.0000 | TOTAL G LOSS -6.9613
ITERATION 173.0000 | TOTAL G LOSS -3.5844
ITERATION 174.0000 | TOTAL G LOSS -2.8225
ITERATION 175.0000 | TOTAL G LOSS -7.7605
ITERATION 176.0000 | TOTAL G LOSS -3.2654
ITERATION 177.0000 | TOTAL G LOSS -2.4586
ITERATION 178.0000 | TOTAL G LOSS -4.1743
ITERATION 179.0000 | TOTAL G LOSS -3.4095
ITERATION 180.0000 | TOTAL G LOSS -3.3218
ITERATION 181.0000 | TOTAL G LOSS -2.1495
ITERATION 182.0000 | TOTAL G LOSS -3.4956
ITERATION 183.0000 | TOTAL G LOSS -3.7197
ITERATION 184.0000 | TOTAL G LOSS -2.6293
ITERATION 185.0000 | TOTAL G LOSS -0.3570
ITERATION 186.0000 | TOTAL G LOSS -0.0529
ITERATION 187.0000 | TOTAL G LOSS -0.1622
ITERATION 188.0000 | TOTAL G LOSS -0.2151
ITERATION 189.0000 | TOTAL G LOSS -2.6946
ITERATION 190.0000 | TOTAL G LOSS -0.5295
ITERATION 191.0000 | TOTAL G LOSS 0.2521
ITERATION 192.0000 | TOTAL G LOSS -2.3069
ITERATION 193.0000 | TOTAL G LOSS -1.2178
ITERATION 194.0000 | TOTAL G LOSS 0.7710
ITERATION 195.0000 | TOTAL G LOSS -2.9567
ITERATION 196.0000 | TOTAL G LOSS -2.0399
ITERATION 197.0000 | TOTAL G LOSS -1.5151
ITERATION 198.0000 | TOTAL G LOSS 2.4762
ITERATION 199.0000 | TOTAL G LOSS -2.7844
ITERATION 200.0000 | TOTAL G LOSS 0.2207
ITERATION 201.0000 | TOTAL G LOSS -2.1795
ITERATION 202.0000 | TOTAL G LOSS -0.9569
ITERATION 203.0000 | TOTAL G LOSS -0.3396
ITERATION 204.0000 | TOTAL G LOSS -2.2524
ITERATION 205.0000 | TOTAL G LOSS -0.2259
ITERATION 206.0000 | TOTAL G LOSS -4.1046
ITERATION 207.0000 | TOTAL G LOSS 1.3797
ITERATION 208.0000 | TOTAL G LOSS -0.7765
ITERATION 209.0000 | TOTAL G LOSS -2.7891
ITERATION 210.0000 | TOTAL G LOSS -2.7251
ITERATION 211.0000 | TOTAL G LOSS -2.0001
